iso3,regulatory_intensity_iapp,regulatory_intensity_proposed,delta_intensity,thematic_coverage_iapp,thematic_coverage_proposed,delta_coverage,regulatory_regime_group_iapp,regulatory_regime_group_proposed,has_dedicated_ai_authority,ai_law_pathway_declared,ai_corpus_n_documents,ai_corpus_total_pages
ARE,5.0,7.0,2.0,9.0,13.0,4.0,strategy_only,soft_framework,1,1,6,185.0
ARM,1.0,4.0,3.0,2.0,6.0,4.0,soft_framework,strategy_only,1,1,2,0.0
AUS,5.0,,,11.0,,,strategy_only,soft_framework,1,0,5,301.0
AUT,10.0,,,14.0,,,binding_regulation,,1,0,4,332.0
BEL,10.0,,,14.0,,,binding_regulation,,1,0,5,248.0
BGD,2.0,5.0,3.0,4.0,11.0,7.0,strategy_only,soft_framework,0,1,4,55.0
BGR,10.0,10.0,0.0,14.0,,,binding_regulation,binding_regulation,0,1,0,329.0
BHR,2.0,6.0,4.0,3.0,9.0,6.0,strategy_only,soft_framework,1,1,3,112.0
BLR,1.0,2.0,1.0,1.0,2.0,1.0,soft_framework,soft_framework,1,0,1,62.0
CAN,5.0,5.0,0.0,11.0,11.0,0.0,strategy_only,soft_framework,1,0,7,123.0
CHE,3.0,,,7.0,,,soft_framework,soft_framework,0,0,3,0.0
CMR,0.0,,,0.0,,,no_framework,,0,0,0,
CRI,2.0,4.0,2.0,4.0,7.0,3.0,strategy_only,soft_framework,0,1,6,
CZE,10.0,,,14.0,,,binding_regulation,binding_regulation,1,0,7,0.0
DEU,10.0,,,14.0,,,binding_regulation,,0,1,8,410.0
DNK,10.0,,,14.0,,,binding_regulation,,0,1,4,424.0
ESP,10.0,,,14.0,,,binding_regulation,,1,1,5,308.0
FIN,10.0,9.0,-1.0,14.0,13.0,-1.0,binding_regulation,binding_regulation,1,1,8,681.0
FRA,10.0,,,14.0,,,binding_regulation,,1,0,5,421.0
GBR,6.0,,,13.0,,,strategy_only,soft_framework,1,1,8,865.0
GHA,2.0,4.0,2.0,3.0,9.0,6.0,strategy_only,soft_framework,1,1,4,0.0
HUN,10.0,,,14.0,,,binding_regulation,,0,1,4,539.0
IND,4.0,5.0,1.0,10.0,12.0,2.0,soft_framework,soft_framework,1,1,5,199.0
IRL,10.0,,,14.0,,,binding_regulation,,1,1,4,429.0
ISR,4.0,5.0,1.0,8.0,10.0,2.0,soft_framework,soft_framework,0,1,4,125.0
ITA,10.0,,,14.0,,,binding_regulation,binding_regulation,0,0,5,159.0
JOR,2.0,5.0,3.0,3.0,8.0,5.0,strategy_only,soft_framework,0,1,1,0.0
JPN,7.0,,,12.0,,,binding_regulation,binding_regulation,0,0,11,369.0
KAZ,9.0,9.0,0.0,12.0,12.0,0.0,binding_regulation,binding_regulation,0,0,0,0.0
KOR,8.0,,,12.0,,,binding_regulation,binding_regulation,1,0,5,225.0
LBN,0.0,5.0,5.0,1.0,7.0,6.0,no_framework,strategy_only,1,1,1,54.0
MNG,1.0,3.0,2.0,1.0,5.0,4.0,soft_framework,soft_framework,1,0,3,14.0
NLD,10.0,,,14.0,,,binding_regulation,,1,0,5,316.0
NOR,4.0,,,8.0,,,strategy_only,,0,1,4,250.0
NZL,4.0,,,9.0,,,strategy_only,soft_framework,0,0,5,270.0
POL,10.0,,,14.0,,,binding_regulation,binding_regulation,1,1,2,0.0
QAT,,6.0,,,11.0,,,soft_framework,0,0,6,131.0
SGP,6.0,7.0,1.0,12.0,13.0,1.0,strategy_only,soft_framework,1,1,7,44.0
SWE,10.0,,,14.0,,,binding_regulation,,1,0,5,322.0
TWN,5.0,7.0,2.0,9.0,12.0,3.0,strategy_only,binding_regulation,0,1,7,30.0
USA,6.0,7.0,1.0,13.0,15.0,2.0,strategy_only,soft_framework,1,1,9,
