iso3,country_name_canonical,entity_type,region,income_group,n_sources_present,source_list,n_variables_available,pct_variables_available,included_in_matrix,included_in_dense_candidate,inclusion_notes,iapp_ley_ia_vigente,iapp_categoria_obligatoriedad,iapp_proyecto_ley_ia,iapp_modelo_gobernanza,iapp_n_leyes_relacionadas,iapp_n_autoridades,oxford_ind_company_investment_emerging_tech,oxford_ind_ai_unicorns_log,oxford_ind_non_ai_unicorns_log,oxford_ind_vc_availability,wipo_c_vencapdeal_score,wb_fdi_net_inflows,ms_h2_2025_ai_diffusion_pct,ms_h1_2025_ai_diffusion_pct,ms_change_pp,anthropic_usage_pct,anthropic_collaboration_pct,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_bigdata_pct,oxford_public_sector_adoption,oxford_ind_adoption_emerging_tech,wipo_out_score,oxford_total_score,wipo_gii_score,oxford_innovation_capacity,oxford_ind_ai_research_papers_log,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,wb_patent_applications_residents,wb_gdp_per_capita_ppp,wb_internet_penetration,wb_tertiary_education_enrollment,wb_rd_expenditure_pct_gdp,wb_researchers_rd_per_million,wb_government_effectiveness,wb_rule_of_law,wb_regulatory_quality,wipo_in_score,wb_mobile_subscriptions_per100,wb_secure_servers_per_1m,wb_electric_consumption_kwh_pc,oxford_ind_ai_unicorns_log_log,oxford_ind_non_ai_unicorns_log_log,oxford_ind_vc_availability_log,wb_fdi_net_inflows_log,wb_gdp_per_capita_ppp_log,wb_researchers_rd_per_million_log,wb_mobile_subscriptions_per100_log,wb_secure_servers_per_1m_log,wb_electric_consumption_kwh_pc_log,iapp_ley_ia_vigente_z,iapp_proyecto_ley_ia_z,iapp_n_leyes_relacionadas_z,iapp_n_autoridades_z,oxford_ind_company_investment_emerging_tech_z,oxford_ind_ai_unicorns_log_z,oxford_ind_ai_unicorns_log_log_z,oxford_ind_non_ai_unicorns_log_z,oxford_ind_non_ai_unicorns_log_log_z,oxford_ind_vc_availability_z,oxford_ind_vc_availability_log_z,wipo_c_vencapdeal_score_z,wb_fdi_net_inflows_z,wb_fdi_net_inflows_log_z,ms_h2_2025_ai_diffusion_pct_z,ms_h1_2025_ai_diffusion_pct_z,ms_change_pp_z,anthropic_usage_pct_z,anthropic_collaboration_pct_z,oecd_5_ict_business_oecd_biz_ai_pct_z,oecd_5_ict_business_oecd_biz_bigdata_pct_z,oxford_public_sector_adoption_z,oxford_ind_adoption_emerging_tech_z,wipo_out_score_z,oxford_total_score_z,wipo_gii_score_z,oxford_innovation_capacity_z,oxford_ind_ai_research_papers_log_z,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications_z,wb_patent_applications_residents_z,wb_gdp_per_capita_ppp_z,wb_gdp_per_capita_ppp_log_z,wb_internet_penetration_z,wb_tertiary_education_enrollment_z,wb_rd_expenditure_pct_gdp_z,wb_researchers_rd_per_million_z,wb_researchers_rd_per_million_log_z,wb_government_effectiveness_z,wb_rule_of_law_z,wb_regulatory_quality_z,wipo_in_score_z,wb_mobile_subscriptions_per100_z,wb_mobile_subscriptions_per100_log_z,wb_secure_servers_per_1m_z,wb_secure_servers_per_1m_log_z,wb_electric_consumption_kwh_pc_z,wb_electric_consumption_kwh_pc_log_z,n_binding,binding_variables_used,n_non_binding,non_binding_variables_used,n_hybrid,hybrid_variables_used,regulatory_intensity,n_regulatory_mechanisms,iapp_categoria_obligatoriedad_binding_ai_specific_horizontal_law,iapp_categoria_obligatoriedad_binding_ai_specific_horizontal_law_light_touch,iapp_categoria_obligatoriedad_binding_ai_specific_laws_subnational_or_use_case,iapp_categoria_obligatoriedad_binding_ai_specific_laws_use_case,iapp_categoria_obligatoriedad_nonbinding_ai_frameworks_plus_adjacent_binding_laws,iapp_modelo_gobernanza_binding_horizontal_ai_law,iapp_modelo_gobernanza_binding_use_case_specific_ai_laws,iapp_modelo_gobernanza_draft_horizontal_ai_law,iapp_modelo_gobernanza_strategy_voluntary_sectoral,split
ARE,United Arab Emirates,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",363,91.44,True,True,,1.0,binding_ai_specific_laws_subnational_or_use_case,0.0,binding_use_case_specific_ai_laws,12.0,9.0,79.5,0.0,0.0,25.0,30.3887519497273,45636487406.3989,64.0,59.4,4.5,0.4704,16.66666666666667,,,97.27,78.0,29.5936839608336,69.86,44.1544888281242,67.25755832,66.6363946,,69.0,79228.738801276,100.0,63.7384451086316,1.49469,2606.78477,1.2599659,0.4968448,1.1257177,58.7152936954148,203.206410299544,4192.27408432243,15284.7010578561,0.0,0.0,3.2580965380214817,24.54397339595041,11.280106997238923,7.866256392800525,5.319131297498093,8.341237112151628,9.634673099014455,0.0,0.0,3.0,1.3333333333333333,0.8472222222222222,0.0,0.0,-1.0,-3.4930404551447762,0.0,0.0,0.9630282979146091,2.758479922006678,1.2351925924977196,4.633986928104576,4.520547945205479,5.4444444444444455,-0.06943192064923343,0.0,,,3.236652236652239,0.4710042432814707,-0.9631550171327005,0.0652866242038211,-0.28079961627921707,0.46698735774409883,0.8443241433315554,,-1.0854853072128228,1.3580326680669064,1.2455075798705721,1.707419359622399,-1.1668578876232667,-0.19740347891276355,-1.0580773677520532,-1.3024229102261655,0.13725835799856315,-0.7893857757509556,0.010738193315412242,0.24825852683326827,6.366255268456794,5.022842225572335,-1.0716030806976513,-1.990019827782778,5.049596481155017,2.689798992127513,4,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,7,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,1,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.36363636363636365,12,0,0,1,0,0,0,1,0,0,train
SGP,Singapore,country_iso3,East Asia & Pacific,High income,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",370,93.2,True,True,,0.0,nonbinding_ai_frameworks_plus_adjacent_binding_laws,0.0,strategy_voluntary_sectoral,9.0,8.0,78.5,26.94303373,39.65185541,100.0,100.0,135077157183.126,60.9,58.6,2.3,0.5499,16.66666666666667,,,92.5,88.54,51.1413477319094,76.42,59.9434212495639,74.94868716,66.6363946,1.0,2024.0,150689.301625826,94.37757178,97.2886546863037,1.80821,8781.74332,2.2796267,1.4311756,2.1321197,68.7454947672184,170.78256295407,209665.455220098,9750.49546711802,3.330167928106212,3.7050444784946204,4.61512051684126,25.62911198681832,11.922982027041533,9.080544088851562,5.146229508206227,12.253273238524761,9.185175933473067,0.0,0.0,1.0,0.6666666666666666,0.7916666666666666,0.0,0.0,1.1826583386523624,0.8893129540012978,4.411764705882353,1.4202069330324063,5.967596773958971,10.308164962277868,2.2997247148549587,4.22875816993464,4.410958904109589,0.5555555555555556,0.16952209197475243,0.0,,,2.5483405483405503,1.2164073550212167,1.2178063175479432,1.1098726114649677,1.4290004369141756,1.354264616956942,0.8443241433315554,-1.0,0.655387355298308,5.850189952779704,3.760373517720771,0.36121063628704936,1.7325453979314172,0.12021700148922615,1.8300991358623127,1.2300807328424475,1.9123032820096364,0.8163103306287905,1.8361575977354254,1.3989109457624556,3.6356266288622012,3.1444934726353853,6.266198379996322,1.7205606680075558,1.9945816445394375,1.3646360878398047,3,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,8,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,3,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.2727272727272727,14,0,0,0,0,1,0,0,0,1,train
NOR,Norway,country_iso3,Europe & Central Asia,High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",368,92.7,True,True,,,,,,,,73.5,0.0,26.61383928,21.0,16.043029029287,12134206004.188,46.4,45.3,1.1,0.2618999999999999,16.66666666666667,28.8939,33.9736,84.17,66.51241379,38.4376646095288,74.84,49.2378087475471,69.10894435,59.48730265,4.0,946.0,102037.526800237,99.0,95.4987564086914,1.85142,7450.59492,1.843057,1.9494549,1.6704537,60.0379528855654,109.348606513576,35469.8678942673,23673.0788246604,0.0,3.318317070240911,3.0910424533583156,23.21929424383913,11.53310573467835,8.91618337168254,4.7036445047442275,10.476467015871684,10.072136008096045,,,,,0.5138888888888888,0.0,0.0,0.46497352084553517,0.4318889781737617,-0.23529411764705882,-0.1748321127209202,-0.06833020670311338,-0.06944694111528549,-0.06433128501136319,2.333333333333333,2.5890410958904106,-2.1111111111111107,-0.6961226330027055,0.0,1.7109372355908845,-0.34838040454524044,1.3463203463203475,-0.34141345190947714,-0.0680055455060105,0.85828025477707,0.26967842977449974,0.680570143394501,-0.21914226487429872,0.5,-0.3045414069456812,2.791839779502118,2.2352145642916006,1.4679838931905398,1.5778626996042062,0.1639921385081403,1.2074890404951368,0.8872920211050389,1.1523144406596135,1.7070002811551144,0.9987843862742299,0.3999923740084818,-1.5381369628738055,-1.6636059271812478,0.04537370564970217,0.03525350273661801,9.68018313222044,3.9794836966316907,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,train
IRL,Ireland,country_iso3,Europe & Central Asia,High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",371,93.45,True,True,,,,,,,,70.5,0.0,29.62872825,27.0,36.4551723326785,4818899599.81408,44.6,41.7,2.9,0.2577,16.66666666666667,19.6416,40.7911,74.12,71.34,43.6818679425728,70.58,50.3512250208889,55.56409663,55.7883584,3.0,75.0,133437.470117019,97.18769836,77.5933380126953,1.58829,5752.79698,1.6115533,1.5913219,1.7944361,57.020582099205,112.638817343502,121467.84808156,6298.24363068244,0.0,3.4219384002308377,3.332204510175204,22.29581144035854,11.801395752576454,8.657615260207828,4.733025149887676,11.707413114497626,8.748184846550176,,,,,0.3472222222222222,0.0,0.0,0.6309297537239081,0.5544530368179678,0.11764705882352941,0.07755843484595226,1.3991620702760086,-0.6869317996697824,-0.9702774167062322,2.0980392156862746,2.0958904109589045,1.8888888888888893,-0.7087466185752932,0.0,0.5555479175903196,0.29450704889433743,-0.10389610389610385,0.0,0.4627900350304353,0.17993630573248331,0.39025144589566235,-0.8820139208528115,-0.7693803906688886,0.0,-1.0801424755120215,4.765704503410965,3.284739582683323,1.0340546047019157,0.030479551180232985,-0.10257929874682134,0.41338814435343363,0.34802551414740474,0.7493083943599204,1.0915300818786935,1.2236645820275809,0.053843281953685575,-1.2610463441457866,-1.3444241628299174,3.11650980792313,1.202810354816407,0.0888554464208202,0.07634236256766806,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,train
FRA,France,country_iso3,Europe & Central Asia,High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",374,94.21,True,True,,,,,,,,67.25,16.99916163,46.85032209,44.0,49.5878640668173,52052548617.7634,44.0,40.9,3.1,3.2332,16.66666666666667,18.1592,39.2695,97.18,83.82,48.8877385687134,80.81,53.4156786988289,70.76751286,73.52719154,4.0,13386.0,62556.91810454,88.65381638,71.5346908569336,2.17832,5368.63555,1.2007009,0.97866,1.1461527,57.9436188289444,116.687800394775,57274.6363971705,6447.21141881145,2.8903251807003527,3.8680778491197776,3.8066624897703196,24.67551959562639,11.04384809628534,8.588515317415803,4.768035358892287,10.955630618515672,8.771558071926151,,,,,0.16666666666666666,0.0,0.0,1.5789019232754098,1.0821500040585286,1.1176470588235294,0.5741071492169166,2.3433120014884823,3.300059512877619,1.3642407678253512,2.019607843137255,1.9863013698630134,2.3333333333333344,8.234746017433126,0.0,0.37043187887518503,0.15102079305955035,3.2236652236652277,0.8826025459688819,0.9897057447605538,1.808917197452229,0.7221043490365787,0.8719087820239798,1.8693677604384364,0.5,10.77292965271594,0.31000788583640204,0.3212852427477224,-1.0092594076538248,-0.4931076839088328,0.49516761389538944,0.23370661179951951,0.20391151428910276,0.0340887182305967,0.03863872117730435,0.04780334772619733,0.15973292845547257,-0.9200544512579589,-0.9640846493222559,0.8240595725170211,0.48974192278906264,0.1710892549503722,0.1452489844470143,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,test
ESP,Spain,country_iso3,Europe & Central Asia,High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",374,94.21,True,True,,,,,,,,43.0,0.0,18.16677155,16.0,9.34148397556923,42778827261.0579,41.8,39.7,2.1,1.564,16.66666666666667,20.2685,47.0748,78.21,68.8,39.7814395823636,74.22,44.6070366016514,60.7880526,70.58643683,3.0,1308.0,57965.2948138837,95.7574516,93.7689666748047,1.49362,3653.80306,1.110811,0.9317736,0.6208378999999999,49.4326336209393,130.260997343256,29986.3824811398,5196.11110519718,0.0,2.953178131294136,2.833213344056216,24.479309126995794,10.967616996712062,8.203797488379232,4.877187687243557,10.308531988212044,8.555858193497869,,,,,-1.1805555555555556,0.0,0.0,0.0,0.0,-0.5294117647058824,-0.4446657297266236,-0.5501250610692618,2.5172648897029517,1.1717562793389746,1.732026143790849,1.8219178082191785,0.11111111111111172,3.217613465584612,0.0,0.6338326212266645,0.8870573813003919,0.48629148629148544,-0.17963224893918006,0.06800554550601122,0.7595541401273878,-0.2317927431990165,-0.2793589098999376,1.4319144627705902,0.0,0.017809439002671415,0.021369045075795186,0.023076435694560096,0.6916028046086594,1.4283745711876366,-0.1984874732800453,-0.568361752732663,-0.5984513085880996,-0.12239333022597132,-0.04193799739192543,-0.9050165287734703,-0.8166369017159002,0.22303507551757978,0.2217107127643683,-0.15045101002232922,-0.12403348185766348,-0.5195482642958641,-0.49065597617327483,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,train
NZL,New Zealand,country_iso3,East Asia & Pacific,High income,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",385,96.98,True,True,,0.0,nonbinding_ai_frameworks_plus_adjacent_binding_laws,0.0,strategy_voluntary_sectoral,6.0,4.0,68.5,0.0,0.0,38.0,19.3026608634052,1759833655.17084,40.5,37.6,2.9,0.2739,16.66666666666667,9.023666707,,64.32,77.97,34.1069852263324,62.7,45.4891781536966,61.66813377,54.2380313,2.0,330.0,55551.143658637,93.51930237,77.2406463623047,1.54848,5435.46099,1.8491848,1.6674536,1.8444942,56.8713710810608,130.093457083544,18718.2978723404,7992.62411347518,0.0,0.0,3.6635616461296463,21.28848512799049,10.92507738403765,8.600883574839541,4.8759104816946515,9.837310242508762,8.98639951708433,0.0,0.0,-1.0,-2.0,0.2361111111111111,0.0,0.0,-1.0,-3.4930404551447762,0.7647058823529411,0.42434353896883176,0.1660148334656459,-0.9451474912240685,-1.9584748932643055,1.5620915032679736,1.534246575342466,1.8888888888888893,-0.6600541027953112,0.0,-0.7703760911399166,,-1.5180375180375212,0.46888260254596853,-0.5063381827698423,-1.07484076433121,-0.13626470923499184,-0.17782946933963245,-1.0,-0.5,-0.8530721282279609,-0.13038943918167328,-0.14333448083624317,0.1557104997795047,0.0,-0.14290996768278452,0.26496247596263856,0.22970660147139924,1.1629818315069964,1.2223663705486922,1.3144603347073227,0.03672597615598257,0.20892539178448638,0.20783556745871845,-0.5528537335536063,-0.5709890217135594,1.0241943001971818,0.7786231973506248,3,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,7,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,1,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.3,11,0,0,0,0,1,0,0,0,1,train
NLD,Netherlands (Kingdom of the),country_iso3,Europe & Central Asia,High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",372,93.7,True,True,,,,,,,,87.75,0.0,34.3858701,33.0,17.9439125883412,-17058018836.8683,38.9,36.3,2.6,1.0296,16.66666666666667,33.2079,55.9647,94.01,100.0,53.447584458329,77.18,57.035492429262,68.71013875,67.14232016,5.0,2080.0,86173.6290841738,97.00679779,86.5938262939453,2.26719,6563.33599,1.7519974,1.7069218,1.7218271,60.623400400195,128.538765867661,198682.41199523,6386.36706563515,0.0,3.566312590740762,3.526360524616161,-23.559886243184863,11.36413108715966,8.789406637676338,4.86398018667265,12.19946794239389,8.762077422653148,,,,,1.3055555555555556,0.0,0.0,0.8927892611717242,0.725219873666021,0.47058823529411764,0.2807543415526295,0.06833020670311338,-2.5335620212564094,-45.955188641908855,1.3529411764705879,1.3561643835616435,1.222222222222223,1.6113615870153302,0.0,2.24965188144699,1.7253713046348254,2.7662337662337695,2.0268741159830266,1.4512336246740785,1.2308917197452234,1.1140977747884344,0.6345624445133656,0.9195833289562036,1.0,0.705253784505788,1.7946026899466196,1.5742018235487012,0.9907405923461751,0.8083001854697959,0.5851999311106383,0.7924967173081214,0.6228880073188772,0.9937961561845425,1.2901945263429966,1.0919658398395362,0.4671541979880978,0.07799446571075368,0.0782287260921567,5.873974975594718,1.6695261489121174,0.13750170591009775,0.11729907577514435,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,train
GBR,United Kingdom,country_iso3,Europe & Central Asia,High income,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",389,97.98,True,True,,0.0,nonbinding_ai_frameworks_plus_adjacent_binding_laws,1.0,draft_horizontal_ai_law,11.0,10.0,82.25,43.94219535,59.7105289,77.0,73.1447326591885,-12955141484.5037,38.9,36.4,2.5,3.5869,16.66666666666667,4.1104,26.8669,68.93,84.23,57.8165944024802,77.75,59.1153757105143,79.89459883,79.6055931,27.0,11592.0,62009.4907765366,95.4720993,80.4146499633789,2.67614,,1.1849099,1.269914,1.5112377,60.4141570185484,121.643331373201,68449.1953890157,4198.22032184439,3.8053771162538355,4.10611714101347,4.356708826689592,-23.284758572205646,11.035058855786666,,4.809280398033514,11.133861685190471,8.34265414938256,0.0,0.0,2.3333333333333335,2.0,1.0,0.0,0.0,2.2867991285991596,1.36370460033827,3.0588235294117645,1.1497636102480853,4.036888330798938,-2.1872382308986316,-45.6852855659594,1.3529411764705879,1.36986301369863,1.0000000000000004,9.297865945296065,0.0,-1.3839247082141157,-1.0185392993540479,-0.8528138528138532,0.9115983026874116,1.8934459155406014,1.3216560509554134,1.3393305169396588,1.9248434022248808,2.7735631351595633,12.0,9.175422974176314,0.2755954832168065,0.28690257033863154,0.6232793435607556,0.27429684002455296,0.9994985259702766,,,0.0065994449398526995,0.5391738782838951,0.7099972257815671,0.44315005275581376,-0.5027161055055658,-0.5160119708782956,1.223122335062123,0.6587947378407858,-1.0704080215782346,-1.1192029659311324,4,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,9,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,3,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.3076923076923077,16,0,0,0,0,1,0,0,1,0,test
QAT,Qatar,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",337,84.89,True,True,,,,,,,,71.0,0.0,0.0,0.0,0.679195832220637,460164835.164835,38.3,35.7,2.6,0.0634,16.66666666666667,,,62.82,62.68,21.7079315997501,58.61,34.5617675520126,55.06440943,51.79539476,,47.0,126046.354855612,98.08540344,43.0178909301758,0.68058,947.77921,1.1342702,0.5895929999999999,0.9663365,47.4156035042751,153.612474384296,445.444117933167,19963.2383947181,0.0,0.0,0.0,19.947095322747924,11.744412947513785,6.8551761161146905,5.040921821024316,6.101314236679135,9.901697871748324,,,,,0.375,0.0,0.0,-1.0,-3.4930404551447762,-1.4705882352941178,-3.409793315377745,-1.1728838161099335,-1.0548525087759315,-3.2743920934268544,1.274509803921568,1.2739726027397265,1.222222222222223,-1.2927562368500152,0.0,,,-1.7344877344877367,-0.6124469589816127,-1.7613167657616122,-1.726114649681529,-1.3196054652353713,-0.9396596967204465,-1.3633555038757301,,-1.1050756901157615,4.301083865798593,3.0618282720056262,1.248997039249964,-2.9575245815061693,-1.0221610997983972,-1.8340341355521534,-3.411119632155296,-0.08155510845520147,-0.629993167037072,-0.278348608161281,-1.0480281336740593,2.189618846582619,2.000465040639726,-1.2054088369932892,-4.1145948228272085,7.6322618237100155,3.4770149091101934,0,iapp_ley_ia_vigente|iapp_categoria_obligatoriedad|iapp_firmo_coe_convencion|iapp_n_leyes_relacionadas|iapp_n_autoridades,0,iapp_estrategia_nacional_ia|iapp_adhiere_oecd_ai|iapp_adopto_unesco_etica_ia|iapp_endoso_hiroshima_g7|iapp_firmo_bletchley|iapp_endoso_declaracion_data_scraping|iapp_firmo_ai_action_summit|iapp_marcos_voluntarios|iapp_guias_sectoriales|iapp_herramientas_testing,0,iapp_proyecto_ley_ia|iapp_modelo_gobernanza|iapp_sandbox_regulatorio|iapp_instituto_seguridad_ia,0.0,0,0,0,0,0,0,0,0,0,0,train
