column,n_total,n_non_null,n_null,pct_null
iso3,43,43,0,0.0
country_name_canonical,43,43,0,0.0
entity_type,43,43,0,0.0
region,43,42,1,2.3256
income_group,43,42,1,2.3256
n_sources_present,43,43,0,0.0
source_list,43,43,0,0.0
n_variables_available,43,43,0,0.0
pct_variables_available,43,43,0,0.0
included_in_matrix,43,43,0,0.0
included_in_dense_candidate,43,43,0,0.0
inclusion_notes,43,1,42,97.6744
iapp_ley_ia_vigente,43,18,25,58.1395
iapp_categoria_obligatoriedad,43,18,25,58.1395
iapp_proyecto_ley_ia,43,18,25,58.1395
iapp_modelo_gobernanza,43,18,25,58.1395
iapp_n_leyes_relacionadas,43,18,25,58.1395
iapp_n_autoridades,43,18,25,58.1395
oxford_ind_company_investment_emerging_tech,43,43,0,0.0
oxford_ind_ai_unicorns_log,43,43,0,0.0
oxford_ind_non_ai_unicorns_log,43,43,0,0.0
oxford_ind_vc_availability,43,43,0,0.0
wipo_c_vencapdeal_score,43,40,3,6.9767
wb_fdi_net_inflows,43,42,1,2.3256
ms_h2_2025_ai_diffusion_pct,43,42,1,2.3256
ms_h1_2025_ai_diffusion_pct,43,42,1,2.3256
ms_change_pp,43,42,1,2.3256
anthropic_usage_pct,43,42,1,2.3256
anthropic_collaboration_pct,43,42,1,2.3256
oecd_5_ict_business_oecd_biz_ai_pct,43,31,12,27.907
oecd_5_ict_business_oecd_biz_bigdata_pct,43,29,14,32.5581
oxford_public_sector_adoption,43,43,0,0.0
oxford_ind_adoption_emerging_tech,43,43,0,0.0
wipo_out_score,43,42,1,2.3256
oxford_total_score,43,43,0,0.0
wipo_gii_score,43,42,1,2.3256
oxford_innovation_capacity,43,43,0,0.0
oxford_ind_ai_research_papers_log,43,43,0,0.0
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,43,26,17,39.5349
wb_patent_applications_residents,43,41,2,4.6512
wb_gdp_per_capita_ppp,43,42,1,2.3256
wb_internet_penetration,43,42,1,2.3256
wb_tertiary_education_enrollment,43,41,2,4.6512
wb_rd_expenditure_pct_gdp,43,42,1,2.3256
wb_researchers_rd_per_million,43,36,7,16.2791
wb_government_effectiveness,43,42,1,2.3256
wb_rule_of_law,43,42,1,2.3256
wb_regulatory_quality,43,42,1,2.3256
wipo_in_score,43,42,1,2.3256
wb_mobile_subscriptions_per100,43,42,1,2.3256
wb_secure_servers_per_1m,43,42,1,2.3256
wb_electric_consumption_kwh_pc,43,42,1,2.3256
oxford_ind_ai_unicorns_log_log,43,43,0,0.0
oxford_ind_non_ai_unicorns_log_log,43,43,0,0.0
oxford_ind_vc_availability_log,43,43,0,0.0
wb_fdi_net_inflows_log,43,42,1,2.3256
wb_gdp_per_capita_ppp_log,43,42,1,2.3256
wb_researchers_rd_per_million_log,43,36,7,16.2791
wb_mobile_subscriptions_per100_log,43,42,1,2.3256
wb_secure_servers_per_1m_log,43,42,1,2.3256
wb_electric_consumption_kwh_pc_log,43,42,1,2.3256
iapp_ley_ia_vigente_z,43,18,25,58.1395
iapp_proyecto_ley_ia_z,43,18,25,58.1395
iapp_n_leyes_relacionadas_z,43,18,25,58.1395
iapp_n_autoridades_z,43,18,25,58.1395
oxford_ind_company_investment_emerging_tech_z,43,43,0,0.0
oxford_ind_ai_unicorns_log_z,43,43,0,0.0
