iso3,country_name_canonical,n_null_all_columns,n_null_observed_core_40,pct_null_observed_core_40
ARE,United Arab Emirates,7,3,7.5
SGP,Singapore,5,2,5.0
NOR,Norway,11,6,15.0
IRL,Ireland,11,6,15.0
FRA,France,11,6,15.0
ESP,Spain,11,6,15.0
NZL,New Zealand,3,1,2.5
NLD,Netherlands (Kingdom of the),11,6,15.0
GBR,United Kingdom,5,1,2.5
QAT,Qatar,17,9,22.5
AUS,Australia,5,1,2.5
ISR,Israel,5,1,2.5
BEL,Belgium,11,6,15.0
CAN,Canada,1,0,0.0
CHE,Switzerland,11,6,15.0
SWE,Sweden,11,6,15.0
AUT,Austria,13,7,17.5
KOR,South Korea,1,0,0.0
HUN,Hungary,13,7,17.5
DNK,Denmark,11,6,15.0
DEU,Germany,11,6,15.0
POL,Poland,11,6,15.0
TWN,Taiwan,54,20,50.0
CZE,Czech Republic,13,7,17.5
ITA,Italy,11,6,15.0
BGR,Bulgaria,13,7,17.5
FIN,Finland,11,6,15.0
CRI,Costa Rica,19,10,25.0
CHL,Chile,7,3,7.5
USA,United States,3,1,2.5
CHN,China,9,4,10.0
IND,India,5,2,5.0
JPN,Japan,1,0,0.0
EST,Estonia,19,10,25.0
ARG,Argentina,7,3,7.5
BRA,Brazil,5,1,2.5
COL,Colombia,7,2,5.0
MEX,Mexico,17,9,22.5
PER,Peru,11,4,10.0
URY,Uruguay,19,10,25.0
GRC,Greece,13,7,17.5
ROU,Romania,13,7,17.5
HRV,Croatia,15,8,20.0
