question_id,question_label,group_name,rank_type,iso3,country_name,rank,percentile,value_summary,main_driver_1,main_driver_2,main_driver_3,why_this_country_is_best_or_worst,lesson_for_chile,caution_note
Q1,Inversión,global_43,best_global,USA,United States,1.0,1.0,100.0,oxford_ind_ai_unicorns_log,,,ubicado en el tramo superior de la muestra,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,best_global,CHN,China,2.0,0.9767441860465116,72.21120639,oxford_ind_ai_unicorns_log,,,ubicado en el tramo superior de la muestra,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,best_global,GBR,United Kingdom,3.0,0.9534883720930233,43.94219535,oxford_ind_ai_unicorns_log,,,ubicado en el tramo superior de la muestra,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,best_global,ISR,Israel,4.0,0.9302325581395349,39.47083098,oxford_ind_ai_unicorns_log,,,ubicado en el tramo superior de la muestra,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,best_global,SGP,Singapore,5.0,0.8837209302325582,26.94303373,oxford_ind_ai_unicorns_log,,,desempeño alto relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,worst_global,ARE,United Arab Emirates,1.0,0.37209302325581395,0.0,oxford_ind_ai_unicorns_log,,,desempeño bajo relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,worst_global,NOR,Norway,1.0,0.37209302325581395,0.0,oxford_ind_ai_unicorns_log,,,desempeño bajo relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,worst_global,IRL,Ireland,1.0,0.37209302325581395,0.0,oxford_ind_ai_unicorns_log,,,desempeño bajo relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,worst_global,ESP,Spain,1.0,0.37209302325581395,0.0,oxford_ind_ai_unicorns_log,,,desempeño bajo relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
Q1,Inversión,global_43,worst_global,NZL,New Zealand,1.0,0.37209302325581395,0.0,oxford_ind_ai_unicorns_log,,,desempeño bajo relativo,comparar perfil país y drivers antes de extraer lección política,ranking descriptivo in-sample; no causalidad
