iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index,section,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes,value_used_for_ranking,outcome_label,value_type,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,abs_contribution,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.5902616279069768,middle_performer,0.7700719822812846,high_performer,0.43327796234772975,middle_performer,0.5583241048357327,middle_performer,0.5988372093023256,middle_performer,0.59015457733481,18.0,middle_performer,Q2,,0_missing_Q_dimensions,context_case,1.0,1.0,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,79.5,79.5,observed_or_phase6_score,10.0,0.7906976744186046,10.0,43.0,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_vc_availability,25.0,25.0,observed_or_phase6_score,21.0,0.5232558139534884,21.0,43.0,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,wipo_c_vencapdeal_score,30.3887519497273,30.3887519497273,observed_or_phase6_score,14.0,0.675,14.0,40.0,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,ms_h2_2025_ai_diffusion_pct,64.0,64.0,observed_or_phase6_score,1.0,1.0,1.0,42.0,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oecd_5_ict_business_oecd_biz_ai_pct,,,observed_or_phase6_score,,,,31.0,True,True,not_ranked_missing,missing,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,anthropic_usage_pct,0.4704,0.4704,observed_or_phase6_score,24.0,0.4523809523809524,24.0,42.0,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oxford_public_sector_adoption,97.27,97.27,observed_or_phase6_score,2.0,0.9767441860465116,2.0,43.0,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oxford_ind_adoption_emerging_tech,78.0,78.0,observed_or_phase6_score,16.0,0.6511627906976745,16.0,43.0,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
