iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index,section,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes,value_used_for_ranking,outcome_label,value_type,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,abs_contribution,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore
URY,Uruguay,Latin America & Caribbean ,High income,0.257703488372093,low_performer,0.3215669988925803,low_performer,0.12846068660022147,bottom_laggard,0.10151347360649687,bottom_laggard,0.43604651162790703,middle_performer,0.2490582318198597,39.0,low_performer,,Q3;Q5,0_missing_Q_dimensions,gap_case,1.0,1.0,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,27.0,27.0,observed_or_phase6_score,40.0,0.09302325581395349,40.0,43.0,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_ai_unicorns_log,0.0,0.0,observed_or_phase6_score,13.0,0.37209302325581395,13.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,oxford_ind_vc_availability,8.0,8.0,observed_or_phase6_score,30.0,0.29069767441860467,30.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q1,Inversión,question_outcome,wipo_c_vencapdeal_score,4.24955873945845,4.24955873945845,observed_or_phase6_score,30.0,0.275,30.0,40.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,ms_h2_2025_ai_diffusion_pct,22.5,22.5,observed_or_phase6_score,31.0,0.2857142857142857,31.0,42.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oecd_5_ict_business_oecd_biz_ai_pct,,,observed_or_phase6_score,,,,31.0,True,True,not_ranked_missing,missing,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,anthropic_usage_pct,0.0593,0.0593,observed_or_phase6_score,42.0,0.023809523809523808,42.0,42.0,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oxford_public_sector_adoption,83.22,83.22,observed_or_phase6_score,11.0,0.7674418604651163,11.0,43.0,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q2,Adopción,question_outcome,oxford_ind_adoption_emerging_tech,51.47,51.47,observed_or_phase6_score,35.0,0.20930232558139536,35.0,43.0,False,False,low_performer,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
