country_a,country_b,dimension,country_a_percentile,country_b_percentile,gap_b_minus_a,interpretation
CHL,SGP,Q1,0.4055232558139535,0.8946947674418605,0.489171511627907,positive gap means benchmark above Chile
CHL,SGP,Q2,0.3113233665559247,0.8111849390919158,0.4998615725359911,positive gap means benchmark above Chile
CHL,SGP,Q3,0.21124031007751937,0.8349944629014396,0.6237541528239203,positive gap means benchmark above Chile
CHL,SGP,Q5,0.41768180140273165,0.6598375784422296,0.24215577703949792,positive gap means benchmark above Chile
CHL,SGP,Q6,0.33570892723180795,0.6589147286821705,0.32320580145036254,positive gap means benchmark above Chile
CHL,EST,Q1,0.4055232558139535,0.7686046511627908,0.36308139534883727,positive gap means benchmark above Chile
CHL,EST,Q2,0.3113233665559247,0.5848113814167828,0.2734880148608581,positive gap means benchmark above Chile
CHL,EST,Q3,0.21124031007751937,0.6124031007751938,0.4011627906976744,positive gap means benchmark above Chile
CHL,EST,Q5,0.41768180140273165,0.4003322259136213,-0.01734957548911037,positive gap means benchmark above Chile
CHL,EST,Q6,0.33570892723180795,0.8683420855213804,0.5326331582895725,positive gap means benchmark above Chile
CHL,IRL,Q1,0.4055232558139535,0.5886627906976745,0.18313953488372098,positive gap means benchmark above Chile
CHL,IRL,Q2,0.3113233665559247,0.5671274961597542,0.25580412960382953,positive gap means benchmark above Chile
CHL,IRL,Q3,0.21124031007751937,0.6470099667774087,0.4357696566998894,positive gap means benchmark above Chile
CHL,IRL,Q5,0.41768180140273165,0.4483204134366925,0.030638612033960844,positive gap means benchmark above Chile
CHL,IRL,Q6,0.33570892723180795,0.6272103740220769,0.29150144679026896,positive gap means benchmark above Chile
CHL,ARE,Q1,0.4055232558139535,0.5902616279069768,0.1847383720930233,positive gap means benchmark above Chile
CHL,ARE,Q2,0.3113233665559247,0.7700719822812846,0.4587486157253599,positive gap means benchmark above Chile
CHL,ARE,Q3,0.21124031007751937,0.43327796234772975,0.22203765227021038,positive gap means benchmark above Chile
CHL,ARE,Q5,0.41768180140273165,0.5583241048357327,0.14064230343300105,positive gap means benchmark above Chile
CHL,ARE,Q6,0.33570892723180795,0.5988372093023256,0.2631282820705177,positive gap means benchmark above Chile
CHL,KOR,Q1,0.4055232558139535,0.3574127906976744,-0.04811046511627909,positive gap means benchmark above Chile
CHL,KOR,Q2,0.3113233665559247,0.7047297538670382,0.3934063873111135,positive gap means benchmark above Chile
CHL,KOR,Q3,0.21124031007751937,0.8939645625692136,0.6827242524916943,positive gap means benchmark above Chile
CHL,KOR,Q5,0.41768180140273165,0.6777408637873754,0.26005906238464377,positive gap means benchmark above Chile
CHL,KOR,Q6,0.33570892723180795,0.6445182724252492,0.3088093451934412,positive gap means benchmark above Chile
CHL,URY,Q1,0.4055232558139535,0.257703488372093,-0.14781976744186048,positive gap means benchmark above Chile
CHL,URY,Q2,0.3113233665559247,0.3215669988925803,0.010243632336655595,positive gap means benchmark above Chile
CHL,URY,Q3,0.21124031007751937,0.12846068660022147,-0.08277962347729789,positive gap means benchmark above Chile
CHL,URY,Q5,0.41768180140273165,0.10151347360649687,-0.31616832779623477,positive gap means benchmark above Chile
CHL,URY,Q6,0.33570892723180795,0.43604651162790703,0.10033758439609908,positive gap means benchmark above Chile
CHL,BRA,Q1,0.4055232558139535,0.46002906976744184,0.05450581395348836,positive gap means benchmark above Chile
CHL,BRA,Q2,0.3113233665559247,0.5336512699603473,0.2223279034044226,positive gap means benchmark above Chile
CHL,BRA,Q3,0.21124031007751937,0.3745847176079734,0.16334440753045404,positive gap means benchmark above Chile
CHL,BRA,Q5,0.41768180140273165,0.4021779254337394,-0.01550387596899222,positive gap means benchmark above Chile
CHL,BRA,Q6,0.33570892723180795,0.5865394920158611,0.25083056478405313,positive gap means benchmark above Chile
