figure_path,figure_type,methodology_note
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_heatmaps/heatmap_country_by_q_percentiles.png,q_heatmaps,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_heatmaps/heatmap_country_by_q_percentiles.svg,q_heatmaps,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q1_ranking.png,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q1_ranking.svg,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q2_ranking.png,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q2_ranking.svg,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q3_ranking.png,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q3_ranking.svg,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q5_ranking.png,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q5_ranking.svg,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q6_ranking.png,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/q_rankings/q6_ranking.svg,q_rankings,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/clusters/q4_regulatory_profile_map.png,clusters,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/clusters/q4_regulatory_profile_map.svg,clusters,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/SGP_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/SGP_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/CHL_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/CHL_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/EST_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/EST_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/IRL_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/IRL_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/ARE_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/ARE_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/KOR_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/KOR_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/USA_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/USA_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/CHN_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/CHN_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/BRA_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/BRA_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/URY_country_card_radar.png,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/country_cards/URY_country_card_radar.svg,country_cards,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/chile_vs_benchmarks/chile_vs_singapore_q_profile.png,chile_vs_benchmarks,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/chile_vs_benchmarks/chile_vs_singapore_q_profile.svg,chile_vs_benchmarks,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/pioneer_vs_laggard/top_bottom_by_q_panel.png,pioneer_vs_laggard,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/pioneer_vs_laggard/top_bottom_by_q_panel.svg,pioneer_vs_laggard,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/residuals/observed_vs_expected_selected_outcomes.png,residuals,descriptive in-sample positioning; not causal or external prediction
/home/pablo/Research_LeyIA_DataScience/Research_AI_law/F5_F8_MVP/FASE6/outputs/country_intelligence/figures/residuals/observed_vs_expected_selected_outcomes.svg,residuals,descriptive in-sample positioning; not causal or external prediction
