iso3,country_name,question_id,outcome,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,causal_claim,abs_contribution
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
SGP,Singapore,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
NOR,Norway,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
IRL,Ireland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
FRA,France,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
ESP,Spain,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
NZL,New Zealand,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
GBR,United Kingdom,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
QAT,Qatar,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
AUS,Australia,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
ISR,Israel,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
BEL,Belgium,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
CAN,Canada,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,3.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
CHE,Switzerland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
SWE,Sweden,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
AUT,Austria,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
KOR,South Korea,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
HUN,Hungary,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
DNK,Denmark,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
DEU,Germany,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
POL,Poland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
TWN,Taiwan,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
CZE,Czech Republic,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
ITA,Italy,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
BGR,Bulgaria,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
FIN,Finland,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
CRI,Costa Rica,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,0.0,0.3023255813953488,4.7295748294962765,-3.869356913694386,negative,1.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,3.869356913694386
CHL,Chile,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
USA,United States,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,5.0,1.0,4.7295748294962765,9.335591283834075,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,9.335591283834075
CHN,China,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,4.0,0.9069767441860465,4.7295748294962765,6.694601644328383,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,6.694601644328383
IND,India,Q1,oxford_ind_company_investment_emerging_tech,phase6_primary_or_available,n_binding,3.0,0.7093023255813954,4.7295748294962765,4.053612004822691,positive,2.0,descriptive_driver_not_causal,model_term,Descriptive contribution based on in-sample model coefficient and country value; not causal.,False,4.053612004822691
