iso3,country_name,region,income_group,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,79.5,79.5,observed_or_phase6_score,10.0,0.7906976744186046,10.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
SGP,Singapore,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,78.5,78.5,observed_or_phase6_score,11.0,0.7674418604651163,11.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NOR,Norway,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,73.5,73.5,observed_or_phase6_score,13.0,0.7209302325581395,13.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
IRL,Ireland,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,70.5,70.5,observed_or_phase6_score,15.0,0.6744186046511628,15.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
FRA,France,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,67.25,67.25,observed_or_phase6_score,20.0,0.5581395348837209,20.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ESP,Spain,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,43.0,43.0,observed_or_phase6_score,30.0,0.32558139534883723,30.0,43,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NZL,New Zealand,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,68.5,68.5,observed_or_phase6_score,17.0,0.627906976744186,17.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,87.75,87.75,observed_or_phase6_score,5.0,0.8953488372093024,5.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
GBR,United Kingdom,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,82.25,82.25,observed_or_phase6_score,8.0,0.8372093023255814,8.0,43,False,False,high_performer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,71.0,71.0,observed_or_phase6_score,14.0,0.6976744186046512,14.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
AUS,Australia,East Asia & Pacific,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,65.75,65.75,observed_or_phase6_score,21.0,0.5348837209302325,21.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,96.25,96.25,observed_or_phase6_score,2.0,0.9767441860465116,2.0,43,False,False,top_pioneer,strength,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
BEL,Belgium,Europe & Central Asia,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,67.5,67.5,observed_or_phase6_score,19.0,0.5813953488372093,19.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
CAN,Canada,North America,High income,Q1,Inversión,question_outcome,oxford_ind_company_investment_emerging_tech,68.25,68.25,observed_or_phase6_score,18.0,0.6046511627906976,18.0,43,False,False,middle_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.
