iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.5902616279069768,middle_performer,0.7700719822812846,high_performer,0.43327796234772975,middle_performer,0.5583241048357327,middle_performer,0.5988372093023256,middle_performer,0.59015457733481,18.0,middle_performer,Q2,,0_missing_Q_dimensions,context_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0.1757267441860465,bottom_laggard,0.33568660022148394,low_performer,0.1644518272425249,bottom_laggard,0.45035068290882246,middle_performer,0.2938055942557068,low_performer,0.2840042897629169,35.0,low_performer,,Q1;Q3,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
AUS,Australia,East Asia & Pacific,High income,0.5578488372093023,middle_performer,0.5949344478976887,middle_performer,0.6450719822812846,middle_performer,0.6770025839793282,middle_performer,0.6991747936984246,middle_performer,0.6348065290132057,15.0,middle_performer,,,0_missing_Q_dimensions,context_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
AUT,Austria,Europe & Central Asia,High income,0.4526162790697674,middle_performer,0.6125638552495267,middle_performer,0.5764119601328903,middle_performer,0.35252860834256183,low_performer,0.6413031829385918,middle_performer,0.5270847771466676,21.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
BEL,Belgium,Europe & Central Asia,High income,0.5129360465116279,middle_performer,0.5885078412460258,middle_performer,0.471483942414175,middle_performer,0.5003691399040237,middle_performer,0.46661665416354087,middle_performer,0.5079827248478787,22.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
BGR,Bulgaria,Europe & Central Asia,High income,0.37950581395348837,low_performer,0.2209105847890544,low_performer,0.2840531561461794,low_performer,0.12569213732004428,bottom_laggard,0.2596899224806202,low_performer,0.25397032293787736,38.0,low_performer,,Q2;Q5,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
BRA,Brazil,Latin America & Caribbean ,Upper middle income,0.46002906976744184,middle_performer,0.5336512699603473,middle_performer,0.3745847176079734,low_performer,0.4021779254337394,middle_performer,0.5865394920158611,middle_performer,0.4713964949570726,25.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
CAN,Canada,North America,High income,0.8539970930232559,high_performer,0.6196906369449505,middle_performer,0.6697120708748616,middle_performer,0.7318198597268365,middle_performer,0.5581931197084986,middle_performer,0.6866825560556806,8.0,middle_performer,Q1,,0_missing_Q_dimensions,context_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
CHE,Switzerland,Europe & Central Asia,High income,0.7531976744186046,high_performer,0.606019361983353,middle_performer,0.7209302325581395,middle_performer,0.6834625322997416,middle_performer,0.5736434108527132,middle_performer,0.6674506424225104,11.0,middle_performer,Q1,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
CHL,Chile,Latin America & Caribbean ,High income,0.4055232558139535,middle_performer,0.3113233665559247,low_performer,0.21124031007751937,low_performer,0.41768180140273165,middle_performer,0.33570892723180795,low_performer,0.3362955322163874,31.0,low_performer,,Q3,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
CHN,China,East Asia & Pacific,Upper middle income,0.680813953488372,middle_performer,0.08600959763750461,bottom_laggard,0.8709856035437431,high_performer,0.11627906976744186,bottom_laggard,0.11434108527131782,bottom_laggard,0.37368586194167586,29.0,low_performer,Q3,Q2;Q5;Q6,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
COL,Colombia,Latin America & Caribbean ,Upper middle income,0.2738372093023256,low_performer,0.2940806630228986,low_performer,0.09413067552602436,bottom_laggard,0.4280177187153931,middle_performer,0.3517307898403172,low_performer,0.28835941128139175,34.0,low_performer,,Q3,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
CRI,Costa Rica,Latin America & Caribbean ,High income,0.2984496124031008,low_performer,0.20016611295681064,low_performer,0.0473421926910299,bottom_laggard,0.3385012919896641,low_performer,0.18695745364912655,bottom_laggard,0.2142833327379464,42.0,low_performer,,Q2;Q3;Q6,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
CZE,Czech Republic,Europe & Central Asia,High income,0.2895348837209302,low_performer,0.4197281463222948,middle_performer,0.400609080841639,middle_performer,0.4878183831672203,middle_performer,0.4454506483763798,middle_performer,0.4086282284856928,27.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
DEU,Germany,Europe & Central Asia,High income,0.7459302325581395,middle_performer,0.7503804522559212,high_performer,0.8585271317829457,high_performer,0.7711332595053525,high_performer,0.6569767441860465,middle_performer,0.7565895640576812,6.0,high_performer,Q2;Q3;Q5,,0_missing_Q_dimensions,positive_comparator,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
