iso3,country_name,region,income_group,value_used_for_ranking,question_id,question_label,outcome,outcome_label,value_type,rank_desc,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,interpretation_label,missingness_flag,why_high_or_low_short
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,79.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,10.0,34.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
SGP,Singapore,East Asia & Pacific,High income,78.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,11.0,33.0,0.7674418604651163,43,False,False,high_performer,False,desempeño alto relativo
NOR,Norway,Europe & Central Asia,High income,73.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,13.0,31.0,0.7209302325581395,43,False,False,middle_performer,False,desempeño intermedio relativo
IRL,Ireland,Europe & Central Asia,High income,70.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,15.0,29.0,0.6744186046511628,43,False,False,middle_performer,False,desempeño intermedio relativo
FRA,France,Europe & Central Asia,High income,67.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,20.0,24.0,0.5581395348837209,43,False,False,middle_performer,False,desempeño intermedio relativo
ESP,Spain,Europe & Central Asia,High income,43.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,30.0,14.0,0.32558139534883723,43,False,False,low_performer,False,desempeño bajo relativo
NZL,New Zealand,East Asia & Pacific,High income,68.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,17.0,27.0,0.627906976744186,43,False,False,middle_performer,False,desempeño intermedio relativo
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,87.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,5.0,38.0,0.8953488372093024,43,True,False,high_performer,False,desempeño alto relativo
GBR,United Kingdom,Europe & Central Asia,High income,82.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,8.0,36.0,0.8372093023255814,43,False,False,high_performer,False,desempeño alto relativo
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,71.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,14.0,30.0,0.6976744186046512,43,False,False,middle_performer,False,desempeño intermedio relativo
AUS,Australia,East Asia & Pacific,High income,65.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,21.0,23.0,0.5348837209302325,43,False,False,middle_performer,False,desempeño intermedio relativo
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,96.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,2.0,42.0,0.9767441860465116,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
BEL,Belgium,Europe & Central Asia,High income,67.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,19.0,25.0,0.5813953488372093,43,False,False,middle_performer,False,desempeño intermedio relativo
CAN,Canada,North America,High income,68.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,18.0,26.0,0.6046511627906976,43,False,False,middle_performer,False,desempeño intermedio relativo
CHE,Switzerland,Europe & Central Asia,High income,89.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,4.0,40.0,0.9302325581395349,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
SWE,Sweden,Europe & Central Asia,High income,92.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,3.0,41.0,0.9534883720930233,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
AUT,Austria,Europe & Central Asia,High income,64.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,22.0,21.0,0.5,43,False,False,middle_performer,False,desempeño intermedio relativo
KOR,South Korea,East Asia & Pacific,High income,59.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,25.0,19.0,0.4418604651162791,43,False,False,middle_performer,False,desempeño intermedio relativo
HUN,Hungary,Europe & Central Asia,High income,28.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,39.0,5.0,0.11627906976744186,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
DNK,Denmark,Europe & Central Asia,High income,76.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,12.0,32.0,0.7441860465116279,43,False,False,middle_performer,False,desempeño intermedio relativo
DEU,Germany,Europe & Central Asia,High income,86.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo
POL,Poland,Europe & Central Asia,High income,37.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,36.0,8.0,0.18604651162790697,43,False,False,bottom_laggard,False,ubicado en el tramo inferior de la muestra
TWN,Taiwan,,,70.45,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,16.0,28.0,0.6511627906976745,43,False,False,middle_performer,False,desempeño intermedio relativo
CZE,Czech Republic,Europe & Central Asia,High income,55.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,27.0,17.0,0.3953488372093023,43,False,False,low_performer,False,desempeño bajo relativo
ITA,Italy,Europe & Central Asia,High income,41.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,31.0,13.0,0.3023255813953488,43,False,False,low_performer,False,desempeño bajo relativo
BGR,Bulgaria,Europe & Central Asia,High income,46.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,29.0,15.0,0.3488372093023256,43,False,False,low_performer,False,desempeño bajo relativo
FIN,Finland,Europe & Central Asia,High income,87.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,5.0,38.0,0.8953488372093024,43,True,False,high_performer,False,desempeño alto relativo
CRI,Costa Rica,Latin America & Caribbean ,High income,48.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,28.0,16.0,0.37209302325581395,43,False,False,low_performer,False,desempeño bajo relativo
CHL,Chile,Latin America & Caribbean ,High income,38.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,35.0,9.0,0.20930232558139536,43,False,False,low_performer,False,desempeño bajo relativo
USA,United States,North America,High income,100.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,1.0,43.0,1.0,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
CHN,China,East Asia & Pacific,Upper middle income,59.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,24.0,20.0,0.46511627906976744,43,False,False,middle_performer,False,desempeño intermedio relativo
IND,India,South Asia,Lower middle income,64.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,22.0,21.0,0.5,43,False,False,middle_performer,False,desempeño intermedio relativo
JPN,Japan,East Asia & Pacific,High income,80.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo
EST,Estonia,Europe & Central Asia,High income,58.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,26.0,18.0,0.4186046511627907,43,False,False,middle_performer,False,desempeño intermedio relativo
ARG,Argentina,Latin America & Caribbean ,Upper middle income,34.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,37.0,7.0,0.16279069767441862,43,False,False,bottom_laggard,False,ubicado en el tramo inferior de la muestra
BRA,Brazil,Latin America & Caribbean ,Upper middle income,39.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,33.0,11.0,0.2558139534883721,43,False,False,low_performer,False,desempeño bajo relativo
COL,Colombia,Latin America & Caribbean ,Upper middle income,38.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,34.0,10.0,0.23255813953488372,43,False,False,low_performer,False,desempeño bajo relativo
MEX,Mexico,Latin America & Caribbean ,Upper middle income,39.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,32.0,12.0,0.27906976744186046,43,False,False,low_performer,False,desempeño bajo relativo
PER,Peru,Latin America & Caribbean ,Upper middle income,25.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,41.0,2.0,0.05813953488372093,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
URY,Uruguay,Latin America & Caribbean ,High income,27.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,40.0,4.0,0.09302325581395349,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
GRC,Greece,Europe & Central Asia,High income,23.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,43.0,1.0,0.023255813953488372,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
ROU,Romania,Europe & Central Asia,High income,31.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,38.0,6.0,0.13953488372093023,43,False,False,bottom_laggard,False,ubicado en el tramo inferior de la muestra
HRV,Croatia,Europe & Central Asia,High income,25.25,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,41.0,2.0,0.05813953488372093,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
SGP,Singapore,East Asia & Pacific,High income,26.94303373,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,5.0,37.0,0.8837209302325582,43,True,False,high_performer,False,desempeño alto relativo
NOR,Norway,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
IRL,Ireland,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
FRA,France,Europe & Central Asia,High income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo
ESP,Spain,Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
NZL,New Zealand,East Asia & Pacific,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo
GBR,United Kingdom,Europe & Central Asia,High income,43.94219535,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,3.0,41.0,0.9534883720930233,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra
