iso3,country_name,question_id,outcome,model_id,observed_value,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore,interpretation
ARE,United Arab Emirates,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,79.5,72.06160560143805,7.438394398561954,7.438394398561954,29.0,0.3333333333333333,overperformer,20.5,20.5,41.0,1.0,Observed minus fitted within in-sample descriptive model; not causal.
SGP,Singapore,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,78.5,89.13803523616676,-10.638035236166758,10.638035236166758,24.0,0.4523809523809524,underperformer,21.5,21.5,40.0,0.0,Observed minus fitted within in-sample descriptive model; not causal.
NOR,Norway,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,73.5,75.04018440203144,-1.5401844020314428,1.5401844020314428,40.0,0.07142857142857142,underperformer,26.5,26.5,35.0,-5.0,Observed minus fitted within in-sample descriptive model; not causal.
IRL,Ireland,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,70.5,72.29503274314216,-1.7950327431421584,1.7950327431421584,38.0,0.11904761904761904,underperformer,29.5,29.5,32.0,-8.0,Observed minus fitted within in-sample descriptive model; not causal.
FRA,France,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,67.25,63.84649801460017,3.403501985399828,3.403501985399828,34.0,0.21428571428571427,overperformer,32.75,32.75,28.75,-11.25,Observed minus fitted within in-sample descriptive model; not causal.
ESP,Spain,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,43.0,55.19233204988778,-12.192332049887781,12.192332049887781,16.0,0.6428571428571429,underperformer,57.0,57.0,4.5,-35.5,Observed minus fitted within in-sample descriptive model; not causal.
NZL,New Zealand,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,68.5,74.46716375567244,-5.967163755672445,5.967163755672445,32.0,0.2619047619047619,underperformer,31.5,31.5,30.0,-10.0,Observed minus fitted within in-sample descriptive model; not causal.
NLD,Netherlands (Kingdom of the),Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,87.75,73.24452684734396,14.505473152656037,14.505473152656037,11.0,0.7619047619047619,overperformer,12.25,12.25,49.25,9.25,Observed minus fitted within in-sample descriptive model; not causal.
GBR,United Kingdom,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,82.25,68.13363262366971,14.116367376330288,14.116367376330288,12.0,0.7380952380952381,overperformer,17.75,17.75,43.75,3.75,Observed minus fitted within in-sample descriptive model; not causal.
QAT,Qatar,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,71.0,58.88865495826667,12.11134504173333,12.11134504173333,17.0,0.6190476190476191,overperformer,29.0,29.0,32.5,-7.5,Observed minus fitted within in-sample descriptive model; not causal.
AUS,Australia,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,65.75,68.15579089402571,-2.4057908940257136,2.4057908940257136,36.0,0.16666666666666666,underperformer,34.25,34.25,27.25,-12.75,Observed minus fitted within in-sample descriptive model; not causal.
ISR,Israel,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,96.25,78.56627658910256,17.683723410897443,17.683723410897443,5.0,0.9047619047619048,overperformer,3.75,3.75,57.75,17.75,Observed minus fitted within in-sample descriptive model; not causal.
BEL,Belgium,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,67.5,58.872099181616974,8.627900818383026,8.627900818383026,27.0,0.38095238095238093,overperformer,32.5,32.5,29.0,-11.0,Observed minus fitted within in-sample descriptive model; not causal.
CAN,Canada,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,68.25,67.62458351288554,0.6254164871144638,0.6254164871144638,42.0,0.023809523809523808,overperformer,31.75,31.75,29.75,-10.25,Observed minus fitted within in-sample descriptive model; not causal.
CHE,Switzerland,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,89.25,75.9908690943122,13.259130905687798,13.259130905687798,15.0,0.6666666666666666,overperformer,10.75,10.75,50.75,10.75,Observed minus fitted within in-sample descriptive model; not causal.
SWE,Sweden,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,92.0,73.67807046897934,18.321929531020658,18.321929531020658,4.0,0.9285714285714286,overperformer,8.0,8.0,53.5,13.5,Observed minus fitted within in-sample descriptive model; not causal.
AUT,Austria,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,64.25,70.31628102680989,-6.0662810268098895,6.0662810268098895,31.0,0.2857142857142857,underperformer,35.75,35.75,25.75,-14.25,Observed minus fitted within in-sample descriptive model; not causal.
KOR,South Korea,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,59.5,79.30017470788717,-19.800174707887166,19.800174707887166,2.0,0.9761904761904762,underperformer,40.5,40.5,21.0,-19.0,Observed minus fitted within in-sample descriptive model; not causal.
HUN,Hungary,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,28.25,39.98600767830578,-11.736007678305782,11.736007678305782,21.0,0.5238095238095238,underperformer,71.75,71.75,-10.25,-50.25,Observed minus fitted within in-sample descriptive model; not causal.
DNK,Denmark,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,76.75,74.78819704122304,1.961802958776957,1.961802958776957,37.0,0.14285714285714285,overperformer,23.25,23.25,38.25,-1.75,Observed minus fitted within in-sample descriptive model; not causal.
DEU,Germany,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,86.75,69.80850291645595,16.94149708354405,16.94149708354405,7.0,0.8571428571428571,overperformer,13.25,13.25,48.25,8.25,Observed minus fitted within in-sample descriptive model; not causal.
POL,Poland,Q1,oxford_ind_company_investment_emerging_tech,simple_adjusted_internal,37.25,49.03037589470959,-11.780375894709593,11.780375894709593,20.0,0.5476190476190477,underperformer,62.75,62.75,-1.25,-41.25,Observed minus fitted within in-sample descriptive model; not causal.
