question,outcome,model_family,analysis_role,n_effective
Q1,oxford_ind_company_investment_emerging_tech,linear_regression_parsimonious,primary,42
Q1,oxford_ind_ai_unicorns_log,linear_regression_parsimonious,primary,42
Q1,oxford_ind_vc_availability,linear_regression_parsimonious,primary,42
Q1,wipo_c_vencapdeal_score,linear_regression_parsimonious,primary,40
Q2,ms_h2_2025_ai_diffusion_pct,fractional_logit_quasi_binomial,primary_continuous_or_fractional,41
Q2,ms_h2_2025_ai_diffusion_pct,fractional_or_linear_by_scale,sensitivity_binary_median,41
Q2,ms_h2_2025_ai_diffusion_pct,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,41
Q2,oecd_5_ict_business_oecd_biz_ai_pct,fractional_logit_quasi_binomial,primary_continuous_or_fractional,31
Q2,oecd_5_ict_business_oecd_biz_ai_pct,fractional_or_linear_by_scale,sensitivity_binary_median,31
Q2,oecd_5_ict_business_oecd_biz_ai_pct,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,31
Q2,anthropic_usage_pct,fractional_logit_quasi_binomial,primary_continuous_or_fractional,41
Q2,anthropic_usage_pct,fractional_or_linear_by_scale,sensitivity_binary_median,41
Q2,anthropic_usage_pct,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,41
Q2,oxford_public_sector_adoption,fractional_logit_quasi_binomial,primary_continuous_or_fractional,42
Q2,oxford_public_sector_adoption,fractional_or_linear_by_scale,sensitivity_binary_median,42
Q2,oxford_public_sector_adoption,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,42
Q2,oxford_ind_adoption_emerging_tech,fractional_logit_quasi_binomial,primary_continuous_or_fractional,42
Q2,oxford_ind_adoption_emerging_tech,fractional_or_linear_by_scale,sensitivity_binary_median,42
Q2,oxford_ind_adoption_emerging_tech,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,42
Q3,oxford_total_score,linear_or_log_linear_by_distribution,primary,42
Q3,wipo_out_score,linear_or_log_linear_by_distribution,primary,42
Q5,anthropic_usage_pct,fractional_logit_quasi_binomial,primary_continuous_or_fractional,41
Q5,anthropic_usage_pct,fractional_or_linear_by_scale,sensitivity_binary_median,41
Q5,anthropic_usage_pct,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,41
Q5,anthropic_collaboration_pct,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,41
Q5,anthropic_collaboration_pct,fractional_or_linear_by_scale,sensitivity_binary_median,41
Q5,oxford_ind_adoption_emerging_tech,fractional_logit_quasi_binomial,primary_continuous_or_fractional,42
Q5,oxford_ind_adoption_emerging_tech,fractional_or_linear_by_scale,sensitivity_binary_median,42
Q5,oxford_ind_adoption_emerging_tech,ols_on_fraction_or_score_fallback,primary_continuous_or_fractional,42
Q6,oxford_public_sector_adoption,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oxford_public_sector_adoption,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oxford_public_sector_adoption,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
Q6,oxford_e_government_delivery,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oxford_e_government_delivery,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oxford_e_government_delivery,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
Q6,oxford_government_digital_policy,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oxford_government_digital_policy,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oxford_government_digital_policy,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
Q6,oxford_ind_data_governance,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oxford_ind_data_governance,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oxford_ind_data_governance,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
Q6,oxford_governance_ethics,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oxford_governance_ethics,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oxford_governance_ethics,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
Q6,oecd_2_indigo_oecd_indigo_score,fractional_logit_quasi_binomial,primary_continuous_or_score,42
Q6,oecd_2_indigo_oecd_indigo_score,linear_score_model_or_fractional_if_rescaled,sensitivity_binary_median,42
Q6,oecd_2_indigo_oecd_indigo_score,ols_on_fraction_or_score_fallback,primary_continuous_or_score,42
