iso3,country_name_canonical,region,cluster_kmeans_n43,cluster_hca_n43,in_iapp_subset,cluster_kmeans_n18,cluster_hca_n18
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",1,3,1,2.0,2.0
SGP,Singapore,East Asia & Pacific,2,2,1,0.0,4.0
NOR,Norway,Europe & Central Asia,0,1,0,,
IRL,Ireland,Europe & Central Asia,0,1,0,,
FRA,France,Europe & Central Asia,0,1,0,,
ESP,Spain,Europe & Central Asia,0,1,0,,
NZL,New Zealand,East Asia & Pacific,2,2,1,0.0,4.0
NLD,Netherlands (Kingdom of the),Europe & Central Asia,0,1,0,,
GBR,United Kingdom,Europe & Central Asia,2,2,1,1.0,3.0
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",0,1,0,,
AUS,Australia,East Asia & Pacific,2,2,1,0.0,4.0
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",2,2,1,0.0,4.0
BEL,Belgium,Europe & Central Asia,0,1,0,,
CAN,Canada,North America,2,2,1,0.0,4.0
CHE,Switzerland,Europe & Central Asia,0,1,0,,
SWE,Sweden,Europe & Central Asia,0,1,0,,
AUT,Austria,Europe & Central Asia,0,1,0,,
KOR,South Korea,East Asia & Pacific,3,4,1,3.0,1.0
HUN,Hungary,Europe & Central Asia,0,1,0,,
DNK,Denmark,Europe & Central Asia,0,1,0,,
DEU,Germany,Europe & Central Asia,0,1,0,,
POL,Poland,Europe & Central Asia,0,1,0,,
TWN,Taiwan,,2,2,1,1.0,3.0
CZE,Czech Republic,Europe & Central Asia,0,1,0,,
ITA,Italy,Europe & Central Asia,0,1,0,,
BGR,Bulgaria,Europe & Central Asia,0,1,0,,
FIN,Finland,Europe & Central Asia,0,1,0,,
CRI,Costa Rica,Latin America & Caribbean ,0,1,0,,
CHL,Chile,Latin America & Caribbean ,2,2,1,1.0,3.0
USA,United States,North America,1,3,1,2.0,2.0
CHN,China,East Asia & Pacific,1,3,1,2.0,2.0
IND,India,South Asia,2,2,1,1.0,3.0
JPN,Japan,East Asia & Pacific,3,4,1,3.0,1.0
EST,Estonia,Europe & Central Asia,0,1,0,,
ARG,Argentina,Latin America & Caribbean ,2,2,1,1.0,3.0
BRA,Brazil,Latin America & Caribbean ,2,2,1,1.0,3.0
COL,Colombia,Latin America & Caribbean ,2,2,1,1.0,3.0
MEX,Mexico,Latin America & Caribbean ,0,1,0,,
PER,Peru,Latin America & Caribbean ,3,4,1,3.0,1.0
URY,Uruguay,Latin America & Caribbean ,0,1,0,,
GRC,Greece,Europe & Central Asia,0,1,0,,
ROU,Romania,Europe & Central Asia,0,1,0,,
HRV,Croatia,Europe & Central Asia,0,1,0,,
