iso3_a,iso3_b,distance,distance_metric,scope
ARE,SGP,1.0,jaccard,n18_binary
ARE,NZL,1.0,jaccard,n18_binary
ARE,GBR,1.0,jaccard,n18_binary
ARE,AUS,1.0,jaccard,n18_binary
ARE,ISR,1.0,jaccard,n18_binary
ARE,CAN,1.0,jaccard,n18_binary
ARE,KOR,0.8,jaccard,n18_binary
ARE,TWN,1.0,jaccard,n18_binary
ARE,CHL,1.0,jaccard,n18_binary
ARE,USA,0.6,jaccard,n18_binary
ARE,CHN,0.6,jaccard,n18_binary
ARE,IND,1.0,jaccard,n18_binary
ARE,JPN,0.8,jaccard,n18_binary
ARE,ARG,1.0,jaccard,n18_binary
ARE,BRA,1.0,jaccard,n18_binary
ARE,COL,1.0,jaccard,n18_binary
ARE,PER,0.8,jaccard,n18_binary
SGP,NZL,0.0,jaccard,n18_binary
SGP,GBR,0.75,jaccard,n18_binary
SGP,AUS,0.33333333333333337,jaccard,n18_binary
SGP,ISR,0.0,jaccard,n18_binary
SGP,CAN,0.0,jaccard,n18_binary
SGP,KOR,1.0,jaccard,n18_binary
SGP,TWN,0.75,jaccard,n18_binary
SGP,CHL,0.75,jaccard,n18_binary
SGP,USA,1.0,jaccard,n18_binary
SGP,CHN,1.0,jaccard,n18_binary
SGP,IND,0.75,jaccard,n18_binary
SGP,JPN,1.0,jaccard,n18_binary
SGP,ARG,0.75,jaccard,n18_binary
SGP,BRA,0.75,jaccard,n18_binary
SGP,COL,0.75,jaccard,n18_binary
SGP,PER,1.0,jaccard,n18_binary
NZL,GBR,0.75,jaccard,n18_binary
NZL,AUS,0.33333333333333337,jaccard,n18_binary
NZL,ISR,0.0,jaccard,n18_binary
NZL,CAN,0.0,jaccard,n18_binary
NZL,KOR,1.0,jaccard,n18_binary
NZL,TWN,0.75,jaccard,n18_binary
NZL,CHL,0.75,jaccard,n18_binary
NZL,USA,1.0,jaccard,n18_binary
NZL,CHN,1.0,jaccard,n18_binary
