question,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q5,anthropic_usage_pct,OLS_full,n_binding,8.328297680484535,1.47736202099063,2.3887674946761262e-05,-10.99004147310301,15.929511508826806,0.314,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,7.166302484028378e-05,True
Q5,anthropic_usage_pct,OLS_full,n_non_binding,-5.53923452700539,0.9417544389195255,1.4368896062515885e-05,-11.86769521040955,6.955059794298677,0.277,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,n_hybrid,0.19571284043450002,0.9244045838960664,0.8347060013737078,-7.269803218350112,16.620395842170566,0.798,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,regulatory_intensity,-72.2166217691287,11.877107630913992,9.56452395850199e-06,-157.65463344694126,76.99554841250696,0.302,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,n_regulatory_mechanisms,2.9847759939132223,0.4336051344782215,1.942944672160624e-06,-2.882690671624127,6.568320718949868,0.27,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_gdp_per_capita_ppp_z,-0.21128329903900894,0.30873130484815803,0.5024649800596549,-1.452894176005829,1.1841894726602074,0.714,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_internet_penetration_z,-0.07447449966861605,0.28806503321295496,0.7989282254909379,-1.3928101427921793,1.015929878622907,0.747,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_tertiary_education_enrollment_z,0.011666881086966877,0.17405967177030618,0.947298282685431,-0.7056670842562984,0.8464983327203671,0.859,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_rd_expenditure_pct_gdp_z,0.2564428246866413,0.7332791934504522,0.7306068290390528,-2.7904909527336583,3.081022093343654,0.796,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_researchers_rd_per_million_z,-1.136185213458292,0.6626535683821673,0.10358441052275885,-3.5484122108140284,1.8863445730872206,0.426,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_government_effectiveness_z,0.32950816163627095,1.2959487700349492,0.8021764770431759,-3.938820934824055,5.51245968478414,0.569,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_rule_of_law_z,-0.18627217852459058,0.9573644193296337,0.8479105394952042,-4.898592420616232,3.271119092809609,0.694,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_regulatory_quality_z,0.4614160033114375,1.0770331379625064,0.6734324780622283,-3.507530671358278,4.7072572473874175,0.915,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wipo_in_score_z,0.4795907262905599,0.9402528799651819,0.616202966352622,-2.5564888404658306,3.4222486386415745,0.658,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_mobile_subscriptions_per100_z,-0.8092694162567846,0.15936250582939615,7.841550470590761e-05,-1.3035302017406596,0.5331717238493034,0.289,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_secure_servers_per_1m_z,0.11205409658983967,0.20628359427975657,0.5936531219122323,-0.7543642100681808,0.7303238214120452,0.964,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,wb_electric_consumption_kwh_pc_z,0.026692928134328633,0.1505373787818374,0.8612389863413786,-0.8452725253114752,0.6147506287183511,0.746,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,OLS_full,const,0.7366044337513448,0.9181284981399079,0.4328512621244138,-2.4915358646500656,4.455874035632267,0.411,35,0.9291527790452242,bootstrap_2000,2000.0,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,__model_metadata__,,,,,,,35,,,,42,0.4704,median,17.0,18.0,0.6366666666666666,0.24743124746527512,,"{""penalty"":""l2"",""C"":1.0}",,
Q5,anthropic_usage_pct,Logistic,n_binding,-0.20897182941649783,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,n_non_binding,0.099334033464576,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,n_hybrid,0.2804862073290029,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,regulatory_intensity,-0.043724480893312,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,n_regulatory_mechanisms,0.17084841137708148,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,wb_gdp_per_capita_ppp_z,0.2695514189941304,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,wb_internet_penetration_z,0.0018918409500166809,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,wb_tertiary_education_enrollment_z,-0.179808433735451,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,wb_rd_expenditure_pct_gdp_z,1.2470035610465853,,,,,,35,,,,42,,,,,,,,,,
Q5,anthropic_usage_pct,Logistic,wb_researchers_rd_per_million_z,0.10140851816089544,,,,,,35,,,,42,,,,,,,,,,
