question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_public_sector_adoption,OLS_full,n_binding,10.77975652979806,13.582139940190421,0.43718720848374504,-105.44199155541907,86.92500010241365,0.749,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,0.5700613516031483,False
Q6,primary,oxford_public_sector_adoption,OLS_full,n_non_binding,-4.792637698852831,8.65824680863401,0.5863530830841674,-61.523068629378066,72.55001767500693,0.737,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,n_hybrid,-4.815552014832079,8.498057269578707,0.5775751971612256,-55.87001461428625,94.79043732555407,0.866,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,regulatory_intensity,-18.258075360176008,107.9215858227486,0.8674439398687125,-754.0665485010572,1010.6291472332045,0.85,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,n_regulatory_mechanisms,1.1715668161129775,3.981756289522507,0.7717697159331827,-39.79045230087376,28.4330612864246,0.848,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_gdp_per_capita_ppp_z,0.30834370512757836,2.7209523417086765,0.9109641164574102,-12.454630502619462,10.590253014379364,0.783,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_internet_penetration_z,-1.936365488001866,2.544550896691411,0.4560073713006829,-12.388592214330938,7.746680388013875,0.635,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_tertiary_education_enrollment_z,0.19814157032063928,1.524919051589391,0.8979829898042209,-5.377385999826198,8.911597866944424,0.726,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_rd_expenditure_pct_gdp_z,-10.13683694575221,6.738861223255251,0.14896255205297454,-33.17505110800639,13.213993406057467,0.29,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_researchers_rd_per_million_z,6.406683731891642,5.829097626363358,0.2854625442244649,-18.833693763860587,30.904293577794554,0.427,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_government_effectiveness_z,-2.5601082423308235,11.138756340155593,0.8206740057621568,-41.02178774472945,56.732589199726554,0.664,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_rule_of_law_z,8.14788793886201,8.16034208449656,0.330596914853986,-31.44567426660741,40.02638778357781,0.945,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_regulatory_quality_z,-10.500873078631031,9.80719225499146,0.2977037426416266,-50.02814245414842,26.868471435029797,0.456,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wipo_in_score_z,8.350991302405482,8.241176820135154,0.3236361065015956,-22.172201021204696,34.998725841704854,0.504,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_mobile_subscriptions_per100_z,1.0745117859809872,1.443320306111192,0.4656998499923838,-6.593436887040222,9.015010768509676,0.66,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_secure_servers_per_1m_z,2.263791957401337,1.8951062425488585,0.24696405001394864,-5.175770182169475,8.313284227712852,0.613,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,wb_electric_consumption_kwh_pc_z,0.3884727507407666,1.3726000536435545,0.7802222898922703,-6.752946219975951,7.250986196998733,0.873,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,OLS_full,const,77.0126676968278,7.939182981903533,8.572317373839865e-09,44.356180669437435,110.43083594728816,0.002,36,0.45019723133468736,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,__model_metadata__,,,,,,,36,,,,42,76.525,median,18.0,18.0,0.4909166666666666,0.2069381449451341,,"{""penalty"":""l2"",""C"":1.0}",,
Q6,primary,oxford_public_sector_adoption,Logistic,n_binding,0.18415413889128762,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_public_sector_adoption,Logistic,n_non_binding,-0.13619455217114373,,,,,,36,,,,42,,,,,,,,,,
