variable_matriz,source_id,table_id,original_variable,tipo_matriz,unit,direction,bloque_tematico,regla_temporal_default,is_primary,redundant_with,pct_complete,notes
anthropic_ai_autonomy_mean,anthropic,aei_metrics_wide,ai_autonomy_mean,numeric,count,unknown,adoption_diffusion,latest_window_available,True,,67.97,generated from real source columns; no synthetic values
anthropic_ai_autonomy_median,anthropic,aei_metrics_wide,ai_autonomy_median,numeric,count,unknown,adoption_diffusion,latest_window_available,True,,67.97,generated from real source columns; no synthetic values
anthropic_ai_education_years_mean,anthropic,aei_metrics_wide,ai_education_years_mean,numeric,count,unknown,adoption_diffusion,latest_window_available,True,,67.97,generated from real source columns; no synthetic values
anthropic_collaboration_pct,anthropic,aei_metrics_wide,collaboration_pct,numeric,pct,higher_better,adoption_diffusion,latest_window_available,True,,66.67,generated from real source columns; no synthetic values
anthropic_gdp_total,anthropic,fact_gdp_economic,gdp_total,numeric,usd,higher_better,socioeconomic_control,latest_window_available,True,,74.89,generated from real source columns; no synthetic values
anthropic_usage_pct,anthropic,aei_metrics_wide,usage_pct,numeric,pct,higher_better,adoption_diffusion,latest_window_available,True,,71.0,generated from real source columns; no synthetic values
iapp_adhiere_oecd_ai,iapp,datos,adhiere_oecd_ai,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_adopto_unesco_etica_ia,iapp,datos,adopto_unesco_etica_ia,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_categoria_obligatoriedad,iapp,datos,categoria_obligatoriedad,categorical,categorical,categorical,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_endoso_declaracion_data_scraping,iapp,datos,endoso_declaracion_data_scraping,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_endoso_hiroshima_g7,iapp,datos,endoso_hiroshima_g7,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_estrategia_nacional_ia,iapp,datos,estrategia_nacional_ia,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_firmo_ai_action_summit,iapp,datos,firmo_ai_action_summit,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_firmo_bletchley,iapp,datos,firmo_bletchley,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_firmo_coe_convencion,iapp,datos,firmo_coe_convencion,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_guias_sectoriales,iapp,datos,guias_sectoriales,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_herramientas_testing,iapp,datos,herramientas_testing,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_instituto_seguridad_ia,iapp,datos,instituto_seguridad_ia,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_ley_ia_vigente,iapp,datos,ley_ia_vigente,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_marcos_voluntarios,iapp,datos,marcos_voluntarios,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_modelo_gobernanza,iapp,datos,modelo_gobernanza,categorical,categorical,categorical,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_n_autoridades,iapp,datos,n_autoridades,numeric,count,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_n_leyes_relacionadas,iapp,datos,n_leyes_relacionadas,numeric,count,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_proyecto_ley_ia,iapp,datos,proyecto_ley_ia,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
iapp_sandbox_regulatorio,iapp,datos,sandbox_regulatorio,binary,binary,higher_better,regulatory_treatment,cross_section,True,,12.12,generated from real source columns; no synthetic values
ms_change_pp,microsoft,1_AI_Diffusion,Change (pp),numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,True,,63.2,generated from real source columns; no synthetic values
ms_h1_2025_ai_diffusion_pct,microsoft,1_AI_Diffusion,H1 2025 AI Diffusion (%),numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,True,,63.2,generated from real source columns; no synthetic values
ms_h2_2025_ai_diffusion_pct,microsoft,1_AI_Diffusion,H2 2025 AI Diffusion (%),numeric,pct,higher_better,adoption_diffusion,h2_2025_if_available,True,,63.2,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_e_transactions,oecd,1_DIGITAL_STRI,digital_stri_e_transactions,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_infrastructure,oecd,1_DIGITAL_STRI,digital_stri_infrastructure,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_ip,oecd,1_DIGITAL_STRI,digital_stri_ip,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_other,oecd,1_DIGITAL_STRI,digital_stri_other,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_overall,oecd,1_DIGITAL_STRI,digital_stri_overall,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_1_digital_stri_digital_stri_payment,oecd,1_DIGITAL_STRI,digital_stri_payment,numeric,count,lower_better,institutional_control,latest_available_per_country_per_indicator,True,,55.84,generated from real source columns; no synthetic values
oecd_2_indigo_oecd_indigo_score,oecd,2_INDIGO,oecd_indigo_score,numeric,score_0_100,higher_better,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,82.68,generated from real source columns; no synthetic values
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,oecd,3_REGULATORY_GOV,oecd_reg_gov_ex_post_eval,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,18.61,generated from real source columns; no synthetic values
oecd_3_regulatory_gov_oecd_reg_gov_ria,oecd,3_REGULATORY_GOV,oecd_reg_gov_ria,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,17.75,generated from real source columns; no synthetic values
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,oecd,3_REGULATORY_GOV,oecd_reg_gov_stakeholder,numeric,count,unknown,institutional_control,latest_available_per_country_per_indicator,True,,17.75,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_data_driven,oecd,4_DIGITAL_GOV,oecd_digital_gov_data_driven,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_design,oecd,4_DIGITAL_GOV,oecd_digital_gov_design,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_open_data,oecd,4_DIGITAL_GOV,oecd_digital_gov_open_data,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_overall,oecd,4_DIGITAL_GOV,oecd_digital_gov_overall,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_policy,oecd,4_DIGITAL_GOV,oecd_digital_gov_policy,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_proactiveness,oecd,4_DIGITAL_GOV,oecd_digital_gov_proactiveness,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
oecd_4_digital_gov_oecd_digital_gov_user_driven,oecd,4_DIGITAL_GOV,oecd_digital_gov_user_driven,numeric,count,unknown,tech_infrastructure_control,latest_available_per_country_per_indicator,True,,16.45,generated from real source columns; no synthetic values
