raw_entity_name,iso3_resuelto,country_name_canonical,entity_type_final,confidence_score,action,review_status
United Arab Emirates,ARE,United Arab Emirates,country_iso3,100.0,approved,auto_match_requires_human_audit
Singapore,SGP,Singapore,country_iso3,100.0,approved,auto_match_requires_human_audit
Norway,NOR,Norway,country_iso3,100.0,approved,auto_match_requires_human_audit
Ireland,IRL,Ireland,country_iso3,100.0,approved,auto_match_requires_human_audit
France,FRA,France,country_iso3,100.0,approved,auto_match_requires_human_audit
Spain,ESP,Spain,country_iso3,100.0,approved,auto_match_requires_human_audit
New Zealand,NZL,New Zealand,country_iso3,100.0,approved,auto_match_requires_human_audit
Netherlands,NLD,Netherlands,country_iso3,100.0,approved,auto_match_requires_human_audit
United Kingdom,GBR,United Kingdom,country_iso3,100.0,approved,auto_match_requires_human_audit
Qatar,QAT,Qatar,country_iso3,100.0,approved,auto_match_requires_human_audit
Australia,AUS,Australia,country_iso3,100.0,approved,auto_match_requires_human_audit
Israel,ISR,Israel,country_iso3,100.0,approved,auto_match_requires_human_audit
Belgium,BEL,Belgium,country_iso3,100.0,approved,auto_match_requires_human_audit
Canada,CAN,Canada,country_iso3,100.0,approved,auto_match_requires_human_audit
Switzerland,CHE,Switzerland,country_iso3,100.0,approved,auto_match_requires_human_audit
Sweden,SWE,Sweden,country_iso3,100.0,approved,auto_match_requires_human_audit
Austria,AUT,Austria,country_iso3,100.0,approved,auto_match_requires_human_audit
South Korea,KOR,South Korea,country_iso3,100.0,approved,auto_match_requires_human_audit
Hungary,HUN,Hungary,country_iso3,100.0,approved,auto_match_requires_human_audit
Denmark,DNK,Denmark,country_iso3,100.0,approved,auto_match_requires_human_audit
Germany,DEU,Germany,country_iso3,100.0,approved,auto_match_requires_human_audit
Poland,POL,Poland,country_iso3,100.0,approved,auto_match_requires_human_audit
Taiwan,TWN,Taiwan,country_iso3,100.0,approved,auto_match_requires_human_audit
United States,USA,United States,country_iso3,100.0,approved,auto_match_requires_human_audit
Czechia,CZE,Czechia,country_iso3,100.0,approved,auto_match_requires_human_audit
Italy,ITA,Italy,country_iso3,100.0,approved,auto_match_requires_human_audit
Bulgaria,BGR,Bulgaria,country_iso3,100.0,approved,auto_match_requires_human_audit
Finland,FIN,Finland,country_iso3,100.0,approved,auto_match_requires_human_audit
Jordan,JOR,Jordan,country_iso3,100.0,approved,auto_match_requires_human_audit
Costa Rica,CRI,Costa Rica,country_iso3,100.0,approved,auto_match_requires_human_audit
Slovenia,SVN,Slovenia,country_iso3,100.0,approved,auto_match_requires_human_audit
Saudi Arabia,SAU,Saudi Arabia,country_iso3,100.0,approved,auto_match_requires_human_audit
Lebanon,LBN,Lebanon,country_iso3,100.0,approved,auto_match_requires_human_audit
Oman,OMN,Oman,country_iso3,100.0,approved,auto_match_requires_human_audit
Portugal,PRT,Portugal,country_iso3,100.0,approved,auto_match_requires_human_audit
Slovakia,SVK,Slovakia,country_iso3,100.0,approved,auto_match_requires_human_audit
Croatia,HRV,Croatia,country_iso3,100.0,approved,auto_match_requires_human_audit
Vietnam,VNM,Vietnam,country_iso3,100.0,approved,auto_match_requires_human_audit
Dominican Republic,DOM,Dominican Republic,country_iso3,100.0,approved,auto_match_requires_human_audit
Uruguay,URY,Uruguay,country_iso3,100.0,approved,auto_match_requires_human_audit
