iso3,country_name_canonical,entity_type,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,inclusion_notes
ARE,United Arab Emirates,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ARG,ARG,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
AUS,AUS,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
BGD,Bangladesh,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
BRA,BRA,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
CAN,CAN,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
CHL,Chile,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
CHN,CHN,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
COL,COL,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
EGY,EGY,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
GBR,United Kingdom,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
IDN,Indonesia,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
IND,IND,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ISR,Israel,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
JPN,JPN,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
KEN,Kenya,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
KOR,Republic of Korea,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
NGA,Nigeria,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
NZL,NZL,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
PER,Peru,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SAU,SAU,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SGP,SGP,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
TUR,Turkey,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
USA,United States of America,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
VNM,Viet Nam,country_iso3,1,1,1,1,1,1,1,1,8,"iapp, microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
AGO,Angola,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ALB,Albania,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ARM,ARM,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
AUT,AUT,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
AZE,AZE,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
BDI,Burundi,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
BEL,Belgium,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
