iso3,country_name_canonical,source_id,variable_matriz,year_used,value_original,source_file,source_sheet,row_identifier,audit_status,audit_notes
BRA,Brazil,iapp,iapp_ley_ia_vigente,,0,IAPP/iapp_dataset_unificado.xlsx,datos,iapp:BRA:ley_ia_vigente,queued_for_manual_review,Stratified sample for human verification.
BRA,Brazil,microsoft,ms_h2_2025_ai_diffusion_pct,2025,17.1,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:Brazil:H2 2025 AI Diffusion (%),queued_for_manual_review,Stratified sample for human verification.
BRA,Brazil,oxford,oxford_total_score,2025,69.55,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:BRA:total_score:2025,queued_for_manual_review,Stratified sample for human verification.
BRA,Brazil,wb,wb_gdp_current_usd,2024,2185821648943.86,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:BRA:gdp_current_usd_2024,queued_for_manual_review,Stratified sample for human verification.
BRA,Brazil,wb,wb_government_effectiveness,2024,-0.2240029999999999,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:BRA:government_effectiveness_2024,queued_for_manual_review,Stratified sample for human verification.
BRA,Brazil,wipo,wipo_gii_score,2025,32.8689996973019,WIPO Global Innovation Index/data_wipo_gii/WIPO_GII_2021_2025_UNIFICADO.xlsx,MATRIZ_GII,wipo:BRA:GII_SCORE_2025,queued_for_manual_review,Stratified sample for human verification.
CHL,Chile,iapp,iapp_ley_ia_vigente,,0,IAPP/iapp_dataset_unificado.xlsx,datos,iapp:CHL:ley_ia_vigente,verified_against_source_sample,Chile spot-check included in rescue audit.
CHL,Chile,microsoft,ms_h2_2025_ai_diffusion_pct,2025,20.8,MICROSOFT/Microsoft_AI_Reports_Data_unificado.xlsx,1_AI_Diffusion,microsoft:Chile:H2 2025 AI Diffusion (%),verified_against_source_sample,Chile spot-check included in rescue audit.
CHL,Chile,oxford,oxford_total_score,2025,59.3,Oxford Insights/data_index/UNIFICADO/Oxford_Insights_Unificado.xlsx,Consolidado,oxford:CHL:total_score:2025,verified_against_source_sample,Chile spot-check included in rescue audit.
CHL,Chile,wb,wb_gdp_current_usd,2024,330267137371.592,World Bank WDI/WB_WDI_WGI_unificado.xlsx,MATRIZ_COMPLETA,wb:CHL:gdp_current_usd_2024,verified_against_source_sample,Chile spot-check included in rescue audit.
