bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
ecosystem_outcome,oxford_adaptability,numeric,oxford,score_0_100,True,193,96.98,192,46.029125,21.412251,5.644707,89.700364
ecosystem_outcome,oxford_ai_infrastructure,numeric,oxford,score_0_100,True,195,97.99,190,41.48,21.475,16.63,91.77
ecosystem_outcome,oxford_ai_sector_maturity,numeric,oxford,score_0_100,True,195,97.99,153,13.3,19.875,0.58,100.0
ecosystem_outcome,oxford_ai_technology_diffusion,numeric,oxford,score_0_100,True,195,97.99,166,38.98,29.71,1.21,86.51
ecosystem_outcome,oxford_compute_capacity,numeric,oxford,score_0_100,True,195,97.99,70,5.37,8.11,0.0,90.92
ecosystem_outcome,oxford_data_availability,numeric,oxford,score_0_100,True,193,96.98,193,58.716726,38.823289,8.884615,98.320401
ecosystem_outcome,oxford_data_infrastructure,numeric,oxford,score_0_100,True,193,96.98,193,56.987688,28.906872,5.288974,93.135341
ecosystem_outcome,oxford_data_quality,numeric,oxford,score_0_100,True,195,97.99,192,66.53,34.555,13.3,96.55
ecosystem_outcome,oxford_data_representativeness,numeric,oxford,score_0_100,True,192,96.48,177,79.040166,23.345486,4.995139,100.0
ecosystem_outcome,oxford_development_diffusion,numeric,oxford,score_0_100,True,195,97.99,191,28.21,25.72,9.19,88.16
ecosystem_outcome,oxford_digital_capacity,numeric,oxford,score_0_100,True,193,96.98,193,44.104613,29.747902,7.849032,91.30133
ecosystem_outcome,oxford_e_government_delivery,numeric,oxford,score_0_100,True,195,97.99,194,61.74,50.48,0.0,99.98
ecosystem_outcome,oxford_enabling_technical_infrastructure,numeric,oxford,score_0_100,True,195,97.99,193,58.75,20.26,17.72,89.61
ecosystem_outcome,oxford_governance_2025,numeric,oxford,score_0_100,True,195,97.99,175,54.27,41.205,1.39,94.57
ecosystem_outcome,oxford_governance_ethics,numeric,oxford,score_0_100,True,193,96.98,193,54.313687,39.984475,0.114201,97.376842
ecosystem_outcome,oxford_governance_principles,numeric,oxford,score_0_100,True,195,97.99,90,55.25,37.875,0.0,100.0
ecosystem_outcome,oxford_government,numeric,oxford,score_0_100,True,193,96.98,193,39.40606,43.752146,7.521644,90.962032
ecosystem_outcome,oxford_government_digital_policy,numeric,oxford,score_0_100,True,195,97.99,128,35.0,52.0,0.0,99.38
ecosystem_outcome,oxford_human_capital,numeric,oxford,score_0_100,True,193,96.98,193,36.357674,21.324233,11.00685,76.472498
ecosystem_outcome,oxford_human_capital_2025,numeric,oxford,score_0_100,True,195,97.99,192,34.84,33.95,6.18,85.17
ecosystem_outcome,oxford_ind_5g_infrastructure,numeric,oxford,score_0_100,True,193,96.98,2,100.0,100.0,0.0,100.0
ecosystem_outcome,oxford_ind_accountability,numeric,oxford,score_0_100,True,193,96.98,157,50.0,35.4,9.6,85.4
ecosystem_outcome,oxford_ind_adoption_emerging_tech,numeric,oxford,score_0_100,True,184,92.46,136,44.222308,28.3175,0.0,100.0
ecosystem_outcome,oxford_ind_ai_research_papers_log,numeric,oxford,score_0_100,True,193,96.98,114,32.823658,47.817862,0.0,100.0
ecosystem_outcome,oxford_ind_ai_strategy,numeric,oxford,score_0_100,True,193,96.98,3,0.0,100.0,0.0,100.0
ecosystem_outcome,oxford_ind_ai_unicorns_log,numeric,oxford,score_0_100,True,193,96.98,7,0.0,0.0,0.0,100.0
ecosystem_outcome,oxford_ind_broadband_quality,numeric,oxford,score_0_100,True,184,92.46,95,39.72,16.925,18.4,85.3
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,numeric,oxford,score_0_100,True,184,92.46,119,37.75,24.882812,0.0,100.0
ecosystem_outcome,oxford_ind_cost_internet_device,numeric,oxford,score_0_100,True,191,95.98,174,53.02,31.516234,0.0,100.0
ecosystem_outcome,oxford_ind_cybersecurity,numeric,oxford,score_0_100,True,193,96.98,180,53.23,70.59,1.35,100.0
ecosystem_outcome,oxford_ind_data_governance,numeric,oxford,score_0_100,True,193,96.98,3,0.0,50.0,0.0,100.0
ecosystem_outcome,oxford_ind_data_protection_laws,numeric,oxford,score_0_100,True,192,96.48,8,100.0,42.293233,0.0,100.0
ecosystem_outcome,oxford_ind_eng_tech_higher_ed_quality,numeric,oxford,score_0_100,True,193,96.98,53,0.0,23.644098,0.0,100.0
ecosystem_outcome,oxford_ind_ethical_principles,numeric,oxford,score_0_100,True,193,96.98,3,0.0,0.0,0.0,100.0
ecosystem_outcome,oxford_ind_female_stem_graduates,numeric,oxford,score_0_100,True,190,95.48,131,68.06312,17.681685,0.0,100.0
ecosystem_outcome,oxford_ind_foundational_it,numeric,oxford,score_0_100,True,193,96.98,180,58.1,41.0,0.3,99.0
ecosystem_outcome,oxford_ind_gender_gap_internet,numeric,oxford,score_0_100,True,184,92.46,39,95.0,6.666667,72.0,100.0
ecosystem_outcome,oxford_ind_github_activity_log,numeric,oxford,score_0_100,True,193,96.98,175,38.914282,51.006804,0.0,100.0
ecosystem_outcome,oxford_ind_govt_effectiveness,numeric,oxford,score_0_100,False,193,96.98,149,47.4,27.0,2.2,92.8
ecosystem_outcome,oxford_ind_govt_promotion_emerging_tech,numeric,oxford,score_0_100,True,184,92.46,135,37.034,25.38625,0.05,100.0
ecosystem_outcome,oxford_ind_govt_responsiveness,numeric,oxford,score_0_100,True,187,93.97,153,42.625115,16.60522,7.19746,85.220989
ecosystem_outcome,oxford_ind_households_internet,numeric,oxford,score_0_100,True,192,96.48,169,74.6,57.1501,1.91734,100.0
ecosystem_outcome,oxford_ind_ict_skills,numeric,oxford,score_0_100,True,181,90.95,107,24.456736,44.080074,2.660345,100.0
ecosystem_outcome,oxford_ind_ict_trade_goods_log,numeric,oxford,score_0_100,True,192,96.48,180,45.333865,30.404618,8.626637,100.0
ecosystem_outcome,oxford_ind_ict_trade_services_log,numeric,oxford,score_0_100,True,192,96.48,175,39.136616,34.952325,0.0,100.0
ecosystem_outcome,oxford_ind_mobile_subscriptions,numeric,oxford,score_0_100,True,193,96.98,135,87.076923,33.230769,15.153846,100.0
ecosystem_outcome,oxford_ind_non_ai_unicorns_log,numeric,oxford,score_0_100,True,193,96.98,17,0.0,0.0,0.0,100.0
ecosystem_outcome,oxford_ind_online_services,numeric,oxford,score_0_100,True,193,96.98,192,54.09,41.01,0.0,100.0
ecosystem_outcome,oxford_ind_open_data,numeric,oxford,score_0_100,True,187,93.97,34,35.75,50.75,0.0,90.0
ecosystem_outcome,oxford_ind_procurement_data,numeric,oxford,score_0_100,True,187,93.97,79,45.0,29.125,0.0,96.0
ecosystem_outcome,oxford_ind_rd_spending_log,numeric,oxford,score_0_100,True,190,95.48,138,16.820578,29.280839,0.548271,100.0
ecosystem_outcome,oxford_ind_regulatory_quality,numeric,oxford,score_0_100,False,193,96.98,159,47.0,26.0,2.2,94.2
ecosystem_outcome,oxford_ind_software_spending,numeric,oxford,score_0_100,True,184,92.46,142,17.496277,23.507395,0.0,100.0
ecosystem_outcome,oxford_ind_statistical_capacity,numeric,oxford,score_0_100,True,192,96.48,181,61.824167,25.423021,19.617917,90.09375
ecosystem_outcome,oxford_ind_stem_graduates,numeric,oxford,score_0_100,True,193,96.98,146,28.108653,11.259207,1.682002,100.0
ecosystem_outcome,oxford_ind_supercomputers_log,numeric,oxford,score_0_100,True,193,96.98,17,0.0,0.0,0.0,100.0
ecosystem_outcome,oxford_ind_telecom_infrastructure,numeric,oxford,score_0_100,True,193,96.98,190,60.82,43.62,0.0,100.0
ecosystem_outcome,oxford_ind_time_govt_regulations,numeric,oxford,score_0_100,True,180,90.45,103,91.55,7.691667,71.2,99.9
ecosystem_outcome,oxford_ind_vc_availability,numeric,oxford,score_0_100,True,180,90.45,52,10.0,15.714286,0.0,100.0
ecosystem_outcome,oxford_infrastructure,numeric,oxford,score_0_100,True,193,96.98,193,35.708667,30.811276,1.693333,88.378778
ecosystem_outcome,oxford_innovation_capacity,numeric,oxford,score_0_100,True,193,96.98,190,40.550897,17.36979,11.003264,92.476371
ecosystem_outcome,oxford_maturity,numeric,oxford,score_0_100,True,193,96.98,190,20.171085,17.62548,0.0,83.796707
ecosystem_outcome,oxford_policy_capacity,numeric,oxford,score_0_100,True,195,97.99,55,34.5,64.5,0.0,100.0
ecosystem_outcome,oxford_policy_commitment,numeric,oxford,score_0_100,True,195,97.99,11,25.0,62.5,0.0,100.0
ecosystem_outcome,oxford_policy_vision,numeric,oxford,score_0_100,True,195,97.99,13,40.0,50.0,0.0,100.0
ecosystem_outcome,oxford_public_sector_adoption,numeric,oxford,score_0_100,True,195,97.99,194,48.35,47.86,0.0,99.63
