bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
institutional_control,oecd_1_digital_stri_digital_stri_e_transactions,numeric,oecd,count,True,128,64.32,6,0.021237,0.021237,0.0,0.106187
institutional_control,oecd_1_digital_stri_digital_stri_infrastructure,numeric,oecd,count,True,128,64.32,11,0.119025,0.119025,0.0,0.436424
institutional_control,oecd_1_digital_stri_digital_stri_ip,numeric,oecd,count,True,128,64.32,5,0.0,0.021647,0.0,0.108235
institutional_control,oecd_1_digital_stri_digital_stri_other,numeric,oecd,count,True,128,64.32,8,0.021954,0.043909,0.0,0.131726
institutional_control,oecd_1_digital_stri_digital_stri_overall,numeric,oecd,count,True,128,64.32,107,0.206347,0.208447,0.021237,0.649379
institutional_control,oecd_1_digital_stri_digital_stri_payment,numeric,oecd,count,True,128,64.32,4,0.018403,0.018403,0.0,0.05521
institutional_control,oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,numeric,oecd,count,True,43,21.61,23,0.15,0.425,0.0,0.85
institutional_control,oecd_3_regulatory_gov_oecd_reg_gov_ria,numeric,oecd,count,True,41,20.6,30,0.4,0.27,0.0,0.79
institutional_control,oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,numeric,oecd,count,True,41,20.6,17,0.38,0.36,0.0,0.88
institutional_control,oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,numeric,oecd,count,True,103,51.76,103,0.078896,0.165572,0.000167,0.566825
institutional_control,oecd_7_pmr_oecd_pmr_overall,numeric,oecd,count,True,55,27.64,55,1.478137,0.601429,0.806338,2.922681
institutional_control,wb_control_of_corruption,numeric,wb,wgi_-2.5_2.5,True,196,98.49,195,-0.26011,1.484888,-2.064721,2.287475
institutional_control,wb_control_of_corruption_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,124,0.169688,0.031899,0.147755,0.435253
institutional_control,wb_government_effectiveness,numeric,wb,wgi_-2.5_2.5,True,196,98.49,194,-0.081506,1.343011,-2.172846,2.279627
institutional_control,wb_government_effectiveness_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,103,0.22486,0.026182,0.177319,0.433097
institutional_control,wb_political_stability,numeric,wb,wgi_-2.5_2.5,True,196,98.49,194,-0.035211,1.308134,-2.750564,1.582354
institutional_control,wb_political_stability_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,77,0.24345,0.014491,0.216471,0.309324
institutional_control,wb_regulatory_quality,numeric,wb,wgi_-2.5_2.5,True,196,98.49,196,-0.154073,1.329411,-2.035365,2.13212
institutional_control,wb_regulatory_quality_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,86,0.202276,0.026175,0.149652,0.484918
institutional_control,wb_rule_of_law,numeric,wb,wgi_-2.5_2.5,True,196,98.49,196,-0.205636,1.497149,-2.20545,2.02127
institutional_control,wb_rule_of_law_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,125,0.151585,0.036759,0.132215,0.361625
institutional_control,wb_voice_accountability,numeric,wb,wgi_-2.5_2.5,True,196,98.49,196,-0.110221,1.658969,-2.289781,1.929425
institutional_control,wb_voice_accountability_se,numeric,wb,wgi_-2.5_2.5,True,196,98.49,110,0.15768,0.025498,0.138556,0.41932
institutional_control,wipo_easecred_score,numeric,wipo,score_0_100,True,132,66.33,20,65.0,26.25,0.0,100.0
institutional_control,wipo_easeinsol_score,numeric,wipo,score_0_100,True,132,66.33,129,53.040345,29.0459,0.0,92.69427
institutional_control,wipo_easeprotinv_score,numeric,wipo,score_0_100,True,132,66.33,37,62.0,28.0,10.0,92.0
institutional_control,wipo_easestartbus_score,numeric,wipo,score_0_100,True,132,66.33,132,88.418985,10.372107,52.42046,99.97544
institutional_control,wipo_goveff_score,numeric,wipo,score_0_100,False,132,66.33,132,52.513142,33.531099,0.0,100.0
institutional_control,wipo_polstab_score,numeric,wipo,score_0_100,True,132,66.33,30,69.642859,18.749999,0.0,100.0
institutional_control,wipo_regqua_score,numeric,wipo,score_0_100,False,132,66.33,132,45.358036,37.497513,0.0,100.0
institutional_control,wipo_ruleol_score,numeric,wipo,score_0_100,True,132,66.33,132,44.147771,35.627389,0.0,100.0
