bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
regulatory_treatment,iapp_adhiere_oecd_ai,binary,iapp,binary,True,28,14.07,2,1.0,1.0,0.0,1.0
regulatory_treatment,iapp_adopto_unesco_etica_ia,binary,iapp,binary,True,28,14.07,2,1.0,0.0,0.0,1.0
regulatory_treatment,iapp_categoria_obligatoriedad,categorical,iapp,categorical,True,28,14.07,6,,,,
regulatory_treatment,iapp_endoso_declaracion_data_scraping,binary,iapp,binary,True,28,14.07,2,0.0,1.0,0.0,1.0
regulatory_treatment,iapp_endoso_hiroshima_g7,binary,iapp,binary,True,28,14.07,2,0.0,0.0,0.0,1.0
regulatory_treatment,iapp_estrategia_nacional_ia,binary,iapp,binary,True,28,14.07,2,1.0,0.0,0.0,1.0
regulatory_treatment,iapp_firmo_ai_action_summit,binary,iapp,binary,True,28,14.07,2,0.0,1.0,0.0,1.0
regulatory_treatment,iapp_firmo_bletchley,binary,iapp,binary,True,28,14.07,2,0.5,1.0,0.0,1.0
regulatory_treatment,iapp_firmo_coe_convencion,binary,iapp,binary,True,28,14.07,2,0.0,0.0,0.0,1.0
regulatory_treatment,iapp_guias_sectoriales,binary,iapp,binary,True,28,14.07,2,1.0,1.0,0.0,1.0
regulatory_treatment,iapp_herramientas_testing,binary,iapp,binary,True,28,14.07,2,0.0,0.0,0.0,1.0
regulatory_treatment,iapp_instituto_seguridad_ia,binary,iapp,binary,True,28,14.07,2,0.0,0.0,0.0,1.0
regulatory_treatment,iapp_ley_ia_vigente,binary,iapp,binary,True,28,14.07,2,0.0,0.25,0.0,1.0
regulatory_treatment,iapp_marcos_voluntarios,binary,iapp,binary,True,28,14.07,2,1.0,0.0,0.0,1.0
regulatory_treatment,iapp_modelo_gobernanza,categorical,iapp,categorical,True,28,14.07,5,,,,
regulatory_treatment,iapp_n_autoridades,numeric,iapp,count,True,28,14.07,10,5.5,3.25,1.0,10.0
regulatory_treatment,iapp_n_leyes_relacionadas,numeric,iapp,count,True,28,14.07,9,7.0,3.25,4.0,12.0
regulatory_treatment,iapp_proyecto_ley_ia,binary,iapp,binary,True,28,14.07,2,1.0,1.0,0.0,1.0
regulatory_treatment,iapp_sandbox_regulatorio,binary,iapp,binary,True,28,14.07,2,0.0,0.0,0.0,1.0
regulatory_treatment,stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,numeric,stanford,count,True,10,5.03,10,91.0,50.0,29.0,812.0
regulatory_treatment,stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,numeric,stanford,count,True,84,42.21,41,6.0,38.0,1.0,3865.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,numeric,stanford,count,True,58,29.15,2,1.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,numeric,stanford,count,True,58,29.15,2,0.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,numeric,stanford,count,True,58,29.15,2,1.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,numeric,stanford,count,True,58,29.15,2,0.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,numeric,stanford,count,True,58,29.15,2,0.0,0.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,numeric,stanford,count,True,58,29.15,2,0.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,numeric,stanford,count,True,58,29.15,2,1.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,numeric,stanford,count,True,58,29.15,2,0.0,1.0,0.0,1.0
regulatory_treatment,stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,numeric,stanford,count,True,138,69.35,92,21.55,48.15,0.0,97.31
regulatory_treatment,stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,numeric,stanford,count,True,138,69.35,76,6.3,34.3675,0.0,90.8
regulatory_treatment,stanford_fig_3_7_2_fig_3_7_2_gender_equality,numeric,stanford,count,True,138,69.35,77,5.6,23.15,0.0,95.99
regulatory_treatment,stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,numeric,stanford,count,True,138,69.35,71,4.635,26.655,0.0,89.8
