bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
tech_infrastructure_control,oecd_2_indigo_oecd_indigo_score,numeric,oecd,score_0_100,True,191,95.98,126,0.058591,0.038204,0.0,0.139529
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_data_driven,numeric,oecd,count,True,38,19.1,12,0.1,0.0375,0.05,0.17
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_design,numeric,oecd,count,True,38,19.1,11,0.11,0.03,0.05,0.16
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_open_data,numeric,oecd,count,True,38,19.1,11,0.085,0.03,0.04,0.15
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_overall,numeric,oecd,count,True,38,19.1,28,0.59,0.1425,0.2,0.93
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_policy,numeric,oecd,count,True,38,19.1,11,0.105,0.0275,0.02,0.15
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_proactiveness,numeric,oecd,count,True,38,19.1,14,0.09,0.04,0.0,0.16
tech_infrastructure_control,oecd_4_digital_gov_oecd_digital_gov_user_driven,numeric,oecd,count,True,38,19.1,13,0.1,0.0375,0.01,0.15
tech_infrastructure_control,oecd_4_digital_gov_oecd_open_gov_data,numeric,oecd,count,True,40,20.1,33,0.455,0.2725,0.09,0.91
tech_infrastructure_control,wb_electric_consumption_kwh_pc,numeric,wb,count,True,147,73.87,147,2585.270432,4421.795358,13.717021,48997.945698
tech_infrastructure_control,wb_fixed_broadband_per100,numeric,wb,pct,True,195,97.99,195,12.464073,28.402406,0.0,55.678082
tech_infrastructure_control,wb_internet_penetration,numeric,wb,count,True,191,95.98,188,81.95706,34.760741,6.671,100.0
tech_infrastructure_control,wb_patent_applications_residents,numeric,wb,count,True,135,67.84,105,104.0,871.0,1.0,1426644.0
tech_infrastructure_control,wipo_apptarriff_score,numeric,wipo,score_0_100,True,132,66.33,102,80.771379,30.687537,0.0,100.0
tech_infrastructure_control,wipo_c_eccomplexity_score,numeric,wipo,score_0_100,True,121,60.8,121,44.24091,33.224628,0.0,100.0
tech_infrastructure_control,wipo_c_hhi_score,numeric,wipo,score_0_100,True,112,56.28,112,88.330691,17.2719,0.0,100.0
tech_infrastructure_control,wipo_c_hitechmanufind2_score,numeric,wipo,score_0_100,True,110,55.28,110,29.342217,33.721863,0.0,100.0
tech_infrastructure_control,wipo_c_htexphkg_score,numeric,wipo,score_0_100,True,131,65.83,126,5.90146,20.66167,0.0,100.0
tech_infrastructure_control,wipo_c_vencapdeal_score,numeric,wipo,score_0_100,True,94,47.24,91,9.231397,19.188315,0.0,100.0
tech_infrastructure_control,wipo_cctld_score,numeric,wipo,score_0_100,True,132,66.33,129,2.333719,13.925856,0.0,100.0
tech_infrastructure_control,wipo_citdoc_score,numeric,wipo,score_0_100,True,132,66.33,113,11.496225,23.661633,0.0,100.0
tech_infrastructure_control,wipo_compsoftspend_score,numeric,wipo,score_0_100,True,125,62.81,125,19.836091,22.28949,0.0,100.0
tech_infrastructure_control,wipo_costredu_score,numeric,wipo,score_0_100,True,130,65.33,85,82.838284,24.800016,0.0,100.0
tech_infrastructure_control,wipo_cultservexp_score,numeric,wipo,score_0_100,True,113,56.78,110,10.94338,23.972368,0.0,100.0
tech_infrastructure_control,wipo_domcred2priv_score,numeric,wipo,score_0_100,True,130,65.33,130,19.928413,25.263076,0.0,100.0
tech_infrastructure_control,wipo_dommarksc_score,numeric,wipo,score_0_100,True,132,66.33,132,51.618841,24.084585,0.0,100.0
tech_infrastructure_control,wipo_entmedia_score,numeric,wipo,score_0_100,True,63,31.66,63,13.799032,45.62644,0.0,100.0
tech_infrastructure_control,wipo_envperf_score,numeric,wipo,score_0_100,True,130,65.33,116,46.6,26.125,25.1,82.5
tech_infrastructure_control,wipo_epart_score,numeric,wipo,score_0_100,True,131,65.83,54,71.43,33.925,15.48,100.0
tech_infrastructure_control,wipo_fdinetinfl_score,numeric,wipo,score_0_100,True,132,66.33,131,42.876448,5.209049,0.0,100.0
tech_infrastructure_control,wipo_femempdeg_score,numeric,wipo,score_0_100,True,124,62.31,124,36.748397,43.592764,0.0,100.0
tech_infrastructure_control,wipo_firmtrain_score,numeric,wipo,score_0_100,True,98,49.25,86,34.379263,29.774898,0.0,100.0
tech_infrastructure_control,wipo_gdpener_score,numeric,wipo,score_0_100,True,124,62.31,124,28.072415,20.586606,0.0,100.0
tech_infrastructure_control,wipo_gentld_score,numeric,wipo,score_0_100,True,132,66.33,131,2.806862,12.525304,0.0,100.0
tech_infrastructure_control,wipo_gerdfinabr_score,numeric,wipo,score_0_100,True,102,51.26,101,7.320792,22.156077,0.0,100.0
tech_infrastructure_control,wipo_gerdfinbus_score,numeric,wipo,score_0_100,True,103,51.76,101,45.230335,51.302808,0.0,100.0
tech_infrastructure_control,wipo_gerdperf_score,numeric,wipo,score_0_100,True,89,44.72,89,8.158868,19.323558,0.0,100.0
tech_infrastructure_control,wipo_govfundpup_score,numeric,wipo,score_0_100,True,102,51.26,102,29.4516,17.282214,0.0,100.0
tech_infrastructure_control,wipo_govolserv_score,numeric,wipo,score_0_100,True,131,65.83,80,70.59,31.475,19.41,100.0
tech_infrastructure_control,wipo_grocap_score,numeric,wipo,score_0_100,True,126,63.32,126,26.571146,13.424327,0.0,100.0
tech_infrastructure_control,wipo_hitechimp_score,numeric,wipo,score_0_100,True,131,65.83,130,24.093489,16.271263,0.0,100.0
tech_infrastructure_control,wipo_ictacc_score,numeric,wipo,score_0_100,True,132,66.33,132,66.959329,35.033093,21.665122,95.051625
tech_infrastructure_control,wipo_ictorgmod_score,numeric,wipo,score_0_100,True,125,62.81,125,54.433393,16.75026,21.689014,83.734417
tech_infrastructure_control,wipo_ictservexp_score,numeric,wipo,score_0_100,True,131,65.83,128,14.036279,21.22989,0.0,100.0
tech_infrastructure_control,wipo_ictsevimp_score,numeric,wipo,score_0_100,True,131,65.83,130,25.358468,31.273804,0.0,100.0
tech_infrastructure_control,wipo_ictuse_score,numeric,wipo,score_0_100,True,132,66.33,132,57.607782,37.764948,3.083421,90.438198
tech_infrastructure_control,wipo_in_1_1_1_score,numeric,wipo,score_0_100,True,141,70.85,80,60.666667,28.666667,0.0,100.0
tech_infrastructure_control,wipo_in_1_1_2_score,numeric,wipo,score_0_100,True,141,70.85,140,43.399503,34.188033,0.0,100.0
tech_infrastructure_control,wipo_in_1_1_score,numeric,wipo,score_0_100,True,141,70.85,141,53.577952,31.05853,0.0,98.666667
tech_infrastructure_control,wipo_in_1_2_1_score,numeric,wipo,score_0_100,True,141,70.85,140,49.074068,31.567672,0.0,100.0
tech_infrastructure_control,wipo_in_1_2_2_score,numeric,wipo,score_0_100,True,141,70.85,140,49.143829,32.571038,0.0,100.0
tech_infrastructure_control,wipo_in_1_2_3_score,numeric,wipo,score_0_100,True,133,66.83,96,84.378439,24.524589,0.0,100.0
tech_infrastructure_control,wipo_in_1_2_score,numeric,wipo,score_0_100,True,141,70.85,141,48.559642,31.238018,0.0,97.403589
tech_infrastructure_control,wipo_in_1_3_1_score,numeric,wipo,score_0_100,True,136,68.34,136,46.275069,34.585212,0.0,100.0
tech_infrastructure_control,wipo_in_1_3_2_score,numeric,wipo,score_0_100,True,93,46.73,93,41.438337,27.296814,0.0,100.0
tech_infrastructure_control,wipo_in_1_3_score,numeric,wipo,score_0_100,True,138,69.35,138,43.759388,31.484593,0.0,100.0
tech_infrastructure_control,wipo_in_1_score,numeric,wipo,score_0_100,True,141,70.85,141,48.958414,30.647544,1.878481,98.690085
tech_infrastructure_control,wipo_in_2_1_1_score,numeric,wipo,score_0_100,True,137,68.84,137,41.956448,20.755935,0.0,100.0
tech_infrastructure_control,wipo_in_2_1_2_score,numeric,wipo,score_0_100,True,116,58.29,116,28.801201,22.57121,0.0,100.0
tech_infrastructure_control,wipo_in_2_1_3_score,numeric,wipo,score_0_100,True,130,65.33,130,54.763283,30.682055,0.0,100.0
tech_infrastructure_control,wipo_in_2_1_4_score,numeric,wipo,score_0_100,True,86,43.22,86,42.156779,35.866653,0.0,100.0
tech_infrastructure_control,wipo_in_2_1_5_score,numeric,wipo,score_0_100,True,137,68.84,136,80.459196,23.481754,0.0,100.0
tech_infrastructure_control,wipo_in_2_1_score,numeric,wipo,score_0_100,True,141,70.85,141,49.680991,20.556997,0.400894,91.338512
tech_infrastructure_control,wipo_in_2_2_1_score,numeric,wipo,score_0_100,True,135,67.84,134,30.952094,33.282069,0.0,100.0
tech_infrastructure_control,wipo_in_2_2_2_score,numeric,wipo,score_0_100,True,119,59.8,119,43.062574,27.878351,0.0,100.0
tech_infrastructure_control,wipo_in_2_2_3_score,numeric,wipo,score_0_100,True,122,61.31,119,10.545295,21.35136,0.0,100.0
tech_infrastructure_control,wipo_in_2_2_score,numeric,wipo,score_0_100,True,136,68.34,135,29.901129,21.523293,0.0,73.412593
tech_infrastructure_control,wipo_in_2_3_1_score,numeric,wipo,score_0_100,True,118,59.3,118,7.9646,33.041415,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_2_score,numeric,wipo,score_0_100,True,121,60.8,121,9.394156,19.250266,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_3_score,numeric,wipo,score_0_100,True,140,70.35,44,0.0,46.051309,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_4_score,numeric,wipo,score_0_100,True,141,70.85,81,10.276545,39.09184,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_score,numeric,wipo,score_0_100,True,141,70.85,125,7.003911,27.640381,0.0,83.961762
tech_infrastructure_control,wipo_in_2_score,numeric,wipo,score_0_100,True,141,70.85,141,30.401614,22.810035,5.517167,66.991373
tech_infrastructure_control,wipo_in_3_1_1_score,numeric,wipo,score_0_100,True,140,70.35,138,84.278428,32.575396,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_2_score,numeric,wipo,score_0_100,True,141,70.85,140,77.536747,23.812903,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_3_score,numeric,wipo,score_0_100,True,140,70.35,140,66.562602,42.701002,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_4_score,numeric,wipo,score_0_100,True,135,67.84,66,53.494321,39.537501,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_score,numeric,wipo,score_0_100,True,141,70.85,141,75.373119,30.574978,10.333793,98.595105
