variable_matriz,bloque_tematico,source_id,unit,pct_complete,n_outliers_iqr_1_5,suggest_log_transform,fe_recommendation
anthropic_ai_autonomy_mean,adoption_diffusion,anthropic,count,78.89,2,False,exclude_constant
anthropic_ai_autonomy_median,adoption_diffusion,anthropic,count,78.89,10,True,exclude_constant
anthropic_ai_education_years_mean,adoption_diffusion,anthropic,count,78.89,9,True,exclude_constant
anthropic_collaboration_pct,adoption_diffusion,anthropic,pct,77.39,26,True,exclude_constant
anthropic_gdp_total,socioeconomic_control,anthropic,usd,86.93,20,True,transform_log
anthropic_usage_pct,adoption_diffusion,anthropic,pct,81.91,21,True,collapse_redundant
iapp_n_autoridades,regulatory_treatment,iapp,count,14.07,0,False,exclude_low_coverage
iapp_n_leyes_relacionadas,regulatory_treatment,iapp,count,14.07,0,False,exclude_low_coverage
ms_change_pp,adoption_diffusion,microsoft,pct,73.37,2,False,keep_primary
ms_h1_2025_ai_diffusion_pct,adoption_diffusion,microsoft,pct,73.37,3,False,keep_primary
ms_h2_2025_ai_diffusion_pct,adoption_diffusion,microsoft,pct,73.37,3,False,keep_primary
oecd_1_digital_stri_digital_stri_e_transactions,institutional_control,oecd,count,64.32,5,False,keep_with_caution
oecd_1_digital_stri_digital_stri_infrastructure,institutional_control,oecd,count,64.32,6,False,keep_with_caution
oecd_1_digital_stri_digital_stri_ip,institutional_control,oecd,count,64.32,3,True,transform_log
oecd_1_digital_stri_digital_stri_other,institutional_control,oecd,count,64.32,3,False,keep_with_caution
oecd_1_digital_stri_digital_stri_overall,institutional_control,oecd,count,64.32,1,False,keep_with_caution
oecd_1_digital_stri_digital_stri_payment,institutional_control,oecd,count,64.32,5,False,keep_with_caution
oecd_2_indigo_oecd_indigo_score,tech_infrastructure_control,oecd,score_0_100,95.98,0,False,keep_primary
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,institutional_control,oecd,count,21.61,0,False,exclude_low_coverage
oecd_3_regulatory_gov_oecd_reg_gov_ria,institutional_control,oecd,count,20.6,0,False,exclude_low_coverage
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,institutional_control,oecd,count,20.6,0,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_data_driven,tech_infrastructure_control,oecd,count,19.1,0,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_design,tech_infrastructure_control,oecd,count,19.1,1,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_open_data,tech_infrastructure_control,oecd,count,19.1,1,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_overall,tech_infrastructure_control,oecd,count,19.1,3,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_policy,tech_infrastructure_control,oecd,count,19.1,2,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_proactiveness,tech_infrastructure_control,oecd,count,19.1,3,False,exclude_low_coverage
oecd_4_digital_gov_oecd_digital_gov_user_driven,tech_infrastructure_control,oecd,count,19.1,1,False,exclude_low_coverage
oecd_4_digital_gov_oecd_open_gov_data,tech_infrastructure_control,oecd,count,20.1,0,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_ai_pct,adoption_diffusion,oecd,pct,19.1,0,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_bigdata_pct,adoption_diffusion,oecd,pct,18.09,0,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_cloud_pct,adoption_diffusion,oecd,pct,19.1,0,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_ict_specialists_pct,adoption_diffusion,oecd,pct,18.09,0,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_iot_pct,adoption_diffusion,oecd,pct,18.09,1,False,exclude_low_coverage
oecd_5_ict_business_oecd_biz_website_pct,adoption_diffusion,oecd,pct,18.09,0,False,exclude_low_coverage
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,institutional_control,oecd,count,51.76,1,False,keep_with_caution
oecd_7_pmr_oecd_pmr_overall,institutional_control,oecd,count,27.64,2,False,exclude_low_coverage
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,socioeconomic_control,oecd,count,26.13,0,False,exclude_low_coverage
oxford_adaptability,ecosystem_outcome,oxford,score_0_100,96.98,1,False,keep_primary
oxford_ai_infrastructure,ecosystem_outcome,oxford,score_0_100,97.99,1,False,keep_primary
oxford_ai_sector_maturity,ecosystem_outcome,oxford,score_0_100,97.99,5,False,keep_primary
oxford_ai_technology_diffusion,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_compute_capacity,ecosystem_outcome,oxford,score_0_100,97.99,22,True,collapse_redundant
oxford_data_availability,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
oxford_data_infrastructure,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
