iso3,country_name_canonical,region,income_group,regulatory_cluster_k4,cluster_status
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,clustering_error: AttributeError
AGO,Angola,Sub-Saharan Africa ,Lower middle income,,clustering_error: AttributeError
ALB,Albania,Europe & Central Asia,Upper middle income,,clustering_error: AttributeError
AND,Andorra,Europe & Central Asia,High income,,clustering_error: AttributeError
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,clustering_error: AttributeError
ARG,Argentina,Latin America & Caribbean ,Upper middle income,,clustering_error: AttributeError
ARM,Armenia,Europe & Central Asia,Upper middle income,,clustering_error: AttributeError
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,,clustering_error: AttributeError
AUS,Australia,East Asia & Pacific,High income,,clustering_error: AttributeError
AUT,Austria,Europe & Central Asia,High income,,clustering_error: AttributeError
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,,clustering_error: AttributeError
BDI,Burundi,Sub-Saharan Africa ,Low income,,clustering_error: AttributeError
BEL,Belgium,Europe & Central Asia,High income,,clustering_error: AttributeError
BEN,Benin,Sub-Saharan Africa ,Lower middle income,,clustering_error: AttributeError
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,,clustering_error: AttributeError
BGD,Bangladesh,South Asia,Lower middle income,,clustering_error: AttributeError
BGR,Bulgaria,Europe & Central Asia,High income,,clustering_error: AttributeError
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,clustering_error: AttributeError
BHS,The Bahamas,Latin America & Caribbean ,High income,,clustering_error: AttributeError
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,clustering_error: AttributeError
BLR,Belarus,Europe & Central Asia,Upper middle income,,clustering_error: AttributeError
BLZ,Belize,Latin America & Caribbean ,Upper middle income,,clustering_error: AttributeError
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,,clustering_error: AttributeError
BRA,Brazil,Latin America & Caribbean ,Upper middle income,,clustering_error: AttributeError
BRB,Barbados,Latin America & Caribbean ,High income,,clustering_error: AttributeError
BRN,Brunei,East Asia & Pacific,High income,,clustering_error: AttributeError
BTN,Bhutan,South Asia,Lower middle income,,clustering_error: AttributeError
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,,clustering_error: AttributeError
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,,clustering_error: AttributeError
