iso3,country_name_canonical,region,income_group,n_sources_present,included_in_dense_candidate,zscore_regulatory_treatment_mean,pct_coverage_regulatory_treatment,zscore_ecosystem_outcome_mean,pct_coverage_ecosystem_outcome,zscore_adoption_diffusion_mean,pct_coverage_adoption_diffusion,zscore_socioeconomic_control_mean,pct_coverage_socioeconomic_control,zscore_institutional_control_mean,pct_coverage_institutional_control,zscore_tech_infrastructure_control_mean,pct_coverage_tech_infrastructure_control,rank_regulatory_treatment,rank_ecosystem_outcome,rank_adoption_diffusion,rank_socioeconomic_control,rank_institutional_control,rank_tech_infrastructure_control
USA,United States,North America,High income,8,True,40.8813,100.0,5.4912,96.77,38.9088,71.43,70.6676,100.0,0.5865,93.55,20.8358,92.81,1,1,1,1,71,3
CHE,Switzerland,Europe & Central Asia,High income,7,True,4.5688,41.94,5.254,98.39,1.6132,92.86,6.6972,100.0,1.2737,100.0,4.1006,94.01,9,2,26,30,37,8
KOR,South Korea,East Asia & Pacific,High income,8,True,2.1174,100.0,4.972,99.19,5.2858,92.86,7.8538,100.0,0.7371,100.0,14.5841,98.2,30,3,5,22,57,5
SWE,Sweden,Europe & Central Asia,High income,7,True,0.625,29.03,4.8528,98.39,1.7052,100.0,6.4311,100.0,0.7018,100.0,3.6917,97.6,64,4,24,32,60,10
DEU,Germany,Europe & Central Asia,High income,7,True,14.9879,45.16,4.82,100.0,4.0942,100.0,18.4512,100.0,0.637,100.0,5.3432,94.01,3,5,8,7,67,6
HKG,Hong Kong,East Asia & Pacific,High income,6,True,2.877,74.19,4.6491,37.1,,0.0,20.8477,92.86,1.5875,64.52,2.9633,88.62,20,6,,5,32,16
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,7,True,6.5417,41.94,4.4927,98.39,2.468,100.0,12.5458,100.0,0.8721,100.0,3.1889,98.2,6,7,15,10,51,14
JPN,Japan,East Asia & Pacific,High income,8,True,3.0321,96.77,4.434,99.19,3.21,85.71,11.0826,96.43,0.8815,100.0,16.3951,97.01,17,8,11,12,49,4
FIN,Finland,Europe & Central Asia,High income,7,True,1.0955,41.94,4.3671,100.0,1.5748,100.0,10.8732,100.0,0.8762,100.0,3.3616,97.6,49,9,27,13,50,13
DNK,Denmark,Europe & Central Asia,High income,7,True,1.1,29.03,4.1776,100.0,1.4035,100.0,14.8964,100.0,0.8828,100.0,3.3688,95.81,48,10,32,9,48,12
GBR,United Kingdom,Europe & Central Asia,High income,8,True,8.2564,100.0,4.1263,98.39,5.1037,92.86,10.3344,96.43,0.7907,100.0,4.197,97.6,4,11,6,15,54,7
SGP,Singapore,East Asia & Pacific,High income,8,True,4.1714,100.0,4.121,97.58,3.666,57.14,21.4247,96.43,1.0252,87.1,3.8217,92.22,12,12,10,4,43,9
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,True,1.3412,83.87,4.0651,98.39,0.3124,100.0,4.516,96.43,1.0698,100.0,2.8878,96.41,42,13,76,44,40,17
CHN,China,East Asia & Pacific,Upper middle income,8,True,18.0642,100.0,4.0228,97.58,0.3279,21.43,34.3761,89.29,0.3027,90.32,96.4861,90.42,2,14,75,2,92,1
FRA,France,Europe & Central Asia,High income,7,True,7.2459,41.94,3.7779,100.0,4.4018,100.0,11.0979,100.0,0.5287,100.0,3.4028,98.2,5,15,7,11,74,11
LUX,Luxembourg,Europe & Central Asia,High income,6,True,-0.0222,29.03,3.4078,95.16,0.2338,78.57,9.7856,100.0,0.3883,100.0,2.4907,97.01,85,16,82,16,84,21
CAN,Canada,North America,High income,8,True,5.7879,100.0,3.2978,96.77,3.0321,100.0,8.6468,100.0,0.9746,100.0,3.0097,97.01,8,17,12,18,45,15
AUT,Austria,Europe & Central Asia,High income,7,True,1.358,41.94,3.2303,99.19,1.4583,100.0,4.984,100.0,0.6512,100.0,2.4452,98.2,41,18,29,42,64,26
NOR,Norway,Europe & Central Asia,High income,7,True,0.1556,29.03,2.7711,98.39,1.2273,100.0,3.8937,100.0,0.8121,100.0,2.5422,98.2,80,19,37,50,53,20
IRL,Ireland,Europe & Central Asia,High income,7,True,4.3639,41.94,2.7088,99.19,1.6889,100.0,9.2181,100.0,0.5274,100.0,2.4456,97.01,10,20,25,17,75,25
ISL,Iceland,Europe & Central Asia,High income,6,True,-0.1111,29.03,2.6123,95.16,-0.5054,50.0,5.6758,100.0,1.384,100.0,2.8713,95.21,94,21,137,38,36,18
BEL,Belgium,Europe & Central Asia,High income,7,True,2.0001,41.94,2.6017,98.39,1.7519,100.0,2.4013,100.0,0.4572,100.0,2.2374,98.2,32,22,23,62,79,28
ITA,Italy,Europe & Central Asia,High income,7,True,6.3254,45.16,2.5604,100.0,2.4133,100.0,6.8711,100.0,0.3864,100.0,2.0743,98.8,7,23,16,27,85,29
CZE,Czech Republic,Europe & Central Asia,High income,7,True,-0.6,3.23,2.5272,98.39,0.8628,100.0,6.7463,100.0,0.3174,100.0,1.6569,97.01,111,24,47,28,91,33
EST,Estonia,Europe & Central Asia,High income,6,True,2.2589,41.94,2.4931,98.39,0.1591,78.57,7.8809,100.0,0.3371,100.0,2.4674,97.6,27,25,95,21,89,23
AUS,Australia,East Asia & Pacific,High income,8,True,4.2171,100.0,2.455,99.19,2.0888,100.0,7.7565,96.43,1.0737,100.0,2.5748,94.61,11,26,20,23,39,19
CYP,Cyprus,Europe & Central Asia,High income,6,True,-0.2,3.23,2.2147,96.77,-0.8688,35.71,7.1395,100.0,0.533,77.42,2.0088,93.41,101,27,160,25,73,30
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,6,True,0.0,25.81,2.1878,97.58,-0.5575,35.71,7.5072,100.0,0.6382,77.42,2.4556,92.22,84,28,140,24,66,24
ESP,Spain,Europe & Central Asia,High income,7,True,2.8939,41.94,2.1373,100.0,2.5356,100.0,6.6422,100.0,0.2928,100.0,1.5635,98.2,19,29,14,31,93,36
NZL,New Zealand,East Asia & Pacific,High income,8,True,0.8173,96.77,2.0434,97.58,1.4233,92.86,1.7691,100.0,1.0873,100.0,1.9645,95.81,56,30,31,71,38,31
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,True,1.4394,96.77,2.0252,99.19,3.819,57.14,4.1715,96.43,0.6963,64.52,1.8363,91.62,39,31,9,47,61,32
MYS,Malaysia,East Asia & Pacific,Upper middle income,7,True,0.432,41.94,2.0174,100.0,1.1964,57.14,4.8847,96.43,0.3406,87.1,1.0963,94.61,69,32,40,43,88,45
TWN,Taiwan,,,6,True,1.5667,70.97,1.8819,58.87,2.2022,57.14,16.3706,3.57,2.4304,3.23,-2.4792,0.6,36,33,18,8,24,196
PRT,Portugal,Europe & Central Asia,High income,7,True,2.1364,41.94,1.8759,100.0,0.5422,100.0,3.1393,100.0,0.3565,100.0,1.4835,98.8,29,34,63,58,87,38
SVN,Slovenia,Europe & Central Asia,High income,7,True,2.2492,41.94,1.8228,97.58,0.7651,100.0,4.3485,100.0,0.1582,100.0,1.2656,97.6,28,35,51,46,106,40
HUN,Hungary,Europe & Central Asia,High income,7,True,0.4375,41.94,1.7763,99.19,0.4455,100.0,1.4005,100.0,-0.2337,100.0,1.1054,98.2,68,36,68,77,141,44
THA,Thailand,East Asia & Pacific,Upper middle income,7,True,-0.0534,16.13,1.7124,99.19,1.0721,57.14,3.2803,100.0,0.119,90.32,0.5256,94.01,88,37,41,55,109,63
POL,Poland,Europe & Central Asia,High income,7,True,3.9591,16.13,1.6463,99.19,1.2069,100.0,5.3618,100.0,0.232,100.0,1.0059,100.0,13,38,38,40,102,47
VNM,Vietnam,East Asia & Pacific,Lower middle income,8,True,0.2477,96.77,1.4302,99.19,2.1564,57.14,6.1493,92.86,-0.0218,87.1,0.5868,93.41,76,39,19,35,122,60
LTU,Lithuania,Europe & Central Asia,High income,7,True,1.1776,38.71,1.4062,96.77,0.4818,100.0,5.8644,100.0,0.42,100.0,1.1857,97.01,46,40,66,37,80,41
IND,India,South Asia,Lower middle income,8,True,2.4419,96.77,1.356,98.39,12.6525,57.14,19.8224,96.43,0.0852,87.1,2.2484,94.01,24,41,3,6,112,27
SVK,Slovakia,Europe & Central Asia,High income,7,True,0.3421,41.94,1.3238,98.39,0.229,100.0,3.6358,100.0,0.2431,100.0,0.7698,93.41,73,42,84,52,101,54
BGR,Bulgaria,Europe & Central Asia,High income,7,True,1.7161,16.13,1.3088,97.58,-0.3368,100.0,3.1479,100.0,-0.0309,80.65,1.0167,94.01,34,43,125,57,123,46
TUR,Turkiye,Europe & Central Asia,Upper middle income,8,True,-0.1193,83.87,1.2864,100.0,0.2538,100.0,5.3515,96.43,0.072,93.55,0.921,98.8,96,44,80,41,114,49
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,8,True,0.7572,96.77,1.2849,98.39,1.5153,57.14,3.0049,92.86,0.5608,87.1,0.6818,86.83,60,45,28,59,72,57
LVA,Latvia,Europe & Central Asia,High income,6,True,3.1369,12.9,1.2327,97.58,-0.4367,78.57,2.1688,100.0,0.4579,100.0,0.9911,97.01,15,46,130,67,78,48
PHL,Philippines (the),East Asia & Pacific,Lower middle income,7,True,3.109,16.13,1.1035,99.19,1.8651,57.14,6.0673,92.86,-0.2215,90.32,0.2702,92.81,16,47,22,36,140,72
GRC,Greece,Europe & Central Asia,High income,7,True,1.4948,41.94,1.0972,98.39,0.0214,100.0,2.2283,96.43,0.0624,100.0,0.7736,94.01,38,48,108,66,116,52
BRA,Brazil,Latin America & Caribbean ,Upper middle income,8,True,1.1902,96.77,1.0021,100.0,2.3172,100.0,8.5493,96.43,-0.3523,90.32,0.7198,98.2,45,49,17,19,147,55
UKR,Ukraine,Europe & Central Asia,Upper middle income,7,True,2.3589,16.13,0.98,97.58,0.3112,57.14,1.6208,96.43,-0.4409,67.74,0.1101,94.61,26,50,77,72,155,83
RUS,Russia,Europe & Central Asia,High income,7,True,0.56,29.03,0.9582,99.19,-0.9469,21.43,4.3649,96.43,-0.0021,83.87,1.5651,93.41,66,51,162,45,120,35
MEX,Mexico,Latin America & Caribbean ,Upper middle income,7,True,1.3785,41.94,0.9567,99.19,1.8808,57.14,6.337,100.0,-0.1636,100.0,0.1269,100.0,40,52,21,33,134,81
LIE,Liechtenstein,Europe & Central Asia,High income,5,True,,0.0,0.8602,58.87,-1.8054,28.57,-78.195,32.14,5.7573,38.71,1.6534,1.8,,53,183,198,10,34
HRV,Croatia,Europe & Central Asia,High income,7,True,0.9214,16.13,0.8117,98.39,0.2333,100.0,2.1078,100.0,0.3203,80.65,0.627,96.41,55,54,83,68,90,58
IDN,Indonesia,East Asia & Pacific,Upper middle income,8,True,-0.2899,96.77,0.8113,99.19,2.7515,57.14,5.5614,96.43,0.1436,90.32,-0.0921,95.21,102,55,13,39,108,94
SRB,Serbia,Europe & Central Asia,Upper middle income,7,True,1.5759,16.13,0.7996,98.39,0.6519,57.14,1.5765,92.86,0.0928,87.1,0.5287,92.22,35,56,58,73,110,62
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,True,2.4082,41.94,0.7929,95.97,1.4269,57.14,0.2212,96.43,0.7427,64.52,0.4969,89.82,25,57,30,121,56,64
ROU,Romania,Europe & Central Asia,High income,7,True,2.5973,16.13,0.7699,99.19,-0.3795,100.0,2.4902,100.0,0.164,80.65,0.3095,100.0,22,58,128,61,103,71
CHL,Chile,Latin America & Caribbean ,High income,8,True,0.9587,96.77,0.7231,99.19,0.8752,57.14,1.8092,100.0,0.2872,100.0,0.4051,99.4,54,59,46,70,95,66
SMR,San Marino,Europe & Central Asia,High income,5,True,,0.0,0.7079,58.87,-1.0376,7.14,4.0002,53.57,11.1681,38.71,1.1104,2.4,,60,164,49,2,43
AND,Andorra,Europe & Central Asia,High income,5,True,,0.0,0.6215,58.87,-0.9379,35.71,3.4561,53.57,,0.0,1.1473,2.4,,61,161,54,,42
MDA,Moldova,Europe & Central Asia,Upper middle income,7,True,0.2758,12.9,0.6153,96.77,-0.1596,57.14,0.5798,96.43,0.0877,70.97,-0.2213,90.42,74,62,118,97,111,102
URY,Uruguay,Latin America & Caribbean ,High income,7,True,1.5044,41.94,0.6041,95.97,0.5765,57.14,0.0324,96.43,0.4608,87.1,0.1994,91.62,37,63,62,140,77,76
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,7,True,1.0854,41.94,0.5816,98.39,1.3171,57.14,2.3107,96.43,-0.0444,90.32,0.4813,93.41,50,64,35,63,124,65
IRN,Iran,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7,True,1.2,3.23,0.581,96.77,-0.2062,21.43,2.6461,85.71,-1.0739,64.52,0.256,90.42,44,65,121,60,190,74
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,True,3.9332,12.9,0.5699,97.58,0.8938,57.14,-0.1128,89.29,-0.1681,67.74,-0.0223,91.02,14,66,45,151,135,87
MCO,Monaco,Europe & Central Asia,High income,5,True,,0.0,0.5673,58.87,-0.7039,35.71,8.0508,25.0,11.3361,38.71,1.2846,2.4,,67,150,20,1,39
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,6,True,-0.1173,38.71,0.5226,96.77,-0.1166,35.71,0.418,92.86,0.6904,64.52,0.3836,89.22,95,68,116,103,62,67
ARM,Armenia,Europe & Central Asia,Upper middle income,7,True,0.0448,38.71,0.516,96.77,-0.5308,57.14,0.954,92.86,0.6003,70.97,-0.1381,89.82,83,69,139,83,69,98
MNE,Montenegro,Europe & Central Asia,Upper middle income,6,True,0.6588,12.9,0.4939,93.55,-0.6952,35.71,0.7377,89.29,0.2919,87.1,0.7145,85.63,62,70,149,90,94,56
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,True,-0.1543,16.13,0.428,95.97,0.4345,57.14,0.8694,92.86,0.7238,64.52,0.0948,88.02,99,71,69,85,58,84
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,7,True,-0.2963,67.74,0.4081,95.16,0.1573,35.71,0.2095,92.86,0.9808,87.1,0.8674,92.22,104,72,96,122,44,50
SYC,Seychelles,Sub-Saharan Africa ,High income,6,True,,0.0,0.3941,70.97,12.1509,35.71,10.7235,64.29,2.4044,61.29,1.5041,39.52,,73,4,14,25,37
ARG,Argentina,Latin America & Caribbean ,Upper middle income,8,True,0.4857,96.77,0.3674,97.58,1.2365,57.14,6.7153,100.0,-0.0681,90.32,-0.1609,97.01,67,74,36,29,127,99
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,7,True,0.7828,12.9,0.3451,96.77,-0.1072,57.14,0.3399,85.71,-0.092,64.52,-0.0467,85.03,58,75,114,110,131,90
COL,Colombia,Latin America & Caribbean ,Upper middle income,8,True,0.2715,96.77,0.3394,99.19,0.7663,100.0,1.5135,96.43,-0.0793,100.0,0.3316,98.8,75,76,50,75,130,68
NRU,Nauru,East Asia & Pacific,High income,4,False,,0.0,0.3383,58.06,,0.0,-0.422,42.86,10.6137,38.71,-0.0626,1.2,,77,,182,4,91
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,7,True,1.7286,12.9,0.3163,99.19,0.2,57.14,1.2923,96.43,0.3948,87.1,-0.0666,93.41,33,78,88,78,83,92
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,True,1.1614,38.71,0.2983,96.77,0.8612,57.14,0.6597,96.43,0.1439,87.1,-0.2291,93.41,47,79,48,94,107,104
BRB,Barbados,Latin America & Caribbean ,High income,6,True,-1.0,12.9,0.2972,82.26,-0.6019,35.71,-0.0333,57.14,2.1346,38.71,2.4696,38.32,129,80,142,143,27,22
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8,True,0.178,96.77,0.291,97.58,1.0589,57.14,4.022,85.71,-0.0986,87.1,-0.4582,93.41,79,81,42,48,132,118
GEO,Georgia,Europe & Central Asia,Upper middle income,7,True,2.6165,16.13,0.282,97.58,0.2018,57.14,0.6547,96.43,0.7619,67.74,0.3157,89.82,21,82,87,95,55,69
CRI,Costa Rica,Latin America & Caribbean ,High income,7,True,2.9135,16.13,0.2717,97.58,0.6617,57.14,0.4146,100.0,0.0151,100.0,-0.0303,97.01,18,83,57,105,119,88
BRN,Brunei,East Asia & Pacific,High income,6,True,,0.0,0.268,91.13,0.1142,35.71,0.8201,92.86,2.049,87.1,-0.0326,82.63,,84,101,87,29,89
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7,True,1.082,41.94,0.2624,97.58,0.6825,57.14,0.6845,85.71,-0.3611,87.1,-0.2218,93.41,51,85,53,93,148,103
FJI,Fiji,East Asia & Pacific,Upper middle income,5,True,,0.0,0.2618,59.68,-0.7383,35.71,0.9375,60.71,4.7213,38.71,-0.5908,1.8,,86,152,84,15,128
BLR,Belarus,Europe & Central Asia,Upper middle income,7,True,-0.9789,12.9,0.259,97.58,-0.6574,21.43,1.4651,92.86,-0.1914,67.74,0.0381,89.22,128,87,146,76,137,85
PAN,Panama,Latin America & Caribbean ,High income,7,True,0.207,12.9,0.2546,97.58,0.0651,57.14,1.2878,96.43,0.0666,83.87,-0.1194,91.62,78,88,104,79,115,96
MKD,North Macedonia,Europe & Central Asia,Upper middle income,6,True,2.1046,12.9,0.2168,96.77,-0.0117,35.71,0.4128,89.29,0.2707,87.1,0.3112,88.02,31,89,110,106,98,70
