block_a,block_b,var_a,var_b,rho_spearman,pvalue_raw,pvalue_fdr,pvalue_holm,significance,n_pairs
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_1_score,oxford_ind_regulatory_quality,0.9953,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_citdoc_score,wipo_out_6_1_5_score,0.9945,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_entmedia_score,wipo_out_7_2_3_score,0.9913,0.0,0.0,0.0,survives_fdr_and_holm,63
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_2_score,oxford_ind_govt_effectiveness,0.9893,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_c_hitechmanufind2_score,wipo_out_6_2_5_score,0.9889,0.0,0.0,0.0,survives_fdr_and_holm,105
institutional_control,ecosystem_outcome,wb_voice_accountability,oxford_ind_accountability,0.9872,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_2_1_score,wipo_elecout_score,0.9831,0.0,0.0,0.0,survives_fdr_and_holm,124
institutional_control,ecosystem_outcome,wb_regulatory_quality,oxford_ind_regulatory_quality,0.9795,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_in_2_3_2_score,oxford_ind_rd_spending_log,0.9789,0.0,0.0,0.0,survives_fdr_and_holm,120
tech_infrastructure_control,ecosystem_outcome,wipo_ictuse_score,oxford_ind_telecom_infrastructure,0.9763,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_compsoftspend_score,oxford_ind_software_spending,0.9762,0.0,0.0,0.0,survives_fdr_and_holm,123
socioeconomic_control,ecosystem_outcome,wipo_rdexp_score,oxford_ind_rd_spending_log,0.9746,0.0,0.0,0.0,survives_fdr_and_holm,115
tech_infrastructure_control,ecosystem_outcome,wipo_sp61_score,wipo_out_6_1_score,0.9729,0.0,0.0,0.0,survives_fdr_and_holm,132
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_score,oxford_ind_govt_effectiveness,0.9729,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_government_effectiveness,oxford_ind_govt_effectiveness,0.9721,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_score,oxford_ind_regulatory_quality,0.9704,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wipo_regqua_score,oxford_ind_regulatory_quality,0.9683,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_c_eccomplexity_score,wipo_out_6_3_2_score,0.9649,0.0,0.0,0.0,survives_fdr_and_holm,121
tech_infrastructure_control,ecosystem_outcome,wipo_in_score,wipo_gii_score,0.9636,0.0,0.0,0.0,survives_fdr_and_holm,141
tech_infrastructure_control,ecosystem_outcome,wipo_sp11_score,oxford_ind_govt_effectiveness,0.962,0.0,0.0,0.0,survives_fdr_and_holm,131
institutional_control,ecosystem_outcome,wipo_goveff_score,oxford_ind_govt_effectiveness,0.962,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_compsoftspend_score,wipo_out_6_2_3_score,0.9591,0.0,0.0,0.0,survives_fdr_and_holm,125
tech_infrastructure_control,ecosystem_outcome,wipo_sp73_score,wipo_wikiedit_score,0.9526,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_isoqual_score,wipo_out_6_3_5_score,0.9471,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_score,oxford_ind_regulatory_quality,0.947,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_3_score,oxford_ind_online_services,0.947,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wb_electric_consumption_kwh_pc,wipo_elecout_score,0.9457,0.0,0.0,0.0,survives_fdr_and_holm,124
tech_infrastructure_control,ecosystem_outcome,wipo_in_3_1_4_score,oxford_ind_online_services,0.944,0.0,0.0,0.0,survives_fdr_and_holm,135
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_2_score,oxford_ind_govt_effectiveness,0.9409,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_score,oxford_ind_govt_effectiveness,0.9404,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_score,oxford_ind_govt_effectiveness,0.9396,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_1_2_score,oxford_ind_regulatory_quality,0.9387,0.0,0.0,0.0,survives_fdr_and_holm,140
socioeconomic_control,ecosystem_outcome,wb_rd_expenditure_pct_gdp,oxford_ind_rd_spending_log,0.9381,0.0,0.0,0.0,survives_fdr_and_holm,116
tech_infrastructure_control,ecosystem_outcome,wipo_in_5_2_5_score,wipo_pctpatorig_score,0.938,0.0,0.0,0.0,survives_fdr_and_holm,117
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_2_score,oxford_ind_regulatory_quality,0.9367,0.0,0.0,0.0,survives_fdr_and_holm,140
institutional_control,ecosystem_outcome,wb_regulatory_quality,oxford_ind_govt_effectiveness,0.936,0.0,0.0,0.0,survives_fdr_and_holm,191
tech_infrastructure_control,ecosystem_outcome,wipo_in_1_2_1_score,oxford_ind_govt_effectiveness,0.9359,0.0,0.0,0.0,survives_fdr_and_holm,140
tech_infrastructure_control,ecosystem_outcome,wipo_ictacc_score,oxford_ind_telecom_infrastructure,0.9359,0.0,0.0,0.0,survives_fdr_and_holm,131
tech_infrastructure_control,ecosystem_outcome,wipo_gerdperf_score,oxford_ind_rd_spending_log,0.9354,0.0,0.0,0.0,survives_fdr_and_holm,88
tech_infrastructure_control,ecosystem_outcome,wipo_c_htexphkg_score,wipo_out_6_3_3_score,0.9341,0.0,0.0,0.0,survives_fdr_and_holm,131
