variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
wb_mobile_subscriptions_per100,wb,socioeconomic_control,pct,unknown,True,199,197,2,98.99,1.01
wb_population,wb,socioeconomic_control,count,unknown,True,199,197,2,98.99,1.01
wb_government_effectiveness_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_government_effectiveness,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_control_of_corruption_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_regulatory_quality,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_voice_accountability_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_voice_accountability,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_control_of_corruption,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_rule_of_law,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_political_stability,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_rule_of_law_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_secure_servers_per_1m,wb,socioeconomic_control,count,unknown,True,199,196,3,98.49,1.51
wb_regulatory_quality_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
wb_political_stability_se,wb,institutional_control,wgi_-2.5_2.5,higher_better,True,199,196,3,98.49,1.51
oxford_human_capital_2025,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_governance_principles,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_ai_infrastructure,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_total_score,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_ai_sector_maturity,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_development_diffusion,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_governance_2025,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_societal_transition,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
oxford_enabling_technical_infrastructure,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,195,4,97.99,2.01
