var_a,var_b,method,mi,n_pairs,n_bins
wipo_costredu_score,wipo_in_1_2_3_score,mutual_information_quantile,2.020755,129,8
anthropic_gdp_total,wb_gdp_current_usd,mutual_information_quantile,1.985121,172,8
wb_researchers_rd_per_million,wipo_in_2_3_1_score,mutual_information_quantile,1.83556,101,8
ms_h1_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,mutual_information_quantile,1.687096,146,8
wipo_entmedia_score,wipo_out_7_2_3_score,mutual_information_quantile,1.65586,63,8
oxford_ind_regulatory_quality,wipo_in_1_2_1_score,mutual_information_quantile,1.634577,140,8
wipo_citdoc_score,wipo_out_6_1_5_score,mutual_information_quantile,1.633264,132,8
wipo_dommarksc_score,wipo_in_4_3_3_score,mutual_information_quantile,1.618113,132,8
wb_rd_expenditure_pct_gdp,wipo_in_2_3_2_score,mutual_information_quantile,1.583672,107,8
wipo_c_hitechmanufind2_score,wipo_out_6_2_5_score,mutual_information_quantile,1.542594,105,8
wipo_elecout_score,wipo_in_3_2_1_score,mutual_information_quantile,1.529389,124,8
wb_tertiary_education_enrollment,wipo_in_2_2_1_score,mutual_information_quantile,1.484339,126,8
wb_electric_consumption_kwh_pc,wipo_in_3_2_1_score,mutual_information_quantile,1.483165,132,8
wipo_goveff_score,wipo_sp11_score,mutual_information_quantile,1.464688,132,8
wipo_in_5_3_5_score,wipo_restalbus_score,mutual_information_quantile,1.427057,83,8
wipo_in_2_3_1_score,wipo_resppop_score,mutual_information_quantile,1.417529,105,8
oxford_ind_regulatory_quality,wb_regulatory_quality,mutual_information_quantile,1.389055,191,8
wb_regulatory_quality,wipo_in_1_2_1_score,mutual_information_quantile,1.376629,141,8
oxford_ind_rd_spending_log,wipo_in_2_3_2_score,mutual_information_quantile,1.375209,120,8
wb_labor_force,wb_population,mutual_information_quantile,1.364831,181,8
oxford_ind_rd_spending_log,wipo_rdexp_score,mutual_information_quantile,1.360778,115,8
oxford_ind_software_spending,wipo_compsoftspend_score,mutual_information_quantile,1.347219,123,8
wb_regulatory_quality,wipo_in_1_2_score,mutual_information_quantile,1.345604,141,8
oxford_ind_govt_effectiveness,wipo_in_1_1_2_score,mutual_information_quantile,1.343224,140,8
oxford_ind_accountability,wb_voice_accountability,mutual_information_quantile,1.341632,191,8
wb_electric_consumption_kwh_pc,wipo_elecout_score,mutual_information_quantile,1.339867,124,8
wipo_in_4_2_1_score,wipo_markcap_score,mutual_information_quantile,1.337018,75,8
wipo_in_1_2_2_score,wipo_in_1_2_score,mutual_information_quantile,1.33147,141,8
wipo_out_7_3_3_score,wipo_out_7_3_4_score,mutual_information_quantile,1.312844,127,8
wipo_in_2_3_2_score,wipo_rdexp_score,mutual_information_quantile,1.307486,112,8
anthropic_gdp_total,wipo_dommarksc_score,mutual_information_quantile,1.290948,123,8
wipo_out_6_1_score,wipo_sp61_score,mutual_information_quantile,1.285741,132,8
wipo_in_1_2_1_score,wipo_in_1_2_score,mutual_information_quantile,1.283944,141,8
wipo_in_1_2_2_score,wipo_ruleol_score,mutual_information_quantile,1.283153,132,8
wipo_gerdperf_score,wipo_in_5_1_4_score,mutual_information_quantile,1.272984,87,8
wipo_in_1_1_2_score,wipo_in_1_1_score,mutual_information_quantile,1.272293,141,8
wipo_c_eccomplexity_score,wipo_out_6_3_2_score,mutual_information_quantile,1.268427,121,8
wipo_out_7_score,wipo_out_score,mutual_information_quantile,1.268282,141,8
wb_rule_of_law,wipo_in_1_2_2_score,mutual_information_quantile,1.256527,141,8
wipo_domcred2priv_score,wipo_in_4_1_2_score,mutual_information_quantile,1.253129,129,8
wipo_in_1_1_1_score,wipo_in_1_1_score,mutual_information_quantile,1.252263,141,8
wipo_in_2_2_1_score,wipo_tertenrol_score,mutual_information_quantile,1.250988,127,8
oxford_ind_govt_effectiveness,wipo_in_1_1_score,mutual_information_quantile,1.249808,140,8
oxford_ind_regulatory_quality,wipo_in_1_2_score,mutual_information_quantile,1.247075,140,8
wb_gdp_current_usd,wipo_dommarksc_score,mutual_information_quantile,1.244119,132,8
wb_rd_expenditure_pct_gdp,wipo_rdexp_score,mutual_information_quantile,1.243476,101,8
wipo_gerdperf_score,wipo_rdexp_score,mutual_information_quantile,1.241956,89,8
wb_researchers_rd_per_million,wipo_resppop_score,mutual_information_quantile,1.239181,89,8
oxford_ind_govt_effectiveness,wb_government_effectiveness,mutual_information_quantile,1.229007,191,8
wipo_in_2_3_score,wipo_sp23_score,mutual_information_quantile,1.227959,132,8
anthropic_gdp_total,wipo_in_4_3_3_score,mutual_information_quantile,1.226443,130,8
oxford_maturity,oxford_size,mutual_information_quantile,1.222674,176,8
wipo_in_5_1_1_score,wipo_knowintsemp_score,mutual_information_quantile,1.220124,123,8
wipo_in_4_2_4_score,wipo_in_4_2_5_score,mutual_information_quantile,1.216554,116,8
wipo_compsoftspend_score,wipo_out_6_2_3_score,mutual_information_quantile,1.214553,125,8
wipo_femempdeg_score,wipo_in_5_1_2_score,mutual_information_quantile,1.208763,122,8
oxford_ind_rd_spending_log,wb_rd_expenditure_pct_gdp,mutual_information_quantile,1.207947,116,8
wipo_creagoodexp_score,wipo_out_7_2_5_score,mutual_information_quantile,1.203475,127,8
wb_rule_of_law,wipo_ruleol_score,mutual_information_quantile,1.201535,132,8
wb_government_effectiveness,wipo_in_1_1_score,mutual_information_quantile,1.200374,141,8
oxford_ind_stem_graduates,wipo_in_2_2_2_score,mutual_information_quantile,1.198787,119,8
wipo_epart_score,wipo_govolserv_score,mutual_information_quantile,1.195815,131,8
wipo_patfam_score,wipo_pctpatorig_score,mutual_information_quantile,1.195168,113,8
wipo_out_6_1_3_score,wipo_utilmodorig_score,mutual_information_quantile,1.192953,79,8
wipo_sp73_score,wipo_wikiedit_score,mutual_information_quantile,1.19256,131,8
wipo_gerdfinbus_score,wipo_in_5_1_5_score,mutual_information_quantile,1.191313,100,8
oxford_ind_telecom_infrastructure,wipo_ictuse_score,mutual_information_quantile,1.190645,131,8
oxford_ind_rd_spending_log,wipo_gerdperf_score,mutual_information_quantile,1.185375,88,8
wb_gdp_current_usd,wipo_in_4_3_3_score,mutual_information_quantile,1.182741,141,8
wipo_in_2_1_3_score,wipo_schlifeexp_score,mutual_information_quantile,1.180936,117,8
wipo_in_1_2_score,wipo_ruleol_score,mutual_information_quantile,1.179777,132,8
wb_government_effectiveness,wipo_in_1_1_2_score,mutual_information_quantile,1.176406,141,8
wipo_c_scitechart_score,wipo_out_6_1_4_score,mutual_information_quantile,1.174713,131,8
wb_government_effectiveness,wipo_goveff_score,mutual_information_quantile,1.166806,132,8
wb_control_of_corruption_se,wb_rule_of_law_se,mutual_information_quantile,1.163866,196,8
wipo_appcrea_score,wipo_out_7_3_4_score,mutual_information_quantile,1.16196,103,8
wipo_in_2_1_4_score,wipo_pisa_score,mutual_information_quantile,1.161955,79,8
wipo_out_6_2_4_score,wipo_out_6_2_5_score,mutual_information_quantile,1.158755,110,8
wipo_gerdperf_score,wipo_in_2_3_2_score,mutual_information_quantile,1.15857,88,8
oxford_ind_govt_effectiveness,wipo_goveff_score,mutual_information_quantile,1.148929,131,8
oxford_ind_govt_effectiveness,wipo_sp11_score,mutual_information_quantile,1.148592,131,8
wipo_isoqual_score,wipo_out_6_3_5_score,mutual_information_quantile,1.148359,131,8
wb_government_effectiveness,wipo_in_1_2_score,mutual_information_quantile,1.145412,141,8
wb_government_effectiveness,wipo_sp11_score,mutual_information_quantile,1.141715,132,8
oxford_ind_regulatory_quality,wipo_regqua_score,mutual_information_quantile,1.138682,131,8
wipo_in_1_2_1_score,wipo_regqua_score,mutual_information_quantile,1.13789,132,8
wipo_gii_score,wipo_in_score,mutual_information_quantile,1.13523,141,8
wb_rd_expenditure_pct_gdp,wipo_gerdperf_score,mutual_information_quantile,1.134974,84,8
wipo_in_1_1_score,wipo_sp11_score,mutual_information_quantile,1.133184,132,8
wb_education_expenditure_pct_gdp,wipo_in_2_1_1_score,mutual_information_quantile,1.129937,134,8
wb_regulatory_quality,wipo_in_1_2_2_score,mutual_information_quantile,1.129585,141,8
oxford_governance_2025,oxford_governance_principles,mutual_information_quantile,1.127363,195,8
wipo_gii_score,wipo_out_score,mutual_information_quantile,1.125589,141,8
wb_rule_of_law,wipo_in_1_2_score,mutual_information_quantile,1.125222,141,8
wipo_c_htexphkg_score,wipo_out_6_3_3_score,mutual_information_quantile,1.11741,131,8
wipo_in_2_2_3_score,wipo_tertmob_score,mutual_information_quantile,1.111332,110,8
wipo_goveff_score,wipo_in_1_2_score,mutual_information_quantile,1.110159,132,8
wipo_in_1_2_score,wipo_sp11_score,mutual_information_quantile,1.106423,132,8
wipo_in_1_1_score,wipo_in_1_2_score,mutual_information_quantile,1.10369,141,8
wipo_ictacc_score,wipo_ictuse_score,mutual_information_quantile,1.094352,132,8
wipo_out_7_2_4_score,wipo_out_7_2_5_score,mutual_information_quantile,1.094019,130,8
wipo_govfundpup_score,wipo_in_2_1_2_score,mutual_information_quantile,1.093529,101,8
wb_tertiary_education_enrollment,wipo_tertenrol_score,mutual_information_quantile,1.092868,118,8
wipo_easeinsol_score,wipo_sp13_score,mutual_information_quantile,1.092576,132,8
oxford_policy_capacity,oxford_policy_vision,mutual_information_quantile,1.092455,195,8
wb_rd_expenditure_pct_gdp,wipo_in_5_1_4_score,mutual_information_quantile,1.091475,100,8
oxford_ai_technology_diffusion,oxford_development_diffusion,mutual_information_quantile,1.091294,195,8
wipo_cctld_score,wipo_out_7_3_1_score,mutual_information_quantile,1.090724,132,8
wipo_goveff_score,wipo_in_1_1_2_score,mutual_information_quantile,1.088795,132,8
wb_gdp_per_capita_ppp,wipo_ictuse_score,mutual_information_quantile,1.088208,131,8
wipo_in_score,wipo_out_7_2_3_score,mutual_information_quantile,1.082703,65,8
anthropic_gdp_total,anthropic_usage_pct,mutual_information_quantile,1.077835,158,8
wb_regulatory_quality,wipo_regqua_score,mutual_information_quantile,1.077428,132,8
wipo_goveff_score,wipo_ruleol_score,mutual_information_quantile,1.076402,132,8
wipo_industdes_score,wipo_out_7_1_4_score,mutual_information_quantile,1.076353,121,8
wipo_in_3_3_3_score,wipo_isoenv_score,mutual_information_quantile,1.074245,132,8
wb_rule_of_law_se,wb_voice_accountability_se,mutual_information_quantile,1.073821,196,8
wb_regulatory_quality,wipo_in_1_1_score,mutual_information_quantile,1.071042,141,8
oxford_ind_online_services,wipo_in_3_1_3_score,mutual_information_quantile,1.070728,140,8
oxford_ind_github_activity_log,wipo_out_7_3_2_score,mutual_information_quantile,1.069311,140,8
wipo_in_1_1_2_score,wipo_sp11_score,mutual_information_quantile,1.067754,132,8
wipo_c_hitechmanufind2_score,wipo_out_6_2_4_score,mutual_information_quantile,1.066017,110,8
wipo_creagoodexp_score,wipo_out_7_2_4_score,mutual_information_quantile,1.065412,130,8
wb_government_effectiveness_se,wb_regulatory_quality_se,mutual_information_quantile,1.064302,196,8
wipo_in_1_1_score,wipo_in_1_score,mutual_information_quantile,1.063834,141,8
oxford_ind_software_spending,wipo_out_6_2_3_score,mutual_information_quantile,1.060904,136,8
wipo_entmedia_score,wipo_goveff_score,mutual_information_quantile,1.056596,63,8
wb_control_of_corruption,wb_rule_of_law,mutual_information_quantile,1.056152,196,8
oxford_governance_2025,oxford_regulatory_compliance,mutual_information_quantile,1.056037,195,8
wb_control_of_corruption,wipo_in_1_2_2_score,mutual_information_quantile,1.055785,141,8
