variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
anthropic_ai_autonomy_mean,adoption_diffusion,157,78.89,3.466028,3.451087,0.128044,0.080311,3.133333,3.288568,3.378503,3.547526,3.676587,3.857143,0.169023,0.461,0.1795,False
anthropic_ai_autonomy_median,adoption_diffusion,157,78.89,3.936306,4.0,0.244989,0.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,-3.5732,10.768,True
anthropic_ai_education_years_mean,adoption_diffusion,157,78.89,11.969985,11.967475,0.59952,0.227838,10.211194,11.075972,11.752282,12.223572,12.6936,16.884605,0.47129,3.1718,27.7622,True
anthropic_collaboration_pct,adoption_diffusion,154,77.39,20.833333,16.666667,9.200522,0.0,16.666667,16.666667,16.666667,20.0,50.0,50.0,3.333333,2.5317,5.116,True
anthropic_gdp_total,socioeconomic_control,173,86.93,509488184971.09827,46943000000.0,2321352299273.4365,44928000000.0,65000000.0,959200000.0,13370000000.0,298833000000.0,1990363200000.0017,29184900000000.0,285463000000.0,11.0924,133.3209,True
anthropic_usage_pct,adoption_diffusion,163,81.91,0.533777,0.0681,1.913999,0.0639,0.0015,0.0026,0.0176,0.3577,2.58666,22.2372,0.3401,9.3175,100.3591,True
iapp_n_autoridades,regulatory_treatment,28,14.07,5.535714,5.5,2.486737,1.5,1.0,2.0,4.0,7.25,9.0,10.0,3.25,-0.0138,-1.0301,False
iapp_n_leyes_relacionadas,regulatory_treatment,28,14.07,7.178571,7.0,2.37352,2.0,4.0,4.0,5.0,8.25,11.65,12.0,3.25,0.6131,-0.5546,False
ms_change_pp,adoption_diffusion,146,73.37,1.171233,0.9,0.8195,0.5,-0.1,0.4,0.6,1.675,2.5,4.8,1.075,1.4234,2.9471,False
ms_h1_2025_ai_diffusion_pct,adoption_diffusion,146,73.37,16.278767,12.55,10.710447,5.55,4.6,6.05,8.7,22.075,36.375,59.4,13.375,1.472,2.3871,False
ms_h2_2025_ai_diffusion_pct,adoption_diffusion,146,73.37,17.45137,13.55,11.387417,5.85,5.1,6.6,9.1,23.65,38.9,64.0,14.55,1.4358,2.2245,False
oecd_1_digital_stri_digital_stri_e_transactions,institutional_control,128,64.32,0.032022,0.021237,0.021486,0.021237,0.0,0.0,0.021237,0.042475,0.063712,0.106187,0.021237,0.9634,1.2496,False
oecd_1_digital_stri_digital_stri_infrastructure,institutional_control,128,64.32,0.119645,0.119025,0.107015,0.07935,0.0,0.0,0.039675,0.1587,0.3174,0.436424,0.119025,0.9743,0.5017,False
oecd_1_digital_stri_digital_stri_ip,institutional_control,128,64.32,0.011331,0.0,0.019582,0.0,0.0,0.0,0.0,0.021647,0.043294,0.108235,0.021647,2.4286,7.7878,True
oecd_1_digital_stri_digital_stri_other,institutional_control,128,64.32,0.045594,0.021954,0.037197,0.021954,0.0,0.0,0.021954,0.065863,0.109772,0.131726,0.043909,0.5885,-0.8187,False
oecd_1_digital_stri_digital_stri_overall,institutional_control,128,64.32,0.2234,0.206347,0.146897,0.10506,0.021237,0.039914,0.101296,0.309743,0.517715,0.649379,0.208447,0.7023,-0.1198,False
oecd_1_digital_stri_digital_stri_payment,institutional_control,128,64.32,0.014809,0.018403,0.015843,0.018403,0.0,0.0,0.0,0.018403,0.036807,0.05521,0.018403,0.7571,-0.3266,False
oecd_2_indigo_oecd_indigo_score,tech_infrastructure_control,191,95.98,0.066122,0.058591,0.029707,0.019711,0.0,0.02819,0.045433,0.083637,0.115612,0.139529,0.038204,0.563,-0.5918,False
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,institutional_control,43,21.61,0.237442,0.15,0.237668,0.11,0.0,0.0,0.04,0.465,0.62,0.85,0.425,0.8937,-0.4196,False
oecd_3_regulatory_gov_oecd_reg_gov_ria,institutional_control,41,20.6,0.40878,0.4,0.187313,0.14,0.0,0.11,0.29,0.56,0.69,0.79,0.27,-0.1781,-0.579,False
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,institutional_control,41,20.6,0.411707,0.38,0.219635,0.13,0.0,0.0,0.25,0.61,0.69,0.88,0.36,0.0416,-0.7135,False
oecd_4_digital_gov_oecd_digital_gov_data_driven,tech_infrastructure_control,38,19.1,0.103158,0.1,0.028199,0.02,0.05,0.0585,0.09,0.1275,0.143,0.17,0.0375,0.325,-0.2652,False
oecd_4_digital_gov_oecd_digital_gov_design,tech_infrastructure_control,38,19.1,0.111316,0.11,0.024514,0.01,0.05,0.07,0.1,0.13,0.1515,0.16,0.03,-0.0983,0.0068,False
