iso3,country_name_canonical,variable_matriz,bloque_tematico,value,q1,q3,iqr,lower_fence,upper_fence,direction,iqr_k
AND,Andorra,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
BTN,Bhutan,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
CPV,Cabo Verde,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
CYP,Cyprus,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
KOR,South Korea,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
LIE,Liechtenstein,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
MNE,Montenegro,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
NZL,New Zealand,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
USA,United States,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
XKX,Kosovo,anthropic_ai_autonomy_median,adoption_diffusion,3.0,4.0,4.0,0.0,4.0,4.0,below,3.0
SYC,Seychelles,anthropic_ai_education_years_mean,adoption_diffusion,16.884605,11.752282,12.223572,0.47129,10.338413,13.637441,above,3.0
IRQ,Iraq,anthropic_ai_education_years_mean,adoption_diffusion,10.211194,11.752282,12.223572,0.47129,10.338413,13.637441,below,3.0
BDI,Burundi,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
BLZ,Belize,anthropic_collaboration_pct,adoption_diffusion,33.333333,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
BRN,Brunei,anthropic_collaboration_pct,adoption_diffusion,33.333333,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
BTN,Bhutan,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
CPV,Cabo Verde,anthropic_collaboration_pct,adoption_diffusion,33.333333,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
DJI,Djibouti,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
FJI,Fiji,anthropic_collaboration_pct,adoption_diffusion,33.333333,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
GMB,The Gambia,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
GUY,Guyana,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
LBR,Liberia,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
LSO,Lesotho,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
MCO,Monaco,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
PNG,Papua New Guinea,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
SUR,Suriname,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
SWZ,Swaziland,anthropic_collaboration_pct,adoption_diffusion,50.0,16.666667,20.0,3.333333,6.666667,30.0,above,3.0
