subpregunta,role,configured_variable,variable_matriz,match_status,bloque_tematico,tipo_matriz,pct_complete,n_countries_available,n_effective_cross_coverage,viability
Q1_investment,outcome_candidate,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,exact_or_pattern,ecosystem_outcome,numeric,92.46,184,27,requires_extension
Q1_investment,outcome_candidate,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,exact_or_pattern,ecosystem_outcome,numeric,96.98,193,27,requires_extension
Q1_investment,outcome_candidate,oxford_ind_non_ai_unicorns_log,oxford_ind_non_ai_unicorns_log,exact_or_pattern,ecosystem_outcome,numeric,96.98,193,27,requires_extension
Q1_investment,outcome_candidate,oxford_ind_vc_availability,oxford_ind_vc_availability,exact_or_pattern,ecosystem_outcome,numeric,90.45,180,27,requires_extension
Q1_investment,outcome_candidate,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,exact_or_pattern,tech_infrastructure_control,numeric,47.24,94,27,requires_extension
Q1_investment,outcome_candidate,wb_fdi_net_inflows,wb_fdi_net_inflows,exact_or_pattern,socioeconomic_control,numeric,95.98,191,27,requires_extension
Q1_investment,treatment_candidate,iapp_categoria_obligatoriedad,iapp_categoria_obligatoriedad,exact_or_pattern,regulatory_treatment,categorical,14.07,28,27,requires_extension
Q1_investment,treatment_candidate,iapp_ley_ia_vigente,iapp_ley_ia_vigente,exact_or_pattern,regulatory_treatment,binary,14.07,28,27,requires_extension
Q1_investment,treatment_candidate,iapp_proyecto_ley_ia,iapp_proyecto_ley_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28,27,requires_extension
Q1_investment,treatment_candidate,iapp_modelo_gobernanza,iapp_modelo_gobernanza,exact_or_pattern,regulatory_treatment,categorical,14.07,28,27,requires_extension
Q1_investment,treatment_candidate,iapp_n_leyes_relacionadas,iapp_n_leyes_relacionadas,exact_or_pattern,regulatory_treatment,numeric,14.07,28,27,requires_extension
Q1_investment,treatment_candidate,iapp_n_autoridades,iapp_n_autoridades,exact_or_pattern,regulatory_treatment,numeric,14.07,28,27,requires_extension
Q1_investment,control_recommended,wb_gdp_per_capita_ppp,wb_gdp_per_capita_ppp,exact_or_pattern,socioeconomic_control,numeric,94.97,189,27,requires_extension
Q1_investment,control_recommended,wb_government_effectiveness,wb_government_effectiveness,exact_or_pattern,institutional_control,numeric,98.49,196,27,requires_extension
Q1_investment,control_recommended,wb_regulatory_quality,wb_regulatory_quality,exact_or_pattern,institutional_control,numeric,98.49,196,27,requires_extension
Q1_investment,control_recommended,wb_internet_penetration,wb_internet_penetration,exact_or_pattern,tech_infrastructure_control,numeric,95.98,191,27,requires_extension
Q1_investment,control_recommended,wb_fdi_net_inflows,wb_fdi_net_inflows,exact_or_pattern,socioeconomic_control,numeric,95.98,191,27,requires_extension
