subpregunta,role,configured_variable,variable_matriz,match_status,bloque_tematico,tipo_matriz,pct_complete,n_countries_available,n_effective_cross_coverage,viability
Q3_innovation,outcome_candidate,wipo_out_score,wipo_out_score,exact_or_pattern,ecosystem_outcome,numeric,70.85,141,26,requires_extension
Q3_innovation,outcome_candidate,oxford_total_score,oxford_total_score,exact_or_pattern,ecosystem_outcome,numeric,97.99,195,26,requires_extension
Q3_innovation,outcome_candidate,wipo_gii_score,wipo_gii_score,exact_or_pattern,ecosystem_outcome,numeric,70.85,141,26,requires_extension
Q3_innovation,outcome_candidate,oxford_innovation_capacity,oxford_innovation_capacity,exact_or_pattern,ecosystem_outcome,numeric,96.98,193,26,requires_extension
Q3_innovation,outcome_candidate,oxford_ind_ai_research_papers_log,oxford_ind_ai_research_papers_log,exact_or_pattern,ecosystem_outcome,numeric,96.98,193,26,requires_extension
Q3_innovation,outcome_candidate,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,exact_or_pattern,ecosystem_outcome,numeric,19.6,39,26,requires_extension
Q3_innovation,outcome_candidate,wb_patent_applications_residents,wb_patent_applications_residents,exact_or_pattern,tech_infrastructure_control,numeric,67.84,135,26,requires_extension
Q3_innovation,treatment_candidate,iapp_ley_ia_vigente,iapp_ley_ia_vigente,exact_or_pattern,regulatory_treatment,binary,14.07,28,26,requires_extension
Q3_innovation,treatment_candidate,iapp_categoria_obligatoriedad,iapp_categoria_obligatoriedad,exact_or_pattern,regulatory_treatment,categorical,14.07,28,26,requires_extension
Q3_innovation,treatment_candidate,iapp_modelo_gobernanza,iapp_modelo_gobernanza,exact_or_pattern,regulatory_treatment,categorical,14.07,28,26,requires_extension
Q3_innovation,treatment_candidate,iapp_n_leyes_relacionadas,iapp_n_leyes_relacionadas,exact_or_pattern,regulatory_treatment,numeric,14.07,28,26,requires_extension
Q3_innovation,treatment_candidate,iapp_n_autoridades,iapp_n_autoridades,exact_or_pattern,regulatory_treatment,numeric,14.07,28,26,requires_extension
Q3_innovation,control_recommended,wb_rd_expenditure_pct_gdp,wb_rd_expenditure_pct_gdp,exact_or_pattern,socioeconomic_control,numeric,58.79,117,26,requires_extension
Q3_innovation,control_recommended,wb_researchers_rd_per_million,wb_researchers_rd_per_million,exact_or_pattern,socioeconomic_control,numeric,54.27,108,26,requires_extension
Q3_innovation,control_recommended,wb_tertiary_education_enrollment,wb_tertiary_education_enrollment,exact_or_pattern,socioeconomic_control,numeric,78.89,157,26,requires_extension
Q3_innovation,control_recommended,wb_internet_penetration,wb_internet_penetration,exact_or_pattern,tech_infrastructure_control,numeric,95.98,191,26,requires_extension
Q3_innovation,control_recommended,wb_government_effectiveness,wb_government_effectiveness,exact_or_pattern,institutional_control,numeric,98.49,196,26,requires_extension
Q3_innovation,control_recommended,wb_gdp_per_capita_ppp,wb_gdp_per_capita_ppp,exact_or_pattern,socioeconomic_control,numeric,94.97,189,26,requires_extension
