subpregunta,role,configured_variable,variable_matriz,match_status,bloque_tematico,tipo_matriz,pct_complete,n_countries_available,n_effective_cross_coverage,viability
Q4_content,content_variable,iapp_*,iapp_adhiere_oecd_ai,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_adopto_unesco_etica_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_categoria_obligatoriedad,exact_or_pattern,regulatory_treatment,categorical,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_endoso_declaracion_data_scraping,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_endoso_hiroshima_g7,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_estrategia_nacional_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_firmo_ai_action_summit,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_firmo_bletchley,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_firmo_coe_convencion,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_guias_sectoriales,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_herramientas_testing,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_instituto_seguridad_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_ley_ia_vigente,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_marcos_voluntarios,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_modelo_gobernanza,exact_or_pattern,regulatory_treatment,categorical,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_n_autoridades,exact_or_pattern,regulatory_treatment,numeric,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_n_leyes_relacionadas,exact_or_pattern,regulatory_treatment,numeric,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_proyecto_ley_ia,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,iapp_*,iapp_sandbox_regulatorio,exact_or_pattern,regulatory_treatment,binary,14.07,28.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_5_2_*,stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,exact_or_pattern,regulatory_treatment,numeric,29.15,58.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_6_1_*,stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,exact_or_pattern,regulatory_treatment,numeric,69.35,138.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_7_*,stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,exact_or_pattern,regulatory_treatment,numeric,69.35,138.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_7_*,stanford_fig_3_7_2_fig_3_7_2_gender_equality,exact_or_pattern,regulatory_treatment,numeric,69.35,138.0,138,viable_descriptive
Q4_content,content_variable,stanford_fig_3_7_*,stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,exact_or_pattern,regulatory_treatment,numeric,69.35,138.0,138,viable_descriptive
Q4_content,content_variable,oecd_3_regulatory_gov_*,oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,exact_or_pattern,institutional_control,numeric,21.61,43.0,138,viable_descriptive
Q4_content,content_variable,oecd_3_regulatory_gov_*,oecd_3_regulatory_gov_oecd_reg_gov_ria,exact_or_pattern,institutional_control,numeric,20.6,41.0,138,viable_descriptive
Q4_content,content_variable,oecd_3_regulatory_gov_*,oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,exact_or_pattern,institutional_control,numeric,20.6,41.0,138,viable_descriptive
Q4_content,method,jaccard_similarity_paises,,method_preregistered,regulatory_treatment,method,,,138,viable_descriptive
Q4_content,method,co_occurrence_matrix,,method_preregistered,regulatory_treatment,method,,,138,viable_descriptive
Q4_content,method,hca_paises_binario,,method_preregistered,regulatory_treatment,method,,,138,viable_descriptive
Q4_content,method,{'notas': 'NLP de corpus legal reservado para Fase 5+ via skill corpus-legal-ia'},,method_preregistered,regulatory_treatment,method,,,138,viable_descriptive
