variable_matriz,n_snapshot_cells,n_previous_year_available,pct_previous_year_available,median_abs_delta_previous_year,status
anthropic_ai_autonomy_mean,172,0,0.0,,descriptive_temporal_check
anthropic_ai_autonomy_median,172,0,0.0,,descriptive_temporal_check
anthropic_ai_education_years_mean,172,0,0.0,,descriptive_temporal_check
anthropic_collaboration_pct,164,149,90.85,0.0,descriptive_temporal_check
anthropic_gdp_total,174,0,0.0,,descriptive_temporal_check
anthropic_usage_pct,183,173,94.54,0.00741,descriptive_temporal_check
ms_change_pp,147,0,0.0,,descriptive_temporal_check
ms_h1_2025_ai_diffusion_pct,147,0,0.0,,descriptive_temporal_check
ms_h2_2025_ai_diffusion_pct,147,0,0.0,,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_e_transactions,129,129,100.0,0.0,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_infrastructure,129,129,100.0,0.0,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_ip,129,129,100.0,0.0,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_other,129,129,100.0,0.0,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_overall,129,129,100.0,0.0,descriptive_temporal_check
oecd_1_digital_stri_digital_stri_payment,129,129,100.0,0.0,descriptive_temporal_check
oecd_2_indigo_oecd_indigo_score,193,193,100.0,0.014323,descriptive_temporal_check
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,43,0,0.0,,descriptive_temporal_check
oecd_3_regulatory_gov_oecd_reg_gov_ria,41,0,0.0,,descriptive_temporal_check
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,41,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_data_driven,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_design,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_open_data,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_overall,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_policy,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_proactiveness,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_digital_gov_user_driven,38,0,0.0,,descriptive_temporal_check
oecd_4_digital_gov_oecd_open_gov_data,40,0,0.0,,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_ai_pct,38,30,78.95,6.28225,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_bigdata_pct,36,4,11.11,0.991148,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_cloud_pct,38,8,21.05,4.63505,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_ict_specialists_pct,36,3,8.33,2.3527,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_iot_pct,36,25,69.44,4.1283,descriptive_temporal_check
oecd_5_ict_business_oecd_biz_website_pct,36,4,11.11,0.70772,descriptive_temporal_check
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,104,104,100.0,0.0,descriptive_temporal_check
oecd_7_pmr_oecd_pmr_overall,55,0,0.0,,descriptive_temporal_check
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,52,52,100.0,0.0,descriptive_temporal_check
oxford_adaptability,193,188,97.41,3.189126,descriptive_temporal_check
oxford_ai_infrastructure,195,0,0.0,,descriptive_temporal_check
oxford_ai_sector_maturity,195,0,0.0,,descriptive_temporal_check
oxford_ai_technology_diffusion,195,0,0.0,,descriptive_temporal_check
oxford_compute_capacity,195,0,0.0,,descriptive_temporal_check
oxford_data_availability,193,188,97.41,6.239494,descriptive_temporal_check
oxford_data_infrastructure,193,188,97.41,4.940782,descriptive_temporal_check
oxford_data_quality,195,0,0.0,,descriptive_temporal_check
oxford_data_representativeness,192,187,97.4,7.270777,descriptive_temporal_check
oxford_development_diffusion,195,0,0.0,,descriptive_temporal_check
oxford_digital_capacity,193,188,97.41,6.505219,descriptive_temporal_check
oxford_e_government_delivery,195,0,0.0,,descriptive_temporal_check
oxford_enabling_technical_infrastructure,195,0,0.0,,descriptive_temporal_check
oxford_governance_2025,195,0,0.0,,descriptive_temporal_check
oxford_governance_ethics,193,188,97.41,5.167665,descriptive_temporal_check
oxford_governance_principles,195,0,0.0,,descriptive_temporal_check
oxford_government,193,188,97.41,2.626847,descriptive_temporal_check
oxford_government_digital_policy,195,0,0.0,,descriptive_temporal_check
oxford_human_capital,193,188,97.41,5.203754,descriptive_temporal_check
oxford_human_capital_2025,195,0,0.0,,descriptive_temporal_check
oxford_ind_5g_infrastructure,193,0,0.0,,descriptive_temporal_check
oxford_ind_accountability,193,0,0.0,,descriptive_temporal_check
oxford_ind_adoption_emerging_tech,184,0,0.0,,descriptive_temporal_check
oxford_ind_ai_research_papers_log,193,0,0.0,,descriptive_temporal_check
oxford_ind_ai_strategy,193,0,0.0,,descriptive_temporal_check
oxford_ind_ai_unicorns_log,193,0,0.0,,descriptive_temporal_check
oxford_ind_broadband_quality,184,0,0.0,,descriptive_temporal_check
oxford_ind_company_investment_emerging_tech,184,0,0.0,,descriptive_temporal_check
oxford_ind_cost_internet_device,191,0,0.0,,descriptive_temporal_check
oxford_ind_cybersecurity,193,0,0.0,,descriptive_temporal_check
oxford_ind_data_governance,193,0,0.0,,descriptive_temporal_check
oxford_ind_data_protection_laws,192,0,0.0,,descriptive_temporal_check
oxford_ind_eng_tech_higher_ed_quality,193,0,0.0,,descriptive_temporal_check
oxford_ind_ethical_principles,193,0,0.0,,descriptive_temporal_check
oxford_ind_female_stem_graduates,190,0,0.0,,descriptive_temporal_check
oxford_ind_foundational_it,193,0,0.0,,descriptive_temporal_check
oxford_ind_gender_gap_internet,184,0,0.0,,descriptive_temporal_check
oxford_ind_github_activity_log,193,0,0.0,,descriptive_temporal_check
oxford_ind_govt_effectiveness,193,0,0.0,,descriptive_temporal_check
oxford_ind_govt_promotion_emerging_tech,184,0,0.0,,descriptive_temporal_check
oxford_ind_govt_responsiveness,187,0,0.0,,descriptive_temporal_check
oxford_ind_households_internet,192,0,0.0,,descriptive_temporal_check
oxford_ind_ict_skills,181,0,0.0,,descriptive_temporal_check
oxford_ind_ict_trade_goods_log,192,0,0.0,,descriptive_temporal_check
oxford_ind_ict_trade_services_log,192,0,0.0,,descriptive_temporal_check
oxford_ind_mobile_subscriptions,193,0,0.0,,descriptive_temporal_check
oxford_ind_non_ai_unicorns_log,193,0,0.0,,descriptive_temporal_check
oxford_ind_online_services,193,0,0.0,,descriptive_temporal_check
oxford_ind_open_data,187,0,0.0,,descriptive_temporal_check
oxford_ind_procurement_data,187,0,0.0,,descriptive_temporal_check
oxford_ind_rd_spending_log,190,0,0.0,,descriptive_temporal_check
oxford_ind_regulatory_quality,193,0,0.0,,descriptive_temporal_check
oxford_ind_software_spending,184,0,0.0,,descriptive_temporal_check
oxford_ind_statistical_capacity,192,0,0.0,,descriptive_temporal_check
oxford_ind_stem_graduates,193,0,0.0,,descriptive_temporal_check
oxford_ind_supercomputers_log,193,0,0.0,,descriptive_temporal_check
oxford_ind_telecom_infrastructure,193,0,0.0,,descriptive_temporal_check
oxford_ind_time_govt_regulations,180,0,0.0,,descriptive_temporal_check
oxford_ind_vc_availability,180,0,0.0,,descriptive_temporal_check
oxford_infrastructure,193,188,97.41,4.744372,descriptive_temporal_check
oxford_innovation_capacity,193,188,97.41,4.284711,descriptive_temporal_check
oxford_maturity,193,188,97.41,1.417143,descriptive_temporal_check
oxford_policy_capacity,195,0,0.0,,descriptive_temporal_check
oxford_policy_commitment,195,0,0.0,,descriptive_temporal_check
oxford_policy_vision,195,0,0.0,,descriptive_temporal_check
oxford_public_sector_adoption,195,0,0.0,,descriptive_temporal_check
oxford_regulatory_compliance,195,0,0.0,,descriptive_temporal_check
oxford_resilience,195,0,0.0,,descriptive_temporal_check
oxford_safety_security,195,0,0.0,,descriptive_temporal_check
oxford_size,176,156,88.64,4.88141,descriptive_temporal_check
oxford_societal_transition,195,0,0.0,,descriptive_temporal_check
oxford_technology_sector,193,188,97.41,2.02415,descriptive_temporal_check
oxford_total_score,195,188,96.41,5.00459,descriptive_temporal_check
oxford_vision,193,188,97.41,0.0,descriptive_temporal_check
wb_control_of_corruption,206,206,100.0,0.043901,descriptive_temporal_check
wb_control_of_corruption_se,206,206,100.0,0.0,descriptive_temporal_check
wb_education_expenditure_pct_gdp,187,174,93.05,0.225031,descriptive_temporal_check
wb_electric_consumption_kwh_pc,149,149,100.0,58.696749,descriptive_temporal_check
wb_exports_pct_gdp,185,183,98.92,2.123738,descriptive_temporal_check
wb_fdi_net_inflows,201,200,99.5,277748436.080001,descriptive_temporal_check
wb_fdi_pct_gdp,198,196,98.99,0.68011,descriptive_temporal_check
wb_fixed_broadband_per100,208,205,98.56,0.38843,descriptive_temporal_check
wb_gdp_current_usd,212,210,99.06,2286094209.383,descriptive_temporal_check
wb_gdp_growth_annual_pct,211,210,99.53,1.049033,descriptive_temporal_check
wb_gdp_per_capita_ppp,199,199,100.0,885.119141,descriptive_temporal_check
wb_government_effectiveness,204,204,100.0,0.055367,descriptive_temporal_check
wb_government_effectiveness_se,204,204,100.0,0.0,descriptive_temporal_check
wb_gross_capital_formation_pct_gdp,176,174,98.86,1.174848,descriptive_temporal_check
wb_high_tech_exports_pct_manufactured,176,169,96.02,0.917643,descriptive_temporal_check
wb_ict_goods_exports_pct,167,155,92.81,0.18,descriptive_temporal_check
wb_ict_service_exports_pct,179,179,100.0,0.486282,descriptive_temporal_check
wb_inflation_consumer_prices,184,184,100.0,2.555808,descriptive_temporal_check
wb_internet_penetration,192,185,96.35,0.989098,descriptive_temporal_check
wb_labor_force,187,187,100.0,50237.0,descriptive_temporal_check
