variable_matriz,n_countries,n_years,median_abs_yoy_change,status,p90_abs_yoy_change
anthropic_ai_autonomy_mean,172,1,,single_year_or_static,
anthropic_ai_autonomy_median,172,1,,single_year_or_static,
anthropic_ai_education_years_mean,172,1,,single_year_or_static,
anthropic_collaboration_pct,164,2,0.0,panel_variation_available,5.0
anthropic_gdp_total,174,1,,single_year_or_static,
anthropic_usage_pct,183,2,0.00741,panel_variation_available,0.154611
iapp_adhiere_oecd_ai,28,0,,single_year_or_static,
iapp_adopto_unesco_etica_ia,28,0,,single_year_or_static,
iapp_endoso_declaracion_data_scraping,28,0,,single_year_or_static,
iapp_endoso_hiroshima_g7,28,0,,single_year_or_static,
iapp_estrategia_nacional_ia,28,0,,single_year_or_static,
iapp_firmo_ai_action_summit,28,0,,single_year_or_static,
iapp_firmo_bletchley,28,0,,single_year_or_static,
iapp_firmo_coe_convencion,28,0,,single_year_or_static,
iapp_guias_sectoriales,28,0,,single_year_or_static,
iapp_herramientas_testing,28,0,,single_year_or_static,
iapp_instituto_seguridad_ia,28,0,,single_year_or_static,
iapp_ley_ia_vigente,28,0,,single_year_or_static,
iapp_marcos_voluntarios,28,0,,single_year_or_static,
iapp_n_autoridades,28,0,,single_year_or_static,
iapp_n_leyes_relacionadas,28,0,,single_year_or_static,
iapp_proyecto_ley_ia,28,0,,single_year_or_static,
iapp_sandbox_regulatorio,28,0,,single_year_or_static,
ms_change_pp,147,1,,single_year_or_static,
ms_h1_2025_ai_diffusion_pct,147,1,,single_year_or_static,
ms_h2_2025_ai_diffusion_pct,147,1,,single_year_or_static,
oecd_1_digital_stri_digital_stri_e_transactions,129,8,0.0,panel_variation_available,0.0
oecd_1_digital_stri_digital_stri_infrastructure,129,8,0.0,panel_variation_available,0.0
oecd_1_digital_stri_digital_stri_ip,129,8,0.0,panel_variation_available,0.0
oecd_1_digital_stri_digital_stri_other,129,8,0.0,panel_variation_available,0.0
oecd_1_digital_stri_digital_stri_overall,129,8,0.0,panel_variation_available,0.018438
oecd_1_digital_stri_digital_stri_payment,129,8,0.0,panel_variation_available,0.0
oecd_2_indigo_oecd_indigo_score,193,7,0.003691,panel_variation_available,0.014349
oecd_3_regulatory_gov_oecd_reg_gov_ex_post_eval,43,2,0.0,panel_variation_available,0.148
oecd_3_regulatory_gov_oecd_reg_gov_ria,41,2,0.04,panel_variation_available,0.09
oecd_3_regulatory_gov_oecd_reg_gov_stakeholder,41,2,0.0,panel_variation_available,0.07
oecd_4_digital_gov_oecd_digital_gov_data_driven,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_design,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_open_data,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_overall,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_policy,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_proactiveness,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_digital_gov_user_driven,38,1,,single_year_or_static,
oecd_4_digital_gov_oecd_open_gov_data,40,1,,single_year_or_static,
oecd_5_ict_business_oecd_biz_ai_pct,38,8,2.9394,panel_variation_available,9.87851
oecd_5_ict_business_oecd_biz_bigdata_pct,36,8,10.67075,panel_variation_available,28.13635
oecd_5_ict_business_oecd_biz_cloud_pct,38,8,4.57825,panel_variation_available,12.99536
oecd_5_ict_business_oecd_biz_ict_specialists_pct,36,7,1.3709,panel_variation_available,4.01759
oecd_5_ict_business_oecd_biz_iot_pct,36,6,3.4573,panel_variation_available,17.10618
oecd_5_ict_business_oecd_biz_website_pct,36,8,1.3507,panel_variation_available,4.43396
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,104,5,0.0,panel_variation_available,0.004625
oecd_7_pmr_oecd_pmr_overall,55,2,0.162202,panel_variation_available,0.521195
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,52,7,0.0,panel_variation_available,0.03
oxford_adaptability,193,5,5.754408,panel_variation_available,20.504158
oxford_ai_infrastructure,195,1,,single_year_or_static,
oxford_ai_sector_maturity,195,1,,single_year_or_static,
oxford_ai_technology_diffusion,195,1,,single_year_or_static,
oxford_compute_capacity,195,1,,single_year_or_static,
oxford_data_availability,193,5,4.632585,panel_variation_available,16.183591
oxford_data_infrastructure,193,5,3.786551,panel_variation_available,9.060425
oxford_data_quality,195,1,,single_year_or_static,
oxford_data_representativeness,192,5,5.345,panel_variation_available,13.555549
oxford_development_diffusion,195,1,,single_year_or_static,
oxford_digital_capacity,193,5,3.570179,panel_variation_available,13.387937
oxford_e_government_delivery,195,1,,single_year_or_static,
oxford_enabling_technical_infrastructure,195,1,,single_year_or_static,
oxford_governance_2025,195,1,,single_year_or_static,
oxford_governance_ethics,193,5,3.505578,panel_variation_available,19.944518
oxford_governance_principles,195,1,,single_year_or_static,
oxford_government,193,5,2.643157,panel_variation_available,11.258285
oxford_government_digital_policy,195,1,,single_year_or_static,
oxford_human_capital,193,5,4.379519,panel_variation_available,10.181969
oxford_human_capital_2025,195,1,,single_year_or_static,
oxford_ind_5g_infrastructure,193,1,,single_year_or_static,
oxford_ind_accountability,193,1,,single_year_or_static,
oxford_ind_adoption_emerging_tech,184,1,,single_year_or_static,
oxford_ind_ai_research_papers_log,193,1,,single_year_or_static,
oxford_ind_ai_strategy,193,1,,single_year_or_static,
oxford_ind_ai_unicorns_log,193,1,,single_year_or_static,
oxford_ind_broadband_quality,184,1,,single_year_or_static,
oxford_ind_company_investment_emerging_tech,184,1,,single_year_or_static,
oxford_ind_cost_internet_device,191,1,,single_year_or_static,
oxford_ind_cybersecurity,193,1,,single_year_or_static,
oxford_ind_data_governance,193,1,,single_year_or_static,
oxford_ind_data_protection_laws,192,1,,single_year_or_static,
oxford_ind_eng_tech_higher_ed_quality,193,1,,single_year_or_static,
oxford_ind_ethical_principles,193,1,,single_year_or_static,
oxford_ind_female_stem_graduates,190,1,,single_year_or_static,
oxford_ind_foundational_it,193,1,,single_year_or_static,
oxford_ind_gender_gap_internet,184,1,,single_year_or_static,
oxford_ind_github_activity_log,193,1,,single_year_or_static,
oxford_ind_govt_effectiveness,193,1,,single_year_or_static,
oxford_ind_govt_promotion_emerging_tech,184,1,,single_year_or_static,
oxford_ind_govt_responsiveness,187,1,,single_year_or_static,
oxford_ind_households_internet,192,1,,single_year_or_static,
oxford_ind_ict_skills,181,1,,single_year_or_static,
oxford_ind_ict_trade_goods_log,192,1,,single_year_or_static,
oxford_ind_ict_trade_services_log,192,1,,single_year_or_static,
oxford_ind_mobile_subscriptions,193,1,,single_year_or_static,
oxford_ind_non_ai_unicorns_log,193,1,,single_year_or_static,
oxford_ind_online_services,193,1,,single_year_or_static,
oxford_ind_open_data,187,1,,single_year_or_static,
oxford_ind_procurement_data,187,1,,single_year_or_static,
oxford_ind_rd_spending_log,190,1,,single_year_or_static,
oxford_ind_regulatory_quality,193,1,,single_year_or_static,
oxford_ind_software_spending,184,1,,single_year_or_static,
oxford_ind_statistical_capacity,192,1,,single_year_or_static,
oxford_ind_stem_graduates,193,1,,single_year_or_static,
oxford_ind_supercomputers_log,193,1,,single_year_or_static,
oxford_ind_telecom_infrastructure,193,1,,single_year_or_static,
oxford_ind_time_govt_regulations,180,1,,single_year_or_static,
oxford_ind_vc_availability,180,1,,single_year_or_static,
oxford_infrastructure,193,5,6.014254,panel_variation_available,17.968321
oxford_innovation_capacity,193,5,6.149195,panel_variation_available,12.654102
oxford_maturity,193,3,1.10331,panel_variation_available,2.823281
oxford_policy_capacity,195,1,,single_year_or_static,
oxford_policy_commitment,195,1,,single_year_or_static,
oxford_policy_vision,195,1,,single_year_or_static,
oxford_public_sector_adoption,195,1,,single_year_or_static,
oxford_regulatory_compliance,195,1,,single_year_or_static,
oxford_resilience,195,1,,single_year_or_static,
oxford_safety_security,195,1,,single_year_or_static,
oxford_size,176,2,4.88141,panel_variation_available,9.298227
oxford_societal_transition,195,1,,single_year_or_static,
oxford_technology_sector,193,5,1.757839,panel_variation_available,4.892194
oxford_total_score,195,6,2.400492,panel_variation_available,7.624772
oxford_vision,193,5,0.0,panel_variation_available,50.0
stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,10,0,,single_year_or_static,
stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,88,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,58,0,,single_year_or_static,
stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,58,0,,single_year_or_static,
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,138,0,,single_year_or_static,
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,138,0,,single_year_or_static,
stanford_fig_3_7_2_fig_3_7_2_gender_equality,138,0,,single_year_or_static,
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,138,0,,single_year_or_static,
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,39,0,,single_year_or_static,
wb_control_of_corruption,206,7,0.037624,panel_variation_available,0.137383
wb_control_of_corruption_se,206,7,0.0,panel_variation_available,0.003749
wb_education_expenditure_pct_gdp,187,8,0.268044,panel_variation_available,0.982576
wb_electric_consumption_kwh_pc,149,7,67.238844,panel_variation_available,344.265331
wb_exports_pct_gdp,185,7,3.058329,panel_variation_available,10.097878
wb_fdi_net_inflows,201,7,348140918.802776,panel_variation_available,17286598478.725838
wb_fdi_pct_gdp,198,7,0.945716,panel_variation_available,6.552612
wb_fixed_broadband_per100,208,7,0.516643,panel_variation_available,2.018964
wb_gdp_current_usd,212,7,2178919502.064651,panel_variation_available,52499990579.5263
wb_gdp_growth_annual_pct,211,7,2.930631,panel_variation_available,13.742498
wb_gdp_per_capita_ppp,199,7,1021.36023,panel_variation_available,5006.239948
wb_government_effectiveness,204,7,0.054904,panel_variation_available,0.1828
wb_government_effectiveness_se,204,7,0.0,panel_variation_available,0.010672
wb_gross_capital_formation_pct_gdp,176,7,1.593932,panel_variation_available,5.550737
wb_high_tech_exports_pct_manufactured,176,7,0.961701,panel_variation_available,6.422356
wb_ict_goods_exports_pct,167,5,0.135,panel_variation_available,1.601
wb_ict_service_exports_pct,179,7,0.915087,panel_variation_available,5.273977
wb_inflation_consumer_prices,184,7,1.899922,panel_variation_available,7.810352
wb_internet_penetration,192,8,1.861692,panel_variation_available,6.229133
wb_labor_force,187,8,66848.0,panel_variation_available,695410.0
wb_mobile_subscriptions_per100,210,7,2.957988,panel_variation_available,11.169556
wb_patent_applications_residents,136,4,25.0,panel_variation_available,486.0
wb_political_stability,206,7,0.066942,panel_variation_available,0.227943
wb_political_stability_se,206,7,0.0,panel_variation_available,0.004524
wb_population,217,7,66212.5,panel_variation_available,939845.5
wb_rd_expenditure_pct_gdp,119,7,0.03624,panel_variation_available,0.140416
wb_regulatory_quality,204,7,0.041966,panel_variation_available,0.123025
wb_regulatory_quality_se,204,7,0.0,panel_variation_available,0.007031
wb_researchers_rd_per_million,109,7,79.21286,panel_variation_available,326.62366
wb_rule_of_law,206,7,0.034464,panel_variation_available,0.111495
wb_rule_of_law_se,206,7,0.000525,panel_variation_available,0.011737
wb_secure_servers_per_1m,215,7,110.815552,panel_variation_available,6466.65223
wb_tertiary_education_enrollment,163,8,1.698436,panel_variation_available,6.102126
wb_trade_pct_gdp,185,7,5.685025,panel_variation_available,19.425946
wb_unemployment_rate,187,8,0.317,panel_variation_available,1.5278
wb_voice_accountability,204,7,0.031984,panel_variation_available,0.136064
wb_voice_accountability_se,204,7,0.0,panel_variation_available,0.001716
wipo_appcrea_score,104,1,,single_year_or_static,
wipo_apptarriff_score,132,1,,single_year_or_static,
wipo_brandval_score,113,1,,single_year_or_static,
wipo_c_eccomplexity_score,121,1,,single_year_or_static,
wipo_c_hhi_score,112,1,,single_year_or_static,
wipo_c_hitechmanufind2_score,110,1,,single_year_or_static,
wipo_c_htexphkg_score,131,1,,single_year_or_static,
wipo_c_scitechart_score,131,1,,single_year_or_static,
wipo_c_vencapdeal_score,94,1,,single_year_or_static,
wipo_cctld_score,132,1,,single_year_or_static,
wipo_citdoc_score,132,1,,single_year_or_static,
wipo_compsoftspend_score,125,1,,single_year_or_static,
wipo_costredu_score,130,1,,single_year_or_static,
wipo_creagoodexp_score,131,1,,single_year_or_static,
wipo_cultservexp_score,113,1,,single_year_or_static,
wipo_domcred2priv_score,130,1,,single_year_or_static,
wipo_dommarksc_score,132,1,,single_year_or_static,
wipo_easecred_score,132,1,,single_year_or_static,
wipo_easeinsol_score,132,1,,single_year_or_static,
wipo_easeprotinv_score,132,1,,single_year_or_static,
wipo_easestartbus_score,132,1,,single_year_or_static,
wipo_elecout_score,124,1,,single_year_or_static,
wipo_entmedia_score,63,1,,single_year_or_static,
wipo_envperf_score,130,1,,single_year_or_static,
wipo_epart_score,131,1,,single_year_or_static,
wipo_expedu_score,114,1,,single_year_or_static,
wipo_fdinetinfl_score,132,1,,single_year_or_static,
wipo_femempdeg_score,124,1,,single_year_or_static,
wipo_firmtrain_score,98,1,,single_year_or_static,
wipo_gdpener_score,124,1,,single_year_or_static,
wipo_gentld_score,132,1,,single_year_or_static,
wipo_gerdfinabr_score,102,1,,single_year_or_static,
wipo_gerdfinbus_score,103,1,,single_year_or_static,
wipo_gerdperf_score,89,1,,single_year_or_static,
wipo_gii_score,141,5,1.374703,panel_variation_available,3.524446
wipo_goveff_score,132,1,,single_year_or_static,
wipo_govfundpup_score,102,1,,single_year_or_static,
wipo_govolserv_score,131,1,,single_year_or_static,
wipo_grocap_score,126,1,,single_year_or_static,
wipo_hitechimp_score,131,1,,single_year_or_static,
wipo_ictacc_score,132,1,,single_year_or_static,
wipo_ictorgmod_score,125,1,,single_year_or_static,
wipo_ictservexp_score,131,1,,single_year_or_static,
wipo_ictsevimp_score,131,1,,single_year_or_static,
wipo_ictuse_score,132,1,,single_year_or_static,
wipo_in_1_1_1_score,141,4,6.75,panel_variation_available,20.151515
wipo_in_1_1_2_score,141,4,5.182088,panel_variation_available,15.299225
wipo_in_1_1_score,141,4,6.085613,panel_variation_available,17.679911
wipo_in_1_2_1_score,141,4,2.719745,panel_variation_available,7.602872
wipo_in_1_2_2_score,141,4,5.117038,panel_variation_available,11.795977
wipo_in_1_2_3_score,133,2,0.0,panel_variation_available,0.0
wipo_in_1_2_score,141,4,5.384406,panel_variation_available,23.973432
wipo_in_1_3_1_score,136,4,3.119222,panel_variation_available,9.077236
wipo_in_1_3_2_score,93,4,3.254213,panel_variation_available,11.962983
wipo_in_1_3_score,138,4,2.733059,panel_variation_available,9.013885
wipo_in_1_score,141,5,4.342843,panel_variation_available,11.312337
wipo_in_2_1_1_score,137,4,5.054548,panel_variation_available,13.425365
wipo_in_2_1_2_score,116,4,1.410782,panel_variation_available,5.821606
wipo_in_2_1_3_score,130,4,1.461858,panel_variation_available,6.033656
wipo_in_2_1_4_score,86,4,0.0,panel_variation_available,5.873031
wipo_in_2_1_5_score,137,4,0.97569,panel_variation_available,6.373402
wipo_in_2_1_score,141,4,1.659791,panel_variation_available,7.242862
wipo_in_2_2_1_score,135,4,1.424726,panel_variation_available,5.781205
wipo_in_2_2_2_score,119,4,4.242672,panel_variation_available,11.13669
wipo_in_2_2_3_score,122,4,0.558702,panel_variation_available,3.935933
wipo_in_2_2_score,136,4,1.980728,panel_variation_available,5.376427
wipo_in_2_3_1_score,118,4,0.657094,panel_variation_available,4.047157
wipo_in_2_3_2_score,121,4,0.516524,panel_variation_available,3.336782
wipo_in_2_3_3_score,140,4,0.0,panel_variation_available,2.234454
wipo_in_2_3_4_score,141,4,0.377548,panel_variation_available,4.236328
wipo_in_2_3_score,141,4,0.609005,panel_variation_available,3.697202
wipo_in_2_score,141,5,1.185756,panel_variation_available,3.986632
wipo_in_3_1_1_score,140,4,5.428249,panel_variation_available,17.542309
wipo_in_3_1_2_score,141,4,5.708419,panel_variation_available,12.312433
wipo_in_3_1_3_score,140,4,2.371035,panel_variation_available,12.35781
wipo_in_3_1_4_score,135,3,0.0,panel_variation_available,23.72977
wipo_in_3_1_score,141,4,3.44146,panel_variation_available,11.35996
wipo_in_3_2_1_score,134,4,1.442382,panel_variation_available,7.877314
wipo_in_3_2_2_score,131,4,0.0,panel_variation_available,10.274841
wipo_in_3_2_3_score,134,4,9.12576,panel_variation_available,20.933622
wipo_in_3_2_score,141,4,2.919462,panel_variation_available,8.239932
wipo_in_3_3_1_score,134,4,2.054707,panel_variation_available,4.974592
wipo_in_3_3_2_score,140,4,7.364407,panel_variation_available,34.257113
wipo_in_3_3_3_score,141,4,1.06675,panel_variation_available,8.654569
wipo_in_3_3_score,141,4,3.080229,panel_variation_available,12.705922
wipo_in_3_score,141,5,2.724734,panel_variation_available,6.302897
wipo_in_4_1_1_score,93,4,3.336839,panel_variation_available,16.504111
wipo_in_4_1_2_score,137,4,0.863615,panel_variation_available,4.997968
wipo_in_4_1_3_score,68,4,0.888075,panel_variation_available,6.60977
wipo_in_4_1_score,141,4,1.949021,panel_variation_available,9.088083
wipo_in_4_2_1_score,88,4,0.091997,panel_variation_available,2.519616
wipo_in_4_2_2_score,129,4,1.96933,panel_variation_available,17.542815
wipo_in_4_2_3_score,121,4,4.010128,panel_variation_available,25.864428
wipo_in_4_2_4_score,125,4,2.516727,panel_variation_available,22.192608
wipo_in_4_2_5_score,116,1,,single_year_or_static,
wipo_in_4_2_score,132,4,1.589235,panel_variation_available,10.267233
wipo_in_4_3_1_score,140,4,0.583372,panel_variation_available,8.843767
wipo_in_4_3_2_score,120,4,1.92889,panel_variation_available,10.585658
wipo_in_4_3_3_score,141,4,0.656935,panel_variation_available,47.643553
wipo_in_4_3_score,141,4,2.710341,panel_variation_available,16.720287
wipo_in_4_score,141,5,3.355784,panel_variation_available,15.10288
wipo_in_5_1_1_score,134,4,0.91156,panel_variation_available,5.039097
wipo_in_5_1_2_score,135,4,4.345425,panel_variation_available,31.863026
wipo_in_5_1_3_score,140,4,2.007113,panel_variation_available,43.152625
wipo_in_5_1_4_score,106,4,1.051465,panel_variation_available,37.660994
wipo_in_5_1_5_score,135,4,1.427585,panel_variation_available,23.268407
wipo_in_5_1_score,141,4,1.873749,panel_variation_available,12.139065
wipo_in_5_2_1_score,140,4,6.217702,panel_variation_available,36.042593
wipo_in_5_2_2_score,136,4,8.844009,panel_variation_available,19.679359
wipo_in_5_2_3_score,134,4,14.119423,panel_variation_available,54.742738
wipo_in_5_2_4_score,140,4,2.293988,panel_variation_available,44.125468
wipo_in_5_2_5_score,141,4,0.606118,panel_variation_available,7.688192
wipo_in_5_2_score,141,4,3.059728,panel_variation_available,8.999674
wipo_in_5_3_1_score,141,4,1.147307,panel_variation_available,7.727234
wipo_in_5_3_2_score,139,4,3.214167,panel_variation_available,9.360363
wipo_in_5_3_3_score,141,4,4.94801,panel_variation_available,17.020285
wipo_in_5_3_4_score,140,4,14.831621,panel_variation_available,31.161016
wipo_in_5_3_5_score,90,4,0.500741,panel_variation_available,4.280965
wipo_in_5_3_score,141,4,3.745416,panel_variation_available,8.143687
wipo_in_5_score,141,5,2.015927,panel_variation_available,5.635096
wipo_in_score,141,5,2.048282,panel_variation_available,4.404591
wipo_industdes_score,121,1,,single_year_or_static,
wipo_intelproppay_score,125,1,,single_year_or_static,
wipo_intelproprec_score,114,1,,single_year_or_static,
wipo_isoenv_score,132,1,,single_year_or_static,
wipo_isoqual_score,132,1,,single_year_or_static,
wipo_jvstratall_score,127,1,,single_year_or_static,
wipo_knowintsemp_score,124,1,,single_year_or_static,
wipo_logperf_score,125,1,,single_year_or_static,
wipo_markcap_score,75,1,,single_year_or_static,
wipo_microloan_score,83,1,,single_year_or_static,
wipo_natfeatfilm_score,108,1,,single_year_or_static,
wipo_newbus_score,121,1,,single_year_or_static,
wipo_out_6_1_1_score,140,4,1.903665,panel_variation_available,8.50317
wipo_out_6_1_2_score,125,4,0.73259,panel_variation_available,8.526141
wipo_out_6_1_3_score,88,4,1.035106,panel_variation_available,8.986999
wipo_out_6_1_4_score,141,4,1.293168,panel_variation_available,5.105627
wipo_out_6_1_5_score,141,4,0.352479,panel_variation_available,0.849132
wipo_out_6_1_score,141,4,0.988828,panel_variation_available,4.396587
wipo_out_6_2_1_score,139,4,4.404141,panel_variation_available,12.328768
wipo_out_6_2_2_score,140,4,0.587046,panel_variation_available,22.249724
wipo_out_6_2_3_score,139,4,1.577988,panel_variation_available,10.567722
wipo_out_6_2_4_score,137,4,2.887268,panel_variation_available,31.342703
wipo_out_6_2_5_score,110,1,,single_year_or_static,
wipo_out_6_2_score,141,4,2.574189,panel_variation_available,9.864924
wipo_out_6_3_1_score,141,4,0.646641,panel_variation_available,6.67315
wipo_out_6_3_2_score,130,4,7.924206,panel_variation_available,16.121291
wipo_out_6_3_3_score,139,4,1.966695,panel_variation_available,21.871065
wipo_out_6_3_4_score,141,4,1.343246,panel_variation_available,6.274907
wipo_out_6_3_5_score,139,3,1.027324,panel_variation_available,5.067382
wipo_out_6_3_score,141,4,2.698367,panel_variation_available,6.59454
wipo_out_6_score,141,5,1.53227,panel_variation_available,3.784358
wipo_out_7_1_1_score,83,4,4.294988,panel_variation_available,13.74019
wipo_out_7_1_2_score,139,4,3.461037,panel_variation_available,14.686698
wipo_out_7_1_3_score,124,4,0.610086,panel_variation_available,8.072098
wipo_out_7_1_4_score,135,4,9.663822,panel_variation_available,20.163106
wipo_out_7_1_score,141,4,2.846814,panel_variation_available,8.500209
wipo_out_7_2_1_score,124,4,1.825274,panel_variation_available,9.198649
wipo_out_7_2_2_score,93,4,4.538893,panel_variation_available,18.873539
wipo_out_7_2_3_score,65,4,0.586461,panel_variation_available,5.741038
wipo_out_7_2_4_score,139,4,1.166183,panel_variation_available,28.266091
wipo_out_7_2_5_score,131,1,,single_year_or_static,
wipo_out_7_2_score,141,4,1.709561,panel_variation_available,7.815598
wipo_out_7_3_1_score,141,4,0.746579,panel_variation_available,10.418522
wipo_out_7_3_2_score,141,4,0.892638,panel_variation_available,9.84784
wipo_out_7_3_3_score,139,4,3.026751,panel_variation_available,56.240368
wipo_out_7_3_4_score,127,2,59.857843,panel_variation_available,63.085545
wipo_out_7_3_score,141,4,4.737851,panel_variation_available,17.260118
wipo_out_7_score,141,5,2.237466,panel_variation_available,7.896975
wipo_out_score,141,5,1.550626,panel_variation_available,4.991949
wipo_patfam_score,127,1,,single_year_or_static,
wipo_patorig_score,131,1,,single_year_or_static,
wipo_pctpatorig_score,117,1,,single_year_or_static,
wipo_pisa_score,79,1,,single_year_or_static,
wipo_polstab_score,132,1,,single_year_or_static,
wipo_printmedia_score,102,1,,single_year_or_static,
wipo_pupteachr_score,124,1,,single_year_or_static,
wipo_qsrank_score,132,1,,single_year_or_static,
wipo_r_growppp20_score,120,1,,single_year_or_static,
wipo_r_vencapdeal_score,89,1,,single_year_or_static,
wipo_rdcompexp_score,132,1,,single_year_or_static,
wipo_rdexp_score,116,1,,single_year_or_static,
wipo_regqua_score,132,1,,single_year_or_static,
wipo_resppop_score,108,1,,single_year_or_static,
wipo_restalbus_score,87,1,,single_year_or_static,
wipo_ruleol_score,132,1,,single_year_or_static,
wipo_schlifeexp_score,119,1,,single_year_or_static,
wipo_scienggrad_score,110,1,,single_year_or_static,
wipo_sp11_score,132,1,,single_year_or_static,
wipo_sp12_score,132,1,,single_year_or_static,
wipo_sp13_score,132,1,,single_year_or_static,
wipo_sp21_score,131,1,,single_year_or_static,
wipo_sp22_score,130,1,,single_year_or_static,
wipo_sp23_score,132,1,,single_year_or_static,
wipo_sp31_score,132,1,,single_year_or_static,
wipo_sp32_score,132,1,,single_year_or_static,
wipo_sp33_score,132,1,,single_year_or_static,
wipo_sp41_score,132,1,,single_year_or_static,
wipo_sp42_score,132,1,,single_year_or_static,
wipo_sp43_score,132,1,,single_year_or_static,
wipo_sp51_score,132,1,,single_year_or_static,
wipo_sp52_score,132,1,,single_year_or_static,
wipo_sp53_score,132,1,,single_year_or_static,
wipo_sp61_score,132,1,,single_year_or_static,
wipo_sp62_score,132,1,,single_year_or_static,
wipo_sp63_score,132,1,,single_year_or_static,
wipo_sp71_score,132,1,,single_year_or_static,
wipo_sp72_score,132,1,,single_year_or_static,
wipo_sp73_score,132,1,,single_year_or_static,
wipo_statclustdev_score,127,1,,single_year_or_static,
wipo_tertenrol_score,128,1,,single_year_or_static,
wipo_tertmob_score,111,1,,single_year_or_static,
wipo_tradmkorig_score,127,1,,single_year_or_static,
wipo_unirescoll_score,127,1,,single_year_or_static,
wipo_utilmodorig_score,80,1,,single_year_or_static,
wipo_wikiedit_score,131,1,,single_year_or_static,
