variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
anthropic_ai_autonomy_mean,adoption_diffusion,anthropic,count,unknown,True,157,42,78.89,3.466028,3.451087,0.128044,0.080311,3.133333,3.215411,3.288568,3.324294,3.378503,3.547526,3.640641,3.676587,3.794,3.857143,0.169023,0.0233,0.461,0.1795,0,0,2,0,6,shapiro,0.9814,0.033065,False,ok
anthropic_ai_autonomy_median,adoption_diffusion,anthropic,count,unknown,True,157,42,78.89,3.936306,4.0,0.244989,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,-3.5732,10.768,0,0,10,10,0,shapiro,0.2614,0.0,True,ok
anthropic_ai_education_years_mean,adoption_diffusion,anthropic,count,unknown,True,157,42,78.89,11.969985,11.967475,0.59952,0.227838,10.211194,10.630602,11.075972,11.405198,11.752282,12.223572,12.45733,12.6936,13.110766,16.884605,0.47129,0.019,3.1718,27.7622,0,0,9,2,14,shapiro,0.7571,0.0,True,ok
anthropic_collaboration_pct,adoption_diffusion,anthropic,pct,higher_better,True,154,45,77.39,20.833333,16.666667,9.200522,0.0,16.666667,16.666667,16.666667,16.666667,16.666667,20.0,33.333333,50.0,50.0,50.0,3.333333,0.0,2.5317,5.116,0,0,26,17,0,shapiro,0.4974,0.0,True,ok
anthropic_gdp_total,socioeconomic_control,anthropic,usd,higher_better,False,173,26,86.93,509488184971.09827,46943000000.0,2321352299273.4365,44928000000.0,65000000.0,246680000.0,959200000.0,2084000000.0,13370000000.0,298833000000.0,931107000000.0004,1990363200000.0017,4203259200000.001,29184900000000.0,285463000000.0,0.9571,11.0924,133.3209,0,0,20,16,52,shapiro,0.182,0.0,True,ok
anthropic_usage_pct,adoption_diffusion,anthropic,pct,higher_better,True,163,36,81.91,0.533777,0.0681,1.913999,0.0639,0.0015,0.001663,0.0026,0.00412,0.0176,0.3577,0.96676,2.58666,4.849223,22.2372,0.3401,0.9383,9.3175,100.3591,0,0,21,14,45,shapiro,0.2511,0.0,True,ok
iapp_n_autoridades,regulatory_treatment,iapp,count,higher_better,True,28,171,14.07,5.535714,5.5,2.486737,1.5,1.0,1.27,2.0,2.0,4.0,7.25,9.0,9.0,9.73,10.0,3.25,0.2727,-0.0138,-1.0301,0,0,0,0,0,shapiro,0.9618,0.38452,False,ok
iapp_n_leyes_relacionadas,regulatory_treatment,iapp,count,higher_better,True,28,171,14.07,7.178571,7.0,2.37352,2.0,4.0,4.0,4.0,4.7,5.0,8.25,11.0,11.65,12.0,12.0,3.25,0.2857,0.6131,-0.5546,0,0,0,0,0,shapiro,0.9222,0.039231,False,ok
ms_change_pp,adoption_diffusion,microsoft,pct,higher_better,True,146,53,73.37,1.171233,0.9,0.8195,0.5,-0.1,0.035,0.4,0.4,0.6,1.675,2.25,2.5,3.87,4.8,1.075,0.5556,1.4234,2.9471,0,2,2,0,5,shapiro,0.8793,0.0,False,ok
ms_h1_2025_ai_diffusion_pct,adoption_diffusion,microsoft,pct,higher_better,True,146,53,73.37,16.278767,12.55,10.710447,5.55,4.6,5.1,6.05,6.4,8.7,22.075,31.8,36.375,52.615,59.4,13.375,0.4422,1.472,2.3871,0,0,3,0,15,shapiro,0.8501,0.0,False,ok
