STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,ACTIVITY,Economic activity,POL_CAT,Policy category,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observational value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,UZB,Uzbekistan,_T,Total - All activities,_T,Total,RR,Regulatory restrictiveness,IX,Index,2018,,0.20275,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,GBR,United Kingdom,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SWE,Sweden,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SVK,Slovak Republic,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,MEX,Mexico,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,LVA,Latvia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,IRL,Ireland,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,ISL,Iceland,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,CZE,Czechia,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,BEL,Belgium,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,UGA,Uganda,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
DATAFLOW,OECD.DAF.INV:DSD_FDIRRI_SCORES@DF_FDIRRI_SCORES(2.0),OECD FDI Regulatory Restrictiveness Index - Scores,I,SSD,South Sudan,_T,Total - All activities,CLAS1_3,Restrictions on key foreign personnel,RR,Regulatory restrictiveness,IX,Index,2023,,0,,5,Five,0,Units,A,Normal value
