STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,COL,Colombia,PMR,Product market regulation,A,Annual,2018,,1.97787421941757,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,CRI,Costa Rica,PMR,Product market regulation,A,Annual,2018,,2.30706965923309,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,ARG,Argentina,PMR,Product market regulation,A,Annual,2018,,3.10371005535126,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,ARM,Armenia,PMR,Product market regulation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,CHN,China (People’s Republic of),PMR,Product market regulation,A,Annual,2018,,2.777463555336,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,KEN,Kenya,PMR,Product market regulation,A,Annual,2018,,,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,MDA,Moldova,PMR,Product market regulation,A,Annual,2018,,2.18732523918152,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,PER,Peru,PMR,Product market regulation,A,Annual,2018,,1.91624963283539,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,COL,Colombia,PMR,Product market regulation,A,Annual,2023,,1.83111822605133,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,CRI,Costa Rica,PMR,Product market regulation,A,Annual,2023,,2.04618054628372,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,ARG,Argentina,PMR,Product market regulation,A,Annual,2023,,2.2984025478363,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,ARM,Armenia,PMR,Product market regulation,A,Annual,2023,,1.95803725719452,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,CHN,China (People’s Republic of),PMR,Product market regulation,A,Annual,2023,,2.58815407752991,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,KEN,Kenya,PMR,Product market regulation,A,Annual,2023,,2.92268145084381,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,MDA,Moldova,PMR,Product market regulation,A,Annual,2023,,1.67391103506088,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR_WBG(1.2),Product market regulation OECD-WBG (World Bank Group),I,PER,Peru,PMR,Product market regulation,A,Annual,2023,,1.32502722740173,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
