pais_original,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,year,scale,framework
Singapore,1.0,2.0,60.0,4.951577915,0.8812,5.7,166.0,2.220108088,75.0,0.9861,100.0,5.934138174,1.0,1.0,0.6,0.7073682735714285,0.8812,0.8142857142857143,0.5994541747287955,0.75,0.9861,1.0,0.8477340248571429,9.186142187443082,1.0,0.7295227578571429,0.7212466296715032,0.9446113416190477,2019,0-10,4_clusters
United Kingdom of Great Britain and Northern Ireland (the),1.0,2.0,79.0,3.822220423,0.8999,4.9,1028.0,3.011993115,79.2,0.9792,85.16,4.882104737,1.0,1.0,0.79,0.546031489,0.8999,0.7000000000000001,0.8132720459874921,0.792,0.9792,0.8515999999999999,0.6974435338571429,9.069447068844635,1.0,0.7453104963333333,0.7684240153291642,0.8427478446190476,2019,0-10,4_clusters
Germany,1.0,2.0,51.0,4.277161052,0.8765,5.2,412.0,2.614897216,87.5,0.9306,88.48,4.71411728,1.0,1.0,0.51,0.6110230074285715,0.8765,0.7428571428571429,0.7060516832898927,0.875,0.9306,0.8848,0.6734453257142857,8.810277159289893,1.0,0.6658410024761906,0.7746362753823451,0.8296151085714286,2019,0-10,4_clusters
United States of America (the),1.0,1.0,65.0,4.275411777,0.8769,5.8,5053.0,3.703549298,86.5,0.9861,81.94,4.669832151,1.0,0.5,0.65,0.6107731110000001,0.8769,0.8285714285714285,1.0,0.865,0.9861,0.8194,0.6671188787142857,8.803863418285713,0.75,0.7125577036666667,0.8978571428571428,0.8242062929047619,2019,0-10,4_clusters
Finland,1.0,2.0,69.0,3.823202268,0.8815,5.8,74.0,1.86923172,76.3,0.9653,91.06,4.773417553,1.0,1.0,0.69,0.5461717525714286,0.8815,0.8285714285714285,0.5047136056780525,0.763,0.9653,0.9106000000000001,0.6819167932857143,8.771773580106624,1.0,0.7058905841904761,0.6987616780831604,0.8526055977619048,2019,0-10,4_clusters
Sweden,1.0,2.0,53.0,3.887732262,0.8882,5.8,106.0,2.025305865,79.8,0.9444,89.54,4.810144516,1.0,1.0,0.53,0.5553903231428572,0.8882,0.8285714285714285,0.5468553816993096,0.7979999999999999,0.9444,0.8954000000000001,0.6871635022857143,8.67398063569931,1.0,0.6578634410476191,0.7244756034235794,0.8423211674285715,2019,0-10,4_clusters
Canada,1.0,2.0,69.0,3.500650345,0.8258,5.2,475.0,2.67669361,75.0,0.9306,89.82,4.295679847,1.0,1.0,0.69,0.5000929064285714,0.8258,0.7428571428571429,0.7227374052899673,0.75,0.9306,0.8981999999999999,0.6136685495714286,8.67395600414711,1.0,0.6719643021428571,0.7385315160490368,0.8141561831904761,2019,0-10,4_clusters
France,1.0,2.0,70.0,3.96571637,0.879,4.3,323.0,2.509202522,76.1,0.9792,80.09,4.404076155,1.0,1.0,0.7,0.56653091,0.879,0.6142857142857142,0.6775129261422349,0.7609999999999999,0.9792,0.8009000000000001,0.6291537364285714,8.60758328685652,1.0,0.7151769699999999,0.684266213475983,0.8030845788095239,2019,0-10,4_clusters
Denmark,1.0,2.0,65.0,3.376764456,0.915,5.3,59.0,1.770852012,75.4,1.0,92.03,4.507170908,1.0,1.0,0.65,0.4823949222857143,0.915,0.7571428571428571,0.478149977092596,0.754,1.0,0.9203,0.6438815582857143,8.600869314806882,1.0,0.6824649740952381,0.6630976114118177,0.854727186095238,2019,0-10,4_clusters
Japan,1.0,2.0,61.0,4.145294131,0.8783,4.6,64.0,1.806179974,79.3,0.9514,90.66,4.940168113,1.0,1.0,0.61,0.5921848758571429,0.8783,0.6571428571428571,0.4876889245069258,0.7929999999999999,0.9514,0.9066,0.7057383018571429,8.582054959364068,1.0,0.6934949586190475,0.6459439272165943,0.854579433952381,2019,0-10,4_clusters
Australia,1.0,1.0,79.0,3.325235753,0.9053,5.1,158.0,2.198657087,69.8,0.9722,84.51,4.328528303,1.0,0.5,0.79,0.475033679,0.9053,0.7285714285714285,0.5936621629924905,0.698,0.9722,0.8451000000000001,0.6183611861428571,8.126228456706777,0.75,0.7234445596666667,0.6734111971879729,0.8118870620476191,2019,0-10,4_clusters
Norway,1.0,1.0,69.0,4.090374487,0.8557,5.3,42.0,1.62324929,67.8,0.9514,91.91,4.937266919,1.0,0.5,0.69,0.5843392124285715,0.8557,0.7571428571428571,0.43829558064114094,0.6779999999999999,0.9514,0.9190999999999999,0.7053238455714286,8.079301495783998,0.75,0.7100130708095239,0.6244794792613327,0.8586079485238095,2019,0-10,4_clusters
New Zealand,1.0,1.0,68.0,3.335829217,0.8806,5.2,24.0,1.380211242,61.4,0.9514,91.29,5.21546811,1.0,0.5,0.68,0.476547031,0.8806,0.7428571428571429,0.3726725718880926,0.614,0.9514,0.9129,0.7450668728571428,7.876043618602379,0.75,0.6790490103333333,0.5765099049150785,0.8697889576190475,2019,0-10,4_clusters
Netherlands (the),1.0,0.0,54.0,3.933826588,0.8757,5.7,161.0,2.206825876,77.5,0.9306,90.88,4.59831888,1.0,0.0,0.54,0.5619752268571429,0.8757,0.8142857142857143,0.5958678279756491,0.775,0.9306,0.9087999999999999,0.6569026971428571,7.659131466261364,0.5,0.6592250756190476,0.7283845140871211,0.8321008990476191,2019,0-10,4_clusters
Italy,1.0,2.0,47.0,2.833660992,0.8209,4.3,119.0,2.075546961,65.8,0.9514,58.12,3.302724396,1.0,1.0,0.47,0.40480871314285716,0.8209,0.6142857142857142,0.5604210431654959,0.6579999999999999,0.9514,0.5811999999999999,0.4718177708571428,7.53283324145121,1.0,0.5652362377142857,0.6109022524837368,0.6681392569523809,2019,0-10,4_clusters
Austria,1.0,1.0,49.0,3.368260346,0.8301,4.8,55.0,1.740362689,74.3,0.8681,82.74,4.422190573,1.0,0.5,0.49,0.48118004942857145,0.8301,0.6857142857142857,0.4699175166751081,0.743,0.8681,0.8273999999999999,0.6317415104285714,7.527153362246536,0.75,0.6004266831428571,0.6328772674631313,0.7757471701428571,2019,0-10,4_clusters
India,1.0,2.0,47.0,3.879015144,0.5669,4.6,513.0,2.710117365,53.8,0.9514,47.66,3.985689619,1.0,1.0,0.47,0.5541450205714286,0.5669,0.6571428571428571,0.7317621953793148,0.5379999999999999,0.9514,0.47659999999999997,0.5693842312857142,7.515334304379316,1.0,0.5303483401904762,0.6423016841740572,0.6657947437619047,2019,0-10,4_clusters
