pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
United States of America,2021,0-100,3_pillars_10_dims,88.15961153,88.4581425,83.30771897,92.71297313,100.0,94.506745,77.574275,81.75155,87.03540992,85.94556552,76.94218146,91.22011525,93.722476,93.19632813
Singapore,2021,0-100,3_pillars_10_dims,82.45681323,94.87694458,66.69260177,85.80089333,100.0,93.764615,91.7675,93.97566333,50.94478069,72.49403741,76.6389872,78.92691956,87.860915,90.61484544
United Kingdom,2021,0-100,3_pillars_10_dims,81.25074503,85.68940396,67.25632469,90.80650644,100.0,91.0920375,73.030805,78.63477333,53.22665422,73.04819682,75.49412303,81.02026993,97.15592865,94.24332074
Finland,2021,0-100,3_pillars_10_dims,79.23374229,88.44736792,63.85213601,85.40172295,100.0,90.873745,76.63082,86.28490667,38.52152296,79.61434429,73.42054079,76.0155501,86.7685175,93.42110124
Netherlands,2021,0-100,3_pillars_10_dims,78.50681097,80.42401396,66.17470313,88.92171583,100.0,65.632545,72.8676875,83.19582333,48.83455802,78.4494389,71.24011246,84.03827322,92.27842096,90.44845332
Sweden,2021,0-100,3_pillars_10_dims,78.1646107,80.759755,67.37248085,86.36159625,100.0,65.6150475,77.2642325,80.15974,42.80626949,83.20107472,76.11009835,77.79439299,91.40569327,89.88470247
Canada,2021,0-100,3_pillars_10_dims,77.73085276,84.36103375,63.75410312,85.07742142,100.0,88.91851,69.489845,79.03578,51.68484321,68.39784514,71.17962101,76.18723137,88.63912654,90.40590635
Germany,2021,0-100,3_pillars_10_dims,77.26444673,78.04322271,67.68410138,86.0660161,100.0,66.1719025,66.918455,79.08253333,46.89915858,81.39671559,74.75642998,80.60421428,90.5190725,87.07476152
Denmark,2021,0-100,3_pillars_10_dims,76.95991775,83.49694967,63.23844189,84.1443617,100.0,88.1915925,62.9694095,82.82679667,42.19538622,78.78813263,68.73180681,71.07807552,91.99530712,89.35970247
Republic of Korea,2021,0-100,3_pillars_10_dims,76.54734155,85.26555604,58.4863105,85.89015813,100.0,88.42375,75.0132375,77.62523667,39.72290766,74.09260408,61.64341975,75.57737352,96.149702,85.94339886
France,2021,0-100,3_pillars_10_dims,76.41358024,82.09731063,60.61032769,86.5331024,100.0,87.10395,64.3025625,76.98273,47.01784464,68.80227992,66.01085852,78.70295515,88.68630423,92.21004782
Japan,2021,0-100,3_pillars_10_dims,76.17752679,81.89842771,59.31174815,87.3224045,100.0,87.966395,60.6948925,78.93242333,42.93408289,77.89236289,57.10879867,81.76234706,93.0584975,87.14636894
Norway,2021,0-100,3_pillars_10_dims,76.13517078,84.242891,59.25352368,84.90909767,100.0,89.30555,65.26375733,82.40225667,38.10961085,72.57927656,67.07168361,72.1828471,90.25088712,92.29355878
Australia,2021,0-100,3_pillars_10_dims,75.40980096,83.79237875,57.07186627,85.36515786,100.0,88.5528625,68.1813225,78.43533,35.06520704,68.91070466,67.2396871,72.2589055,88.12722423,95.70934385
China,2021,0-100,3_pillars_10_dims,74.42075762,83.7872901,61.32953978,78.14544298,100.0,88.010445,76.22246875,70.91624667,61.41940369,64.1785296,58.39068603,81.42393276,76.42788692,76.58450927
Luxembourg,2021,0-100,3_pillars_10_dims,73.37376397,82.66669883,50.65529621,86.79929686,100.0,68.712055,73.61689033,88.33785,35.68329998,63.92638048,52.35620817,80.77155514,87.91027667,91.71605878
Ireland,2021,0-100,3_pillars_10_dims,72.79927998,74.696885,61.11201516,82.58893979,100.0,59.57089,60.63695,78.5797,52.17927778,66.80492076,64.35184695,74.95002886,80.67287135,92.14391917
Taiwan,2021,0-100,3_pillars_10_dims,71.97943147,77.59488359,59.41924204,78.92416879,100.0,59.39872,74.47132768,76.50948667,41.43291985,70.48558359,66.33922269,54.2326008,90.81588458,91.724021
United Arab Emirates,2021,0-100,3_pillars_10_dims,71.59684283,79.41127701,53.32882013,82.05043133,100.0,67.6520125,76.08274667,73.91034889,36.71543248,66.08018501,57.19084291,75.0712183,81.45001,89.63006569
Israel,2021,0-100,3_pillars_10_dims,70.00840751,64.63928271,65.86633892,79.51960091,50.0,64.0521175,69.00933,75.49568333,51.44476813,88.82685,57.32739862,70.51411126,80.48337,87.56132148
Estonia,2021,0-100,3_pillars_10_dims,69.18310231,77.64502625,49.45723473,80.44704594,100.0,67.1828,68.116695,75.28061,32.20427484,62.0118871,54.15554225,67.76250888,85.299962,88.27866692
Switzerland,2021,0-100,3_pillars_10_dims,68.56419978,52.30475813,67.59781312,85.79002809,0.0,61.86623,61.5113025,85.8415,46.49015494,78.82418048,77.47910394,77.10883802,87.137965,93.12328125
New Zealand,2021,0-100,3_pillars_10_dims,68.08408201,66.0657925,53.16461862,85.02183491,50.0,62.2958975,71.4278525,80.53942,31.24826184,66.99126323,61.25433078,69.13959275,89.81024,96.11567197
Austria,2021,0-100,3_pillars_10_dims,68.07358716,63.09391979,58.5386354,82.58820628,50.0,62.3011275,59.704475,80.37007667,41.42871439,70.95238378,63.23480805,67.70778738,90.10019,89.95664147
Spain,2021,0-100,3_pillars_10_dims,67.67652903,71.86805229,49.84342107,81.31811372,100.0,60.7128975,57.906165,68.85314667,36.96224594,55.73467743,56.83333985,66.26827867,89.98164173,87.70442076
Qatar,2021,0-100,3_pillars_10_dims,67.18031989,79.55623792,43.02239859,78.96232317,100.0,64.856765,72.63061,80.73757667,30.85730796,56.54647126,41.66341656,64.22082071,78.8376175,93.82853129
Italy,2021,0-100,3_pillars_10_dims,67.07136413,72.74953021,48.1888239,80.2757383,100.0,83.0462425,45.962445,61.98943333,32.58938934,55.37187666,56.6052057,69.41910215,83.0370825,88.37103024
Belgium,2021,0-100,3_pillars_10_dims,66.16481528,59.06667238,58.54179724,80.88597621,50.0,60.64429,53.2819095,72.34049,42.89282722,72.70341567,60.02914883,65.3226389,80.79086692,96.54442282
Czech Republic,2021,0-100,3_pillars_10_dims,65.95432334,68.98434854,50.55676164,78.32185985,100.0,57.88412,48.3124075,69.74086667,32.63593079,63.21934355,55.81501058,68.72460489,81.4181775,84.82279716
Lithuania,2021,0-100,3_pillars_10_dims,65.19059203,72.79464188,44.27256843,78.50456578,100.0,63.40815,57.8703975,69.90002,25.81249686,57.57189721,49.43331123,66.44866789,84.13684167,84.92818779
Slovenia,2021,0-100,3_pillars_10_dims,65.0527651,70.09997529,45.4800599,79.5782601,100.0,55.9234625,54.03635533,70.44008333,26.62124097,63.16827719,46.65066153,69.65432486,84.69439667,84.38605878
Malta,2021,0-100,3_pillars_10_dims,64.84862898,83.6170631,41.52178739,69.40703645,100.0,85.5387825,70.36356322,78.56590667,32.65062505,49.47707885,42.43765827,46.81740257,79.040595,82.36311177
Portugal,2021,0-100,3_pillars_10_dims,64.31109865,74.64094667,50.41995164,67.87239764,100.0,60.773585,64.870565,72.91963667,33.49552613,60.05967698,57.7046518,44.61899642,79.06573346,79.93246305
Saudi Arabia,2021,0-100,3_pillars_10_dims,63.41823204,67.22789521,45.13954623,77.8872547,100.0,53.709695,71.0812125,44.12067333,32.05311477,50.31256599,53.05295793,74.7983291,79.6249975,79.2384375
Poland,2021,0-100,3_pillars_10_dims,62.50277705,67.2690825,42.82257576,77.41667288,100.0,58.85142,44.85565,65.36926,28.95281583,51.43649435,48.07841709,64.57801287,80.654556,87.01744977
Malaysia,2021,0-100,3_pillars_10_dims,62.45903786,68.36956604,52.66569365,66.3418539,50.0,67.02137,76.8009375,79.65595667,31.51582986,67.05250395,59.42874713,45.36081277,79.274576,74.39017291
Latvia,2021,0-100,3_pillars_10_dims,62.2662637,68.74434104,41.45342779,76.60102225,100.0,58.94768,45.9462175,70.08346667,28.57316658,53.53485186,42.25226494,63.88737028,79.431875,86.48382148
