pais_original,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet
Afghanistan,0.0,0.0,5.2,24.6,0.0,15.0,27.7,41.5,,12.4,,,0.0,0.0,10.30123718,16.36046034,,90.2,,,,13.01391512,14.69015726,5.839423277,,0.0,,18.67,0.0,,100.0,,,0.0,43.53846154,8.77,49.75625,19.26,
Albania,0.0,100.0,64.32,53.2,0.0,52.8,81.82,70.7,32.43,51.4,42.81409582,69.0,0.0,0.0,41.13146058,37.05156544,11.56534987,97.7,6.0,21.80860655,21.75,31.92892887,27.18797074,62.15347896,93.30698,0.0,28.01264322,60.37,0.0,44.875,0.0,19.18,40.0,50.0,75.30769231,96.5,75.38291667,52.06,95.0
Algeria,0.0,100.0,33.95,28.8,0.0,30.0,37.43,49.3,48.56,39.8,48.17527135,22.25,0.0,0.0,18.13557538,37.89314078,0.430019215,96.03333333,0.0,23.15030477,34.0,58.85148871,39.04761507,33.38941698,100.0,0.0,17.51613328,61.33,0.0,30.6,0.0,47.15,35.75,0.0,84.0,73.05711667,55.14916667,35.01,94.0
Andorra,0.0,100.0,26.38,78.0,0.0,72.0,51.33,19.6,45.60758621,80.0,48.26404404,55.15789474,0.0,0.0,77.31149846,70.50822636,41.59035926,89.228,31.96551724,58.12070382,59.49137931,0.0,36.815558,0.0,0.0,0.0,60.63615762,88.12,0.0,52.01052632,0.0,66.51241379,48.10526316,0.0,100.0,94.46,84.97283046,79.26965517,96.47368421
Angola,0.0,100.0,12.99,37.8,0.0,34.0,47.16,43.6,8.32,29.2,31.42303228,0.0,0.0,0.0,16.06590282,24.80160938,11.3024477,92.78571429,14.77777778,1.718594005,0.0,6.506957562,15.68996561,7.656517799,76.83168,0.0,9.456077967,20.04,0.0,33.4,100.0,16.41,0.0,50.0,51.84615385,9.58,54.94583333,54.21,89.5
Antigua and Barbuda,0.0,100.0,15.62,55.8,0.0,64.4,42.31,46.6,36.82,46.8,38.91089439,47.0,0.0,0.0,48.72339178,50.59885006,28.98123563,80.8,6.666666667,12.27344767,35.25,0.0,29.28237682,0.0,66.66666,0.0,54.20782299,59.81,0.0,46.36666667,0.0,53.34666667,42.66666667,0.0,100.0,85.21,57.08513889,69.58714286,96.66666667
Argentina,100.0,100.0,50.12,36.0,100.0,60.8,80.89,75.6,34.85,44.4,41.83561405,58.0,0.0,11.4619567,43.74581849,45.74595915,26.3703871,79.5,4.0,22.82861228,34.5,43.23129027,19.65071372,54.74595112,71.73345667,48.17440624,23.41465824,73.32,13.62425662,36.4,100.0,51.97,72.0,50.0,100.0,92.14,64.59583333,52.91,91.0
Armenia,0.0,100.0,50.47,49.6,0.0,51.8,72.21,70.5,56.74,43.8,50.59287548,77.0,0.0,0.0,52.2075908,43.30434072,23.06696378,98.2,4.428571429,10.12176561,46.25,24.7742969,24.02449318,63.39492442,79.62106,0.0,34.30242767,69.25,0.0,44.875,100.0,47.72,0.0,0.0,100.0,90.09,82.22666667,42.75,95.0
Australia,100.0,100.0,97.47,87.8,100.0,76.4,93.8,83.6,51.21,80.6,52.92273362,61.0,0.0,36.3335431,54.32460689,66.34572782,20.28455366,,36.0,56.2359296,65.75,73.25134495,27.01230472,80.93701222,64.15156,84.15455512,65.92256025,88.36,38.24812388,47.7,100.0,82.33,81.0,100.0,82.30769231,88.02,88.24166667,98.04,98.0
Austria,100.0,100.0,93.89,75.6,0.0,78.2,88.27,89.2,53.67,79.4,58.00909202,55.15789474,0.0,18.16677155,71.54729507,74.7599398,63.38260158,89.3,24.0,77.43707374,64.25,60.96047396,39.96925094,71.18446476,51.8052,72.56292095,67.10127749,85.05,21.59393584,45.6,100.0,74.59,48.10526316,100.0,94.92307692,93.15,89.12,100.0,97.0
