pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
United States of America,2024,0-100,3_pillars_10_dims,87.03218182,1.0,89.25756783,80.94382938,90.89514825,100.0,91.1380571,89.19991796,76.69229625,83.79670682,92.47637069,66.55841062,88.3787777,84.80666706,99.5
Singapore,2024,0-100,3_pillars_10_dims,84.24944106,2.0,90.96203242,68.65095021,93.13534055,100.0,89.90285165,84.24491432,89.70036371,54.53166565,74.94868716,76.47249783,84.61080264,95.64521902,99.15
Republic of Korea,2024,0-100,3_pillars_10_dims,79.97780202,3.0,84.59225863,62.60153369,92.73961376,100.0,89.90837904,75.48818226,72.97247323,38.60738751,80.54080491,68.65640864,86.25783442,98.32040121,93.64060564
France,2024,0-100,3_pillars_10_dims,79.35754271,4.0,85.2928569,63.53019992,89.24957132,100.0,91.44377087,86.06706998,63.66058675,51.3404721,70.76751286,68.48261479,76.19764767,92.55106629,99.0
United Kingdom of Great Britain and Northern Ireland,2024,0-100,3_pillars_10_dims,78.88344052,5.0,84.46719722,66.56641469,85.61670964,100.0,93.87755175,74.13626217,69.85497498,56.55463106,79.89459883,63.25001418,69.72004363,87.13008528,100.0
Canada,2024,0-100,3_pillars_10_dims,78.17529665,6.0,85.48311818,61.6932845,87.34948728,100.0,94.13656235,69.76906538,78.02684499,52.09267224,64.81218897,68.17499229,70.39891481,93.14954702,98.5
Netherlands,2024,0-100,3_pillars_10_dims,77.22980432,7.0,84.57516125,60.11523769,86.99901402,100.0,96.41650674,81.86544822,60.01869004,50.32372421,68.71013875,61.31185011,79.52938973,86.47065184,94.99700049
Germany,2024,0-100,3_pillars_10_dims,76.89826844,8.0,79.23642648,64.91302571,86.54535312,100.0,94.18942638,69.07721224,53.6790673,52.35810264,74.05715901,68.32381549,74.85653233,87.98339766,96.79612937
Finland,2024,0-100,3_pillars_10_dims,76.48471791,9.0,84.8551772,60.86452189,83.73445465,100.0,96.88326238,66.9177409,75.61970552,42.38453134,70.45901473,69.75001961,72.6019184,80.55382651,98.04761905
Australia,2024,0-100,3_pillars_10_dims,76.44726827,10.0,86.18252567,56.25758071,86.90169844,100.0,96.1843043,75.25007824,73.29572016,35.00434662,71.87783779,61.89055772,68.38925109,93.31584422,99.0
Norway,2024,0-100,3_pillars_10_dims,76.11968176,11.0,86.37752969,56.27794881,85.70356679,100.0,96.34582842,75.93322226,73.23106809,46.52286907,69.10894435,53.20203301,71.09118275,87.97189856,98.04761905
Japan,2024,0-100,3_pillars_10_dims,75.74917653,12.0,80.30980046,57.96186637,88.97586275,100.0,92.24036432,64.80683134,64.19200617,39.33961672,68.80644108,65.73954132,79.13120303,94.79638521,93.0
United Arab Emirates,2024,0-100,3_pillars_10_dims,75.65804571,13.0,83.88904081,59.19872953,83.88636679,100.0,78.88630175,91.30133038,65.3685311,37.59348818,67.25755832,72.74514209,74.95579339,79.70330699,97.0
Sweden,2024,0-100,3_pillars_10_dims,75.40286681,14.0,80.60159542,63.45043064,82.15657436,100.0,96.22510355,74.16786592,52.01341222,44.05364339,78.48261231,67.81503623,73.55294243,78.02019281,94.89658785
Denmark,2024,0-100,3_pillars_10_dims,74.71009478,15.0,84.07023817,57.16672731,82.89331885,100.0,97.37684188,66.05253261,72.8515782,42.2999937,66.44222214,62.7579661,72.93709984,78.00813455,97.73472218
Taiwan,2024,0-100,3_pillars_10_dims,74.58025606,16.0,82.98348324,56.37386335,84.3834216,100.0,90.7954344,63.19238972,77.94610883,36.23570161,64.8714204,68.01446805,77.77842628,80.16367226,95.20816625
Israel,2024,0-100,3_pillars_10_dims,74.52155598,17.0,79.29803488,61.5287992,82.73783388,100.0,87.45224258,60.48974162,69.2501553,49.29619807,81.71045971,53.57973981,64.67217059,86.21650127,97.32482977
Ireland,2024,0-100,3_pillars_10_dims,73.18014934,18.0,75.468796,58.12529886,85.94635315,100.0,94.13709482,53.60042574,54.13766346,53.13159632,55.56409663,65.68020363,67.31901222,91.02004724,99.5
Austria,2024,0-100,3_pillars_10_dims,72.83567415,19.0,78.37446596,56.56219206,83.57036442,100.0,91.7245832,60.92102411,60.85225652,43.99248506,62.89817135,62.79591976,64.52642816,87.68466509,98.5
Belgium,2024,0-100,3_pillars_10_dims,72.68793041,20.0,81.25885682,56.23023131,80.57470311,100.0,92.00044939,68.24536822,64.78960965,44.91511357,70.63243321,53.14314715,59.45345286,84.255762,98.01489449
Estonia,2024,0-100,3_pillars_10_dims,72.61871555,21.0,86.70600702,48.96505058,82.18508903,100.0,92.17699423,82.77647369,71.87056017,33.94870085,63.20960161,49.73684928,59.00061941,88.55464769,99.0
Saudi Arabia,2024,0-100,3_pillars_10_dims,72.35591144,22.0,80.72142265,52.91669929,83.42961237,100.0,74.87934159,78.23844881,69.76790019,31.65349436,61.68971067,65.40689285,73.71455056,90.18880322,86.38548333
China,2024,0-100,3_pillars_10_dims,72.0098981,23.0,72.89843786,62.95301811,80.17823832,100.0,68.96736759,61.40440883,61.22197501,56.64317832,80.53849887,51.67737713,79.84257585,65.07234496,95.61979416
