variable,archivo_origen,hoja_origen,columna_origen,header_origen_exacto,filas_datos,notas_lectura
iso3,UNIFICADO/src/iso3_mapping.py,iso3_mapping.csv,Columna iso3,Mapeo manual desde nombres en 7 Excels,229 entradas,DERIVADA.
entity_type,UNIFICADO/src/iso3_mapping.py,iso3_mapping.csv,Columna entity_type,Derivado del mapeo manual,229 entradas,DERIVADA.
pais_original,TODOS los 7 Excels,Data / Detailed scores / Pillar & dim / Scores per pillar / Dimensions-Pillars,Col A (Country),Nombre exacto en el Excel de cada ano,194-195/ano,No normalizado.
year,N/A (metadato),N/A,N/A,Ano de edicion,N/A,DERIVADA.
scale,N/A (metadato),N/A,N/A,Escala: 0-10(2019) o 0-100(2020-2025),N/A,DERIVADA.
framework,N/A (metadato),N/A,N/A,Framework del ano,N/A,DERIVADA.
total_score,SHARED_-2019-Index-data-for-report.xlsx,Data,Col AA (indice 26),INDEX SCORE,Filas 7-200 (194 paises),Escala 0-10. NO es 0-100 como 2020-2025. Se renombro a total_score en Consolidado.
privacy_laws,SHARED_-2019-Index-data-for-report.xlsx,Data,Col B (indice 1),"Privacy laws (yes = 1, no = 0)",Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Binario 0/1. Fila 1 (indice 1) = header. Col 13 (N) es gap.
ai_strategy,SHARED_-2019-Index-data-for-report.xlsx,Data,Col C (indice 2),"AI strategy = 2 (forthcoming = 1, none = 0)
",Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Ordinal 0/1/2. Header incluye salto de linea. Valor crudo.
data_availability,SHARED_-2019-Index-data-for-report.xlsx,Data,Col D (indice 3),Data availability,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. OKFN Open Data Index. Escala original 1-100.
govt_procurement_advanced_tech,SHARED_-2019-Index-data-for-report.xlsx,Data,Col E (indice 4),Gov't procurement of advanced technology products,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Subindicator WEF Networked Readiness Index 2016.
data_capability_govt,SHARED_-2019-Index-data-for-report.xlsx,Data,Col F (indice 5),Data capability (in govt),Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. UN e-government index 2018. Escala 0-1.
technology_skills,SHARED_-2019-Index-data-for-report.xlsx,Data,Col G (indice 6),Technology skills,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Subindicator WEF Global Competitiveness Report 2018.
ai_startups,SHARED_-2019-Index-data-for-report.xlsx,Data,Col H (indice 7),AI startups,Filas 7-200 (194 paises),"Fila 1=header. Fila 5=Max Score. Conteo Crunchbase. USA=5053, mayoria 0."
log_ai_startups,SHARED_-2019-Index-data-for-report.xlsx,Data,Col I (indice 8),Log of AI startups,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Logaritmo de AI startups.
innovation_capability,SHARED_-2019-Index-data-for-report.xlsx,Data,Col J (indice 9),(Private sector) innovation capability,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Subindicator WEF Global Competitiveness Report 2018.
digital_public_services,SHARED_-2019-Index-data-for-report.xlsx,Data,Col K (indice 10),Digital public services,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. UN online service index. Escala 0-1.
govt_effectiveness,SHARED_-2019-Index-data-for-report.xlsx,Data,Col L (indice 11),Effectiveness of government,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. World Bank 2017 Government Effectiveness.
ict_govt_vision,SHARED_-2019-Index-data-for-report.xlsx,Data,Col M (indice 12),Importance of ICTs to government vision of the future,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. Subindicator WEF Networked Readiness Index 2016.
norm_privacy_laws,SHARED_-2019-Index-data-for-report.xlsx,Data,Col O (indice 14),"Privacy laws (yes = 1, no = 0)",Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1. Gap en col N(13).
norm_ai_strategy,SHARED_-2019-Index-data-for-report.xlsx,Data,Col P (indice 15),"AI strategy = 2 (forthcoming = 1, none = 0)
",Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_data_availability,SHARED_-2019-Index-data-for-report.xlsx,Data,Col Q (indice 16),Data availability,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_govt_procurement,SHARED_-2019-Index-data-for-report.xlsx,Data,Col R (indice 17),Gov't procurement of advanced technology products,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_data_capability,SHARED_-2019-Index-data-for-report.xlsx,Data,Col S (indice 18),Data capability (in govt),Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_technology_skills,SHARED_-2019-Index-data-for-report.xlsx,Data,Col T (indice 19),Technology skills,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_log_ai_startups,SHARED_-2019-Index-data-for-report.xlsx,Data,Col U (indice 20),Log of AI startups,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
norm_innovation_capability,SHARED_-2019-Index-data-for-report.xlsx,Data,Col V (indice 21),(Private sector) innovation capability,Filas 7-200 (194 paises),Fila 1=header. Fila 5=Max Score. NORMALISED. Version 0-1.
