pais_original,iso3,entity_type,aparece_2019,aparece_2020,aparece_2021,aparece_2022,aparece_2023,aparece_2024,aparece_2025,total_apariciones
Afghanistan,AFG,pais,True,True,True,True,True,True,True,7
Albania,ALB,pais,True,True,True,True,True,True,True,7
Algeria,DZA,pais,True,True,True,True,True,True,True,7
Andorra,AND,pais,True,False,False,True,True,True,True,5
Angola,AGO,pais,True,True,True,True,True,True,True,7
Antigua and Barbuda,ATG,pais,True,True,False,True,True,True,True,6
Argentina,ARG,pais,True,True,True,True,True,True,True,7
Armenia,ARM,pais,True,True,True,True,True,True,True,7
Australia,AUS,pais,True,True,True,True,True,True,True,7
Austria,AUT,pais,True,True,True,True,True,True,True,7
Azerbaijan,AZE,pais,True,True,True,True,True,True,True,7
Bahamas,BHS,pais,False,False,False,True,True,True,True,4
Bahamas (the),BHS,pais,True,False,False,False,False,False,False,1
Bahrain,BHR,pais,True,True,True,True,True,True,True,7
Bangladesh,BGD,pais,True,True,True,True,True,True,True,7
Barbados,BRB,pais,True,True,True,True,True,True,True,7
Belarus,BLR,pais,True,True,True,True,True,True,True,7
Belgium,BEL,pais,True,True,True,True,True,True,True,7
Belize,BLZ,pais,True,True,True,True,True,True,True,7
Benin,BEN,pais,True,True,True,True,True,True,True,7
Bhutan,BTN,pais,True,True,True,True,True,True,True,7
Bolivia,BOL,pais,False,True,True,True,False,False,False,3
Bolivia (Plurinational State of),BOL,pais,True,False,False,False,True,True,True,4
Bosnia and Herzegovina,BIH,pais,True,True,True,True,True,True,True,7
Botswana,BWA,pais,True,True,True,True,True,True,True,7
Brazil,BRA,pais,True,True,True,True,True,True,True,7
Brunei Darussalam,BRN,pais,True,True,True,True,True,True,True,7
Bulgaria,BGR,pais,True,True,True,True,True,True,True,7
Burkina Faso,BFA,pais,True,True,True,True,True,True,True,7
Burundi,BDI,pais,True,True,True,True,True,True,True,7
Cabo Verde,CPV,pais,True,True,True,True,True,True,True,7
Cambodia,KHM,pais,True,True,True,True,True,True,True,7
Cameroon,CMR,pais,True,True,True,True,True,True,True,7
Canada,CAN,pais,True,True,True,True,True,True,True,7
Central African Republic,CAF,pais,False,False,True,True,True,True,True,5
Central African Republic (the),CAF,pais,True,False,False,False,False,False,False,1
Chad,TCD,pais,True,True,True,True,True,True,True,7
Chile,CHL,pais,True,True,True,True,True,True,True,7
China,CHN,pais,True,True,True,True,True,True,True,7
Colombia,COL,pais,True,True,True,True,True,True,True,7
Comoros,COM,pais,False,True,False,True,True,True,True,5
Comoros (the),COM,pais,True,False,False,False,False,False,False,1
Congo,COG,pais,False,True,True,True,True,True,True,6
Congo (the),COG,pais,True,False,False,False,False,False,False,1
Costa Rica,CRI,pais,True,True,True,True,True,True,True,7
Croatia,HRV,pais,True,True,True,True,True,True,True,7
Cuba,CUB,pais,True,True,True,True,True,True,True,7
Cyprus,CYP,pais,True,True,True,True,True,True,True,7
Czech Republic,CZE,pais,True,True,True,True,False,False,False,4
Czechia,CZE,pais,False,False,False,False,True,True,True,3
Côte D'Ivoire,CIV,pais,False,True,True,True,True,False,True,5
Côte d'Ivoire,CIV,pais,True,False,False,False,False,True,False,2
Democratic People's Republic of Korea,PRK,pais,False,False,False,False,True,False,True,2
Democratic People's Republic of Korea (the),PRK,pais,True,False,False,False,False,False,False,1
Democratic Republic of the Congo,COD,pais,False,True,True,True,True,True,True,6
Democratic Republic of the Congo (the),COD,pais,True,False,False,False,False,False,False,1
Denmark,DNK,pais,True,True,True,True,True,True,True,7
Djibouti,DJI,pais,True,True,False,True,True,True,True,6
Dominica,DMA,pais,True,True,False,False,True,False,True,4
Dominican Republic,DOM,pais,False,True,True,True,True,True,True,6
Dominican Republic (the),DOM,pais,True,False,False,False,False,False,False,1
Ecuador,ECU,pais,True,True,True,True,True,True,True,7
Egypt,EGY,pais,True,True,True,True,True,True,True,7
El Salvador,SLV,pais,True,True,True,True,True,True,True,7
Equatorial Guinea,GNQ,pais,True,False,False,False,True,True,True,4
Eritrea,ERI,pais,True,False,False,True,True,True,True,5
Estonia,EST,pais,True,True,True,True,True,True,True,7
Eswatini,SWZ,pais,False,True,True,True,True,True,True,6
