Publication date,Training compute (petaFLOP),Label
2024-10-10,40600000.0,Academia
2023-11-13,30400000.0,Academia
2023-10-09,214000.0,Academia
2023-10-07,160000000.0,Academia
2023-08-28,49.0,Academia
2023-08-05,7560000.0,Academia
2023-06-27,1811000.0,Academia
2023-03-29,9699999.999999998,Academia
2023-03-02,600000.0,Academia
2023-01-27,350000.0,Academia
2023-01-16,6500000.0,Academia
2022-12-28,6480000.0,Academia
2022-12-19,29000.0,Academia
2022-12-04,77599999.99999999,Academia
2022-11-14,15010000.0,Academia
2022-10-04,72000.0,Academia
2022-08-04,354900549.45,Academia
2022-07-22,10351411.2,Academia
2022-05-27,892809.22,Academia
2022-04-07,140000.0,Academia
2022-02-26,1100000.0,Academia
2021-11-01,10500.0,Academia
2021-10-31,78328.62700000001,Academia
2021-09-06,2775.0,Academia
2021-08-15,107000.0,Academia
2021-06-11,78401.25000000001,Academia
2021-05-20,9470.0,Academia
2020-12-23,2099.52,Academia
2020-12-01,260520.0,Academia
2020-10-02,18144000.0,Academia
2020-09-01,9720.0,Academia
2020-03-17,1580.0,Academia
2020-02-08,26990.346,Academia
2019-12-05,193.8,Academia
2019-12-05,58.298782,Academia
2019-08-22,38047.968,Academia
2019-06-10,315.0,Academia
2019-06-04,378486.51,Academia
2019-05-14,408.0,Academia
2019-04-04,2560.0,Academia
2018-11-15,2.00664,Academia
2018-05-03,127.0,Academia
2018-04-08,13416.380824,Academia
2017-11-10,3360.0,Academia
2017-10-31,306.0,Academia
2017-09-06,2.34,Academia
2017-08-29,456.0,Academia
2017-08-19,551000.0,Academia
2017-08-14,10.6,Academia
2017-07-07,578.1024,Academia
2017-01-06,14463.36,Academia
2016-12-23,130.79232,Academia
2016-12-13,7077.0,Academia
2016-11-17,64000.0,Academia
2016-10-28,18.22,Academia
2016-03-04,96.9408,Academia
2015-12-16,5.886144,Academia
2015-08-07,480.98691,Academia
2015-05-18,50.832252,Academia
2015-04-06,194.10192,Academia
2014-12-18,100.0,Academia
2014-11-29,10.854,Academia
2014-09-04,11000.0,Academia
2014-09-04,12291.0,Academia
2014-09-01,1555.2,Academia
2014-07-15,0.07638,Academia
2014-07-01,69.0,Academia
2014-06-10,518.4,Academia
2013-12-20,0.4752,Academia
2013-11-12,532.0,Academia
2013-10-01,14.22,Academia
2013-10-01,9.3312,Academia
2013-08-01,237.74688,Academia
2012-12-03,478.0,Academia
2012-09-30,470.0,Academia
2012-09-09,16.6,Academia
2012-06-03,6.0393708,Academia
2012-06-03,273.1968,Academia
2012-06-03,4.2687,Academia
2011-10-03,0.9919814256,Academia
2011-09-18,26.0,Academia
2011-09-18,52.0,Academia
2011-07-16,25.7985,Academia
2011-04-29,36.72864,Academia
2010-09-26,53.96,Academia
2010-09-15,1.4562772272,Academia
2010-09-15,1.221124128768,Academia
2010-06-13,1.08,Academia
2010-05-13,0.35,Academia
2009-11-22,3.29515008,Academia
2009-09-01,0.020754,Academia
2009-06-15,1.0,Academia
