training_code_accessibility,year,num_models
Open (noncommercial),2014,2
Unreleased,2014,2
Unknown,2014,29
Unreleased,2015,5
Unknown,2015,22
Open source,2015,2
Open (noncommercial),2016,3
Unknown,2016,29
Unreleased,2016,13
Open source,2016,4
Unknown,2017,34
Open source,2017,8
Unreleased,2017,12
Open (noncommercial),2017,1
Open source,2018,14
Open (noncommercial),2018,1
Unreleased,2018,13
Unknown,2018,9
Open (restricted use),2019,1
Open source,2019,29
Unreleased,2019,24
Unknown,2019,3
Open (noncommercial),2019,11
Open source,2020,22
Unreleased,2020,25
Open (noncommercial),2020,3
Open (noncommercial),2021,6
Unreleased,2021,38
Open source,2021,34
Open (noncommercial),2022,5
Unknown,2022,1
Open source,2022,31
Unreleased,2022,54
Open source,2023,30
Unknown,2023,1
Open (noncommercial),2023,9
Unreleased,2023,76
Open (restricted use),2023,3
Open source,2024,12
Unknown,2024,2
Unreleased,2024,80
Open (restricted use),2024,3
Open (noncommercial),2024,1
Open source,2025,4
Unknown,2025,11
Unreleased,2025,80
