Publication date,Energy efficiency (FLOP/s per watt - log scale),Label
4/5/16,70733333333,Non-leading hardware
4/5/16,70733333333,Non-leading hardware
5/27/16,770000000,Non-leading hardware
6/20/16,76400000000,Non-leading hardware
6/20/16,76200000000,Non-leading hardware
6/20/16,76200000000,Non-leading hardware
9/13/16,1188266667,Non-leading hardware
9/13/16,734800000,Non-leading hardware
10/1/16,789600000,Non-leading hardware
10/1/16,770000000,Non-leading hardware
2/6/17,789333333.3,Non-leading hardware
2/7/17,467000000,Non-leading hardware
3/10/17,708800000,Non-leading hardware
4/6/17,759200000,Non-leading hardware
6/1/17,89111111111,Non-leading hardware
6/21/17,4.16667E+11,Non-leading hardware
6/21/17,4.48E+11,Non-leading hardware
6/21/17,4.16667E+11,Non-leading hardware
7/1/17,4.16667E+11,Non-leading hardware
12/1/17,1.192E+11,Non-leading hardware
3/27/18,4.16667E+11,Non-leading hardware
3/27/18,5E+11,Non-leading hardware
3/27/18,4.48E+11,Non-leading hardware
3/27/18,5E+11,Non-leading hardware
8/13/18,1.25462E+11,Non-leading hardware
8/13/18,96956521739,Non-leading hardware
8/13/18,1.25462E+11,Non-leading hardware
9/13/18,9.30429E+11,Non-leading hardware
9/20/18,4.552E+11,Non-leading hardware
10/10/18,1E+12,Non-leading hardware
11/13/18,89000000000,Non-leading hardware
1/1/19,4.26667E+11,Non-leading hardware
8/23/19,1.03226E+12,Non-leading hardware
8/23/19,8.25806E+11,Non-leading hardware
8/23/19,8.25806E+11,Non-leading hardware
11/26/19,5.2E+11,Non-leading hardware
1/1/20,4.26667E+11,Non-leading hardware
5/14/20,7.8E+11,Non-leading hardware
6/22/20,1.04E+12,Non-leading hardware
9/1/20,1.01657E+11,Non-leading hardware
9/1/20,93031250000,Non-leading hardware
10/5/20,4.99E+11,Non-leading hardware
10/5/20,1.29E+11,Non-leading hardware
11/16/20,7.8E+11,Non-leading hardware
3/31/21,5.12E+11,Non-leading hardware
4/12/21,2.08267E+11,Non-leading hardware
4/12/21,1.20739E+11,Non-leading hardware
4/12/21,2.1E+11,Non-leading hardware
4/12/21,1.36929E+11,Non-leading hardware
7/1/21,70000000000,Non-leading hardware
8/18/21,8.53333E+11,Non-leading hardware
8/21/21,9.05E+11,Non-leading hardware
11/3/21,9.6E+11,Non-leading hardware
11/3/21,9.6E+11,Non-leading hardware
11/3/21,9.6E+11,Non-leading hardware
11/3/21,6.4E+11,Non-leading hardware
11/8/21,7.66E+11,Non-leading hardware
1/1/22,8E+11,Non-leading hardware
1/1/22,8.53333E+11,Non-leading hardware
1/1/22,8.5E+11,Non-leading hardware
1/1/22,8.53333E+11,Non-leading hardware
3/17/22,9.4E+11,Non-leading hardware
3/21/22,3.84E+11,Non-leading hardware
3/29/22,3.55556E+11,Non-leading hardware
5/10/22,7.5E+11,Non-leading hardware
8/11/22,7.795E+11,Non-leading hardware
8/22/22,1.86182E+12,Non-leading hardware
9/20/22,2.16E+12,Non-leading hardware
9/20/22,7.33333E+11,Non-leading hardware
9/20/22,1.52313E+11,Non-leading hardware
10/13/22,6.03333E+11,Non-leading hardware
10/15/22,8.74419E+11,Non-leading hardware
11/3/22,1.248E+12,Non-leading hardware
11/3/22,3.66567E+11,Non-leading hardware
11/8/22,1.2472E+12,Non-leading hardware
1/1/23,6.22222E+11,Non-leading hardware
1/1/23,9.84615E+11,Non-leading hardware
1/4/23,1.29026E+12,Non-leading hardware
1/4/23,6.38333E+11,Non-leading hardware
1/10/23,87383333333,Non-leading hardware
1/10/23,98755555556,Non-leading hardware
1/10/23,74066666667,Non-leading hardware
2/8/23,1.02281E+11,Non-leading hardware
3/21/23,1.41357E+12,Non-leading hardware
3/21/23,1.68056E+12,Non-leading hardware
3/21/23,1.41286E+12,Non-leading hardware
5/18/23,2.048E+12,Non-leading hardware
6/13/23,6.85714E+11,Non-leading hardware
8/8/23,1.41357E+12,Non-leading hardware
9/16/23,4.34545E+11,Non-leading hardware
11/9/23,3.7E+11,Non-leading hardware
12/6/23,8.716E+11,Non-leading hardware
12/6/23,1.7432E+12,Non-leading hardware
12/6/23,8.5E+11,Non-leading hardware
12/19/23,2.22222E+11,Non-leading hardware
3/14/24,2.08875E+12,Non-leading hardware
4/10/24,1.96667E+12,Non-leading hardware
5/14/24,2.41579E+12,Non-leading hardware
8/27/24,1.6E+12,Non-leading hardware
9/24/24,1.86444E+12,Non-leading hardware
10/10/24,1.3074E+12,Non-leading hardware
10/15/24,1.14286E+12,Non-leading hardware
11/18/24,1.41357E+12,Non-leading hardware
12/3/24,1.334E+12,Non-leading hardware
6/12/25,2.3096E+12,Non-leading hardware
6/12/25,1.79757E+12,Non-leading hardware
8/22/25,2.04545E+12,Non-leading hardware
8/22/25,1.78571E+12,Non-leading hardware
11/6/25,2.40313E+12,Non-leading hardware
12/2/25,9.58571E+11,Non-leading hardware
4/5/16,74800000000,Leading hardware
5/1/17,1.64286E+11,Leading hardware
3/27/18,4.16667E+11,Leading hardware
5/18/18,2.73333E+11,Leading hardware
1/1/20,7.88571E+11,Leading hardware
3/1/20,7.8E+11,Leading hardware
5/20/21,8.08824E+11,Leading hardware
9/20/22,1.41343E+12,Leading hardware
8/29/23,8.75556E+11,Leading hardware
11/15/24,2.5E+12,Leading hardware
11/15/24,2.25E+12,Leading hardware
2/15/25,2.08333E+12,Leading hardware
