model,publication_date,training_power_draw_(w)
Llama 4 Behemoth (preview),2025-04-05,43933454.99810563
Grok 3,2025-02-17,109948656.20196916
Llama 3.1-405B,2024-07-23,22622532.159299143
Nemotron-4 340B,2024-06-14,8490820.682633882
Gemini 1.0 Ultra,2023-12-06,19211950.056161165
Inflection-2,2023-11-22,6941464.657305156
Amazon Titan,2023-09-28,10929327.206416875
Falcon-180B,2023-09-06,3254975.4289709157
GPT-4,2023-03-15,19944368.12599428
U-PaLM (540B),2022-10-20,174161.11557264757
Flan-PaLM 540B,2022-10-20,174161.11557264757
Minerva (540B),2022-06-29,349199.866571188
PaLM (540B),2022-04-04,2099215.6984531507
Gopher (280B),2021-12-08,1815813.0260876147
Megatron-Turing NLG 530B,2021-10-11,3615658.868639838
Switch,2021-01-11,457311.78237926256
GShard (dense),2020-06-30,459301.9894608488
GPT-3 175B (davinci),2020-05-28,5100759.605963441
Meena,2020-01-28,460879.8620037727
OpenAI Five,2019-12-13,786395.8382790724
Noisy Student (L2),2019-11-11,461681.1110628138
XLM-RoBERTa,2019-11-05,256204.94677329363
AlphaStar,2019-10-30,173176.688897332
T5-11B,2019-10-23,230938.24900457988
Megatron-LM (8.3B),2019-09-17,262640.30207328824
Megatron-BERT,2019-09-17,262640.30207328824
RoBERTa Large,2019-07-01,526193.8152119832
ResNeXt-101 32x48d,2018-05-02,209159.05867416784
JFT,2017-07-10,31330.704406642573
Xception,2016-10-07,37828.64014138488
SAF R-CNN,2015-10-28,290.9065505304121
VGG16,2014-09-04,2137.653074766455
DNN EM segmentation,2012-12-03,2116.2977934481
Deep Autoencoders,2011-04-29,246.22598104391827
