Year,Number of cumulative GitHub stars (in millions),Label
2011,2e-05,India
2012,0.000104,India
2013,0.001065,India
2014,0.002685,India
2015,0.004902,India
2016,0.020604,India
2017,0.058958,India
2018,0.157391,India
2019,0.309972,India
2020,0.493233,India
2021,0.714164,India
2022,0.937642,India
2023,1.289022,India
2024,1.753959,India
2025,2.496763,India
2011,0.000131,China
2012,0.000921,China
2013,0.002512,China
2014,0.006749,China
2015,0.020536,China
2016,0.071908,China
2017,0.252844,China
2018,0.661177,China
2019,1.465584,China
2020,2.306143,China
2021,3.158498,China
2022,3.951475,China
2023,5.547616,China
2024,7.183653,China
2025,9.001933,China
2011,0.007023,Europe
2012,0.011755,Europe
2013,0.027671,Europe
2014,0.066694,Europe
2015,0.156154,Europe
2016,0.357235,Europe
2017,0.768557,Europe
2018,1.408333,Europe
2019,2.26432,Europe
2020,3.230514,Europe
2021,4.303744,Europe
2022,5.567067,Europe
2023,7.787938,Europe
2024,10.103849,Europe
2025,12.994632,Europe
2011,0.000935,Rest of the world
2012,0.002565,Rest of the world
2013,0.014319,Rest of the world
2014,0.030837,Rest of the world
2015,0.075425,Rest of the world
2016,0.205484,Rest of the world
2017,0.524884,Rest of the world
2018,1.021479,Rest of the world
2019,1.697298,Rest of the world
2020,2.489822,Rest of the world
2021,3.339991,Rest of the world
2022,4.506877,Rest of the world
2023,7.580013,Rest of the world
2024,10.906413,Rest of the world
2025,15.268635,Rest of the world
2011,0.012949,United States
2012,0.021693,United States
2013,0.066342,United States
2014,0.161888,United States
2015,0.390444,United States
2016,0.915057,United States
2017,1.791859,United States
2018,3.129862,United States
2019,4.753069,United States
2020,6.514675,United States
2021,8.37785,United States
2022,10.586009,United States
2023,16.008924,United States
2024,21.777489,United States
2025,30.021175,United States
