Year,AI model downloads (% of total),Label
2020,1.052210748,Others
2021,4.42311006,Others
2022,4.458905764,Others
2023,2.33770035,Others
2024,2.225534745,Others
2025,1.121963346,Others
2020,0.45533513,France
2021,0.623903034,France
2022,0.499003392,France
2023,0.616634606,France
2024,5.900081465,France
2025,1.255918299,France
2020,1.188691784,United Kingdom
2021,0.92330249,United Kingdom
2022,1.958798873,United Kingdom
2023,9.361968823,United Kingdom
2024,8.160586763,United Kingdom
2025,2.605906894,United Kingdom
2020,0.048204469,India
2021,0.024461384,India
2022,0.031556805,India
2023,0.015991182,India
2024,0.755638167,India
2025,2.716556003,India
2020,3.436547182,Germany
2021,2.593039384,Germany
2022,6.568666779,Germany
2023,5.364505276,Germany
2024,3.346617014,Germany
2025,2.767272056,Germany
2020,73.1048396,United States
2021,68.46211687,United States
2022,54.47755778,United States
2023,13.90131607,United States
2024,12.05203916,United States
2025,16.5894706,United States
2020,0.82619604,China
2021,1.516626243,China
2022,1.697639985,China
2023,1.456062807,China
2024,5.691554865,China
2025,16.92723087,China
2020,4.444433408,International/Online
2021,3.623301344,International/Online
2022,11.58114719,International/Online
2023,18.41324789,International/Online
2024,7.679196498,International/Online
2025,23.41063998,International/Online
2020,11.80042605,Unaffiliated user
2021,15.07038931,Unaffiliated user
2022,17.03751476,Unaffiliated user
2023,47.49255728,Unaffiliated user
2024,53.8256629,Unaffiliated user
2025,32.60504195,Unaffiliated user
