Year,Number of AI publications in CS (in thousands)
2013,101.885
2014,104.409
2015,105.741
2016,107.269
2017,116.937
2018,139.711
2019,164.199
2020,181.107
2021,204.054
2022,202.734
2023,242.664
2024,257.891
2013,0.21634758309055235
2014,0.21753279899326833
2015,0.21667793692752196
2016,0.21965373549979011
2017,0.23422768380254183
2018,0.25836571126345126
2019,0.28711489736716483
2020,0.30306585026682487
2021,0.3601230447758033
2022,0.3902858792954086
2023,0.41761290300374826
2024,0.4093683380081369
