Year,Number of AI patents granted (in thousands),Label
2010,0.005,India
2011,0.005,India
2012,0.009,India
2013,0.011,India
2014,0.03,India
2015,0.032,India
2016,0.049,India
2017,0.052,India
2018,0.093,India
2019,0.154,India
2020,0.216,India
2021,0.313,India
2022,0.389,India
2023,0.447,India
2024,0.53,India
2010,0.343,Europe
2011,0.353,Europe
2012,0.417,Europe
2013,0.355,Europe
2014,0.416,Europe
2015,0.498,Europe
2016,0.653,Europe
2017,0.878,Europe
2018,1.06,Europe
2019,1.49,Europe
2020,1.792,Europe
2021,2.298,Europe
2022,2.727,Europe
2023,3.31,Europe
2024,3.894,Europe
2010,1.475,Rest of the world
2011,1.855,Rest of the world
2012,1.905,Rest of the world
2013,2.227,Rest of the world
2014,2.242,Rest of the world
2015,1.961,Rest of the world
2016,2.381,Rest of the world
2017,2.963,Rest of the world
2018,3.679,Rest of the world
2019,5.457,Rest of the world
2020,8.155,Rest of the world
2021,11.324,Rest of the world
2022,13.256,Rest of the world
2023,15.563,Rest of the world
2024,13.659,Rest of the world
2010,1.544,United States
2011,1.462,United States
2012,1.824,United States
2013,2.416,United States
2014,2.92,United States
2015,3.396,United States
2016,4.056,United States
2017,4.717,United States
2018,5.091,United States
2019,8.596,United States
2020,11.745,United States
2021,13.984,United States
2022,16.427,United States
2023,16.946,United States
2024,15.92,United States
2010,0.518,China
2011,0.855,China
2012,1.113,China
2013,1.292,China
2014,1.254,China
2015,2.053,China
2016,3.256,China
2017,5.058,China
2018,7.689,China
2019,11.739,China
2020,21.98,China
2021,38.623,China
2022,61.777,China
2023,85.674,China
2024,97.988,China
