Country,Proximity_to_United_States,Proximity_to_China
Australia,0.8091827794228108,0.7357642091903578
Austria,0.5979329625581509,0.5197686027535389
Brazil,0.6278451777480274,0.5594034303419453
Canada,0.7585490260804704,0.6238340357307832
China,0.7734734402286503,1.0
Denmark,0.5156834322554309,0.4444003033608145
European Patent Office,0.8194291575126679,0.6715834768396463
Finland,0.6819451338998932,0.5794006807463248
France,0.7723633172090143,0.6776545129800148
Germany,0.6485773026292452,0.5646452268622519
Greece,0.7980815751382706,0.7420668361106175
India,0.8848353686569678,0.7890355711670689
Israel,0.7833835200681929,0.6781064959727848
Italy,0.7168998686190844,0.6166537374985286
Japan,0.7497519277834535,0.639498150228808
Luxembourg,0.7253836379045249,0.7063788992334991
Malaysia,0.7347947380747686,0.7345121128520391
Netherlands,0.7281749442921133,0.6697963346226015
Poland,0.6543571884028847,0.5609719422457382
Rest of the world,0.7471234743377906,0.6168957579044676
Russia,0.8552547463400361,0.7720055789295067
Singapore,0.7519045751386708,0.7386833535810431
South Africa,0.6385992647833506,0.5681088641880598
South Korea,0.8463863413435276,0.7296804989469557
Spain,0.7036730745865533,0.5814167128480876
Sweden,0.6572725171989762,0.5619040851182358
Switzerland,0.6768448748178562,0.6423240891074944
Taiwan,0.8467125062761559,0.7410510344277739
United Kingdom,0.8145576859973558,0.6796726335819875
United States,1.0,0.7734734402286503
WIPO,0.8597183255759658,0.6975708177933446
