year,country,country_code,education_label,pct_share
2010,Australia,AU,Doctorate,0.3196
2021,Australia,AU,High School,0.0006
2021,Australia,AU,Bachelor,0.1403
2021,Australia,AU,Masters,0.2376
2021,Australia,AU,Doctorate,0.4404
2020,Australia,AU,Other,0.2293
2020,Australia,AU,Diploma,0.0028
2020,Australia,AU,High School,0.0006
2020,Australia,AU,Bachelor,0.1343
2020,Australia,AU,Masters,0.2218
2021,Australia,AU,Diploma,0.0027
2020,Australia,AU,Doctorate,0.4113
2019,Australia,AU,Diploma,0.0027
2019,Australia,AU,High School,0.0006
2019,Australia,AU,Bachelor,0.127
2019,Australia,AU,Masters,0.2034
2019,Australia,AU,Doctorate,0.3871
2018,Australia,AU,Other,0.3117
2018,Australia,AU,Diploma,0.0029
2018,Australia,AU,High School,0.0007
2018,Australia,AU,Bachelor,0.1256
2019,Australia,AU,Other,0.2792
2022,Australia,AU,Doctorate,0.4658
2022,Australia,AU,Masters,0.244
2022,Australia,AU,Bachelor,0.1418
2025,Australia,AU,Other,0.0868
2025,Australia,AU,Diploma,0.003
2025,Australia,AU,High School,0.0005
2025,Australia,AU,Bachelor,0.1481
2025,Australia,AU,Masters,0.257
2025,Australia,AU,Doctorate,0.5046
2024,Australia,AU,Other,0.0982
2024,Australia,AU,Diploma,0.0029
2024,Australia,AU,High School,0.0005
2024,Australia,AU,Bachelor,0.1465
2024,Australia,AU,Masters,0.2537
2024,Australia,AU,Doctorate,0.4982
2023,Australia,AU,Other,0.1175
2023,Australia,AU,Diploma,0.0029
2023,Australia,AU,High School,0.0005
2023,Australia,AU,Bachelor,0.1442
2023,Australia,AU,Masters,0.2508
2023,Australia,AU,Doctorate,0.4841
2022,Australia,AU,Other,0.1451
2022,Australia,AU,Diploma,0.0029
2022,Australia,AU,High School,0.0004
2018,Australia,AU,Masters,0.1879
2018,Australia,AU,Doctorate,0.3713
2021,Australia,AU,Other,0.1784
2017,Australia,AU,Diploma,0.0028
2013,Australia,AU,High School,0.0004
2013,Australia,AU,Bachelor,0.1084
2013,Australia,AU,Masters,0.1341
2013,Australia,AU,Doctorate,0.3382
2012,Australia,AU,Other,0.4342
2012,Australia,AU,Diploma,0.0032
2012,Australia,AU,High School,0.0003
2012,Australia,AU,Bachelor,0.1098
2012,Australia,AU,Doctorate,0.3245
2011,Australia,AU,Other,0.4455
2011,Australia,AU,Diploma,0.0028
2011,Australia,AU,High School,0.0003
2011,Australia,AU,Bachelor,0.1097
2011,Australia,AU,Masters,0.1252
2011,Australia,AU,Doctorate,0.3165
2010,Australia,AU,Other,0.45
2010,Australia,AU,Diploma,0.0035
2010,Australia,AU,High School,0.0004
2010,Australia,AU,Bachelor,0.1092
2010,Australia,AU,Masters,0.1174
2017,Australia,AU,Other,0.3392
2013,Australia,AU,Diploma,0.0036
2013,Australia,AU,Other,0.4154
2012,Australia,AU,Masters,0.1281
2017,Australia,AU,High School,0.0006
2014,Australia,AU,Doctorate,0.3467
2017,Australia,AU,Bachelor,0.1214
2017,Australia,AU,Masters,0.1719
2017,Australia,AU,Doctorate,0.3641
2016,Australia,AU,Other,0.357
2016,Australia,AU,Diploma,0.0029
2016,Australia,AU,High School,0.0006
2016,Australia,AU,Masters,0.1599
2016,Australia,AU,Doctorate,0.3603
2015,Australia,AU,Other,0.3748
2016,Australia,AU,Bachelor,0.1192
2015,Australia,AU,High School,0.0007
2014,Australia,AU,Masters,0.1433
2015,Australia,AU,Diploma,0.003
2014,Australia,AU,High School,0.0005
2014,Australia,AU,Diploma,0.0028
2014,Australia,AU,Other,0.3938
2014,Australia,AU,Bachelor,0.1129
2015,Australia,AU,Masters,0.1522
2015,Australia,AU,Bachelor,0.1141
2015,Australia,AU,Doctorate,0.3552
2020,Brazil,BR,Bachelor,0.072
2021,Brazil,BR,Diploma,0.0006
2021,Brazil,BR,High School,0.0018
2021,Brazil,BR,Bachelor,0.077
2021,Brazil,BR,Masters,0.2571
2021,Brazil,BR,Doctorate,0.1368
2020,Brazil,BR,Other,0.5643
2020,Brazil,BR,Diploma,0.0006
2020,Brazil,BR,High School,0.002
2020,Brazil,BR,Masters,0.2372
2018,Brazil,BR,Bachelor,0.0627
2019,Brazil,BR,Other,0.5979
2019,Brazil,BR,Diploma,0.0005
2019,Brazil,BR,High School,0.0019
2019,Brazil,BR,Bachelor,0.068
2019,Brazil,BR,Masters,0.2169
2019,Brazil,BR,Doctorate,0.1148
2018,Brazil,BR,Other,0.6281
2018,Brazil,BR,Diploma,0.0006
2018,Brazil,BR,High School,0.0018
2021,Brazil,BR,Other,0.5266
2020,Brazil,BR,Doctorate,0.1238
2022,Brazil,BR,Doctorate,0.1513
2025,Brazil,BR,Other,0.4185
2022,Brazil,BR,Bachelor,0.0776
2018,Brazil,BR,Masters,0.2001
2025,Brazil,BR,Diploma,0.0005
2025,Brazil,BR,High School,0.0018
2025,Brazil,BR,Bachelor,0.0816
2025,Brazil,BR,Masters,0.316
2025,Brazil,BR,Doctorate,0.1816
2024,Brazil,BR,Other,0.4316
2024,Brazil,BR,Diploma,0.0006
2024,Brazil,BR,High School,0.0019
2024,Brazil,BR,Bachelor,0.0808
2024,Brazil,BR,Masters,0.3088
2024,Brazil,BR,Doctorate,0.1763
2023,Brazil,BR,Other,0.4531
2023,Brazil,BR,Diploma,0.0006
2023,Brazil,BR,High School,0.0018
2023,Brazil,BR,Bachelor,0.0807
2023,Brazil,BR,Masters,0.297
2023,Brazil,BR,Doctorate,0.1669
2022,Brazil,BR,Other,0.4881
2022,Brazil,BR,Diploma,0.0007
2022,Brazil,BR,High School,0.0018
2022,Brazil,BR,Masters,0.2805
2018,Brazil,BR,Doctorate,0.1068
2013,Brazil,BR,Other,0.7546
2017,Brazil,BR,Diploma,0.0006
2013,Brazil,BR,Bachelor,0.0361
2013,Brazil,BR,Masters,0.1344
2013,Brazil,BR,Doctorate,0.0733
2012,Brazil,BR,Other,0.7745
2012,Brazil,BR,Diploma,0.0003
2012,Brazil,BR,High School,0.0011
2012,Brazil,BR,Bachelor,0.0313
2012,Brazil,BR,Masters,0.124
2012,Brazil,BR,Doctorate,0.0688
2011,Brazil,BR,Other,0.7934
2011,Brazil,BR,Diploma,0.0002
2011,Brazil,BR,High School,0.0011
2011,Brazil,BR,Bachelor,0.0286
2011,Brazil,BR,Masters,0.1138
2011,Brazil,BR,Doctorate,0.0628
2010,Brazil,BR,Other,0.7999
2010,Brazil,BR,Diploma,0.0003
2010,Brazil,BR,High School,0.001
2010,Brazil,BR,Bachelor,0.0269
2010,Brazil,BR,Masters,0.1089
2017,Brazil,BR,Other,0.6546
2013,Brazil,BR,High School,0.0013
2013,Brazil,BR,Diploma,0.0002
2010,Brazil,BR,Doctorate,0.0631
2014,Brazil,BR,Doctorate,0.0812
2017,Brazil,BR,Bachelor,0.0565
2017,Brazil,BR,Masters,0.1858
2017,Brazil,BR,Doctorate,0.1008
2016,Brazil,BR,Other,0.6797
2016,Brazil,BR,Diploma,0.0006
2016,Brazil,BR,High School,0.0014
2016,Brazil,BR,Bachelor,0.0488
2016,Brazil,BR,Masters,0.1752
2016,Brazil,BR,Doctorate,0.0943
2015,Brazil,BR,Other,0.7037
2017,Brazil,BR,High School,0.0016
2015,Brazil,BR,High School,0.0013
2015,Brazil,BR,Bachelor,0.0448
2015,Brazil,BR,Masters,0.1613
2015,Brazil,BR,Doctorate,0.0886
2014,Brazil,BR,Other,0.7316
2014,Brazil,BR,Diploma,0.0002
2014,Brazil,BR,High School,0.0012
2014,Brazil,BR,Bachelor,0.0395
2014,Brazil,BR,Masters,0.1465
2015,Brazil,BR,Diploma,0.0003
2020,Canada,CA,Bachelor,0.088
2020,Canada,CA,High School,0.0006
2020,Canada,CA,Diploma,0.0017
2021,Canada,CA,High School,0.0008
2021,Canada,CA,Doctorate,0.3046
2021,Canada,CA,Masters,0.3435
2021,Canada,CA,Bachelor,0.0927
2020,Canada,CA,Masters,0.3191
2020,Canada,CA,Other,0.302
2020,Canada,CA,Doctorate,0.2886
2019,Canada,CA,Masters,0.2932
2019,Canada,CA,Diploma,0.0017
2019,Canada,CA,High School,0.0008
2019,Canada,CA,Bachelor,0.0813
2019,Canada,CA,Doctorate,0.2746
2018,Canada,CA,Other,0.3836
2018,Canada,CA,Diploma,0.0017
2018,Canada,CA,High School,0.0009
2018,Canada,CA,Bachelor,0.0779
2021,Canada,CA,Diploma,0.0019
2019,Canada,CA,Other,0.3484
2022,Canada,CA,Doctorate,0.3194
2023,Canada,CA,Other,0.1826
2022,Canada,CA,Bachelor,0.097
2025,Canada,CA,Other,0.1252
2025,Canada,CA,Diploma,0.0021
2025,Canada,CA,High School,0.0007
2025,Canada,CA,Bachelor,0.1074
2025,Canada,CA,Masters,0.399
2025,Canada,CA,Doctorate,0.3656
2024,Canada,CA,Other,0.1472
2024,Canada,CA,Diploma,0.002
2024,Canada,CA,High School,0.0006
2024,Canada,CA,Bachelor,0.1049
2024,Canada,CA,Masters,0.3918
2024,Canada,CA,Doctorate,0.3534
2018,Canada,CA,Masters,0.2738
2023,Canada,CA,Diploma,0.0021
2023,Canada,CA,High School,0.0006
2023,Canada,CA,Bachelor,0.1012
2023,Canada,CA,Masters,0.3778
2023,Canada,CA,Doctorate,0.3357
2022,Canada,CA,Other,0.2223
2022,Canada,CA,Diploma,0.0019
2022,Canada,CA,High School,0.0006
2022,Canada,CA,Masters,0.3588
2018,Canada,CA,Doctorate,0.2621
2021,Canada,CA,Other,0.2564
2017,Canada,CA,Diploma,0.0019
2013,Canada,CA,High School,0.0006
2013,Canada,CA,Bachelor,0.0696
2013,Canada,CA,Masters,0.2218
2013,Canada,CA,Doctorate,0.228
2012,Canada,CA,Other,0.4909
2012,Canada,CA,Diploma,0.0021
2012,Canada,CA,High School,0.0004
2012,Canada,CA,Bachelor,0.0709
2012,Canada,CA,Masters,0.2143
2012,Canada,CA,Doctorate,0.2214
2011,Canada,CA,Other,0.5104
2011,Canada,CA,Diploma,0.0021
2011,Canada,CA,High School,0.0003
2011,Canada,CA,Bachelor,0.0706
2011,Canada,CA,Masters,0.2032
2011,Canada,CA,Doctorate,0.2133
2010,Canada,CA,Other,0.5213
2010,Canada,CA,Diploma,0.0021
2010,Canada,CA,High School,0.0002
2010,Canada,CA,Bachelor,0.0714
2010,Canada,CA,Masters,0.1943
2013,Canada,CA,Diploma,0.0022
2013,Canada,CA,Other,0.4778
2010,Canada,CA,Doctorate,0.2106
2014,Canada,CA,Doctorate,0.2352
2017,Canada,CA,High School,0.0007
2017,Canada,CA,Bachelor,0.0755
2017,Canada,CA,Masters,0.2594
2017,Canada,CA,Doctorate,0.2548
2016,Canada,CA,Other,0.4229
2016,Canada,CA,Diploma,0.0019
2017,Canada,CA,Other,0.4078
2016,Canada,CA,Bachelor,0.0704
2016,Canada,CA,Masters,0.2518
2016,Canada,CA,Doctorate,0.2524
2016,Canada,CA,High School,0.0006
2015,Canada,CA,Diploma,0.0022
2015,Canada,CA,Other,0.4437
2014,Canada,CA,Bachelor,0.0702
