year,country,country_code,Male,Female
2010,Australia,AU,0.7523,0.2477
2025,Australia,AU,0.6973,0.3027
2024,Australia,AU,0.6974,0.3026
2023,Australia,AU,0.6978,0.3022
2022,Australia,AU,0.6986,0.3014
2020,Australia,AU,0.699,0.301
2019,Australia,AU,0.7005,0.2995
2018,Australia,AU,0.7051,0.2949
2021,Australia,AU,0.6981,0.3019
2016,Australia,AU,0.7172,0.2828
2015,Australia,AU,0.7228,0.2772
2014,Australia,AU,0.7265,0.2735
2013,Australia,AU,0.7366,0.2634
2012,Australia,AU,0.7396,0.2604
2011,Australia,AU,0.7428,0.2572
2017,Australia,AU,0.7095,0.2905
2019,Brazil,BR,0.8064,0.1936
2025,Brazil,BR,0.8016,0.1984
2024,Brazil,BR,0.802,0.198
2023,Brazil,BR,0.8027,0.1973
2022,Brazil,BR,0.8034,0.1966
2021,Brazil,BR,0.8045,0.1955
2020,Brazil,BR,0.8049,0.1951
2018,Brazil,BR,0.8064,0.1936
2013,Brazil,BR,0.8166,0.1834
2016,Brazil,BR,0.8106,0.1894
2015,Brazil,BR,0.8107,0.1893
2014,Brazil,BR,0.8132,0.1868
2012,Brazil,BR,0.8209,0.1791
2011,Brazil,BR,0.8261,0.1739
2010,Brazil,BR,0.8281,0.1719
2017,Brazil,BR,0.8093,0.1907
2019,Canada,CA,0.7069,0.2931
2025,Canada,CA,0.7041,0.2959
2024,Canada,CA,0.7046,0.2954
2023,Canada,CA,0.7047,0.2953
2022,Canada,CA,0.7053,0.2947
2020,Canada,CA,0.705,0.295
2018,Canada,CA,0.711,0.289
2021,Canada,CA,0.7048,0.2952
2016,Canada,CA,0.7179,0.2821
2015,Canada,CA,0.7192,0.2808
2014,Canada,CA,0.7232,0.2768
2017,Canada,CA,0.7148,0.2852
2013,Canada,CA,0.7265,0.2735
2012,Canada,CA,0.7314,0.2686
2011,Canada,CA,0.738,0.262
2010,Canada,CA,0.7406,0.2594
2024,Denmark,DK,0.7791,0.2209
2023,Denmark,DK,0.7811,0.2189
2022,Denmark,DK,0.7816,0.2184
2021,Denmark,DK,0.7799,0.2201
2020,Denmark,DK,0.7795,0.2205
2019,Denmark,DK,0.781,0.219
2018,Denmark,DK,0.7875,0.2125
2025,Denmark,DK,0.7783,0.2217
2016,Denmark,DK,0.787,0.213
2015,Denmark,DK,0.7883,0.2117
2014,Denmark,DK,0.8013,0.1987
2013,Denmark,DK,0.8031,0.1969
2012,Denmark,DK,0.8006,0.1994
2011,Denmark,DK,0.8016,0.1984
2010,Denmark,DK,0.814,0.186
2017,Denmark,DK,0.7855,0.2145
2025,Finland,FI,0.7323,0.2677
2024,Finland,FI,0.7318,0.2682
2023,Finland,FI,0.7325,0.2675
2022,Finland,FI,0.7317,0.2683
2021,Finland,FI,0.7348,0.2652
2020,Finland,FI,0.7343,0.2657
2019,Finland,FI,0.7345,0.2655
2018,Finland,FI,0.7341,0.2659
2017,Finland,FI,0.7341,0.2659
2015,Finland,FI,0.7446,0.2554
2014,Finland,FI,0.7441,0.2559
2013,Finland,FI,0.7445,0.2555
2012,Finland,FI,0.7524,0.2476
2011,Finland,FI,0.7594,0.2406
2010,Finland,FI,0.7545,0.2455
2016,Finland,FI,0.7404,0.2596
2019,France,FR,0.7562,0.2438
2025,France,FR,0.7492,0.2508
2024,France,FR,0.7497,0.2503
2023,France,FR,0.7507,0.2493
2022,France,FR,0.7518,0.2482
2021,France,FR,0.7527,0.2473
2020,France,FR,0.7554,0.2446
2018,France,FR,0.76,0.24
2013,France,FR,0.7816,0.2184
2016,France,FR,0.7677,0.2323
2015,France,FR,0.775,0.225
2014,France,FR,0.7797,0.2203
2017,France,FR,0.7622,0.2378
2012,France,FR,0.7896,0.2104
2011,France,FR,0.7965,0.2035
2010,France,FR,0.8008,0.1992
2025,Germany,DE,0.7824,0.2176
2024,Germany,DE,0.7825,0.2175
2023,Germany,DE,0.7827,0.2173
2022,Germany,DE,0.7822,0.2178
2021,Germany,DE,0.7828,0.2172
2020,Germany,DE,0.7855,0.2145
2019,Germany,DE,0.7878,0.2122
2018,Germany,DE,0.7933,0.2067
2016,Germany,DE,0.8017,0.1983
2015,Germany,DE,0.8081,0.1919
2014,Germany,DE,0.8128,0.1872
2013,Germany,DE,0.8189,0.1811
2012,Germany,DE,0.829,0.171
2011,Germany,DE,0.8341,0.1659
2010,Germany,DE,0.84,0.16
2017,Germany,DE,0.7972,0.2028
2019,India,IN,0.7242,0.2758
2025,India,IN,0.7196,0.2804
2024,India,IN,0.7202,0.2798
2023,India,IN,0.7202,0.2798
2022,India,IN,0.7219,0.2781
2021,India,IN,0.7217,0.2783
2020,India,IN,0.724,0.276
2018,India,IN,0.7244,0.2756
2010,India,IN,0.7606,0.2394
2016,India,IN,0.7277,0.2723
2015,India,IN,0.7305,0.2695
2014,India,IN,0.7347,0.2653
2013,India,IN,0.7422,0.2578
2012,India,IN,0.7469,0.2531
2011,India,IN,0.7552,0.2448
2017,India,IN,0.7246,0.2754
2019,Israel,IL,0.785,0.215
2025,Israel,IL,0.7843,0.2157
2024,Israel,IL,0.7855,0.2145
2023,Israel,IL,0.7847,0.2153
2022,Israel,IL,0.7847,0.2153
2021,Israel,IL,0.7843,0.2157
2020,Israel,IL,0.7833,0.2167
2018,Israel,IL,0.783,0.217
2010,Israel,IL,0.7835,0.2165
2016,Israel,IL,0.7906,0.2094
2015,Israel,IL,0.7894,0.2106
2014,Israel,IL,0.7913,0.2087
2013,Israel,IL,0.7936,0.2064
2012,Israel,IL,0.7938,0.2062
2011,Israel,IL,0.7895,0.2105
2017,Israel,IL,0.7845,0.2155
2025,Italy,IT,0.7047,0.2953
2024,Italy,IT,0.705,0.295
2023,Italy,IT,0.7052,0.2948
2022,Italy,IT,0.7048,0.2952
2021,Italy,IT,0.7048,0.2952
2020,Italy,IT,0.705,0.295
2019,Italy,IT,0.7041,0.2959
2018,Italy,IT,0.7035,0.2965
2016,Italy,IT,0.7082,0.2918
2015,Italy,IT,0.7088,0.2912
2014,Italy,IT,0.7151,0.2849
2013,Italy,IT,0.7234,0.2766
2012,Italy,IT,0.7274,0.2726
2011,Italy,IT,0.7316,0.2684
2010,Italy,IT,0.7392,0.2608
2017,Italy,IT,0.7053,0.2947
2019,Japan,JP,0.823,0.177
2025,Japan,JP,0.825,0.175
2024,Japan,JP,0.8254,0.1746
2023,Japan,JP,0.8233,0.1767
2022,Japan,JP,0.8251,0.1749
2021,Japan,JP,0.8265,0.1735
2020,Japan,JP,0.8256,0.1744
2018,Japan,JP,0.823,0.177
2017,Japan,JP,0.8275,0.1725
2016,Japan,JP,0.83,0.17
2015,Japan,JP,0.8373,0.1627
2014,Japan,JP,0.8425,0.1575
2013,Japan,JP,0.8461,0.1539
2012,Japan,JP,0.8434,0.1566
2011,Japan,JP,0.8468,0.1532
2010,Japan,JP,0.8496,0.1504
2025,Netherlands,NL,0.7343,0.2657
2024,Netherlands,NL,0.7348,0.2652
2023,Netherlands,NL,0.7344,0.2656
2022,Netherlands,NL,0.7345,0.2655
2021,Netherlands,NL,0.7348,0.2652
2020,Netherlands,NL,0.736,0.264
2019,Netherlands,NL,0.7353,0.2647
2018,Netherlands,NL,0.741,0.259
2017,Netherlands,NL,0.7455,0.2545
2016,Netherlands,NL,0.7475,0.2525
2015,Netherlands,NL,0.7473,0.2527
2014,Netherlands,NL,0.7509,0.2491
2013,Netherlands,NL,0.756,0.244
2012,Netherlands,NL,0.7606,0.2394
2011,Netherlands,NL,0.7699,0.2301
2010,Netherlands,NL,0.7772,0.2228
2024,Saudi Arabia,SA,0.678,0.322
2023,Saudi Arabia,SA,0.6781,0.3219
2022,Saudi Arabia,SA,0.6807,0.3193
2021,Saudi Arabia,SA,0.693,0.307
2020,Saudi Arabia,SA,0.7051,0.2949
2019,Saudi Arabia,SA,0.7119,0.2881
2018,Saudi Arabia,SA,0.7244,0.2756
2025,Saudi Arabia,SA,0.6772,0.3228
2016,Saudi Arabia,SA,0.7595,0.2405
2015,Saudi Arabia,SA,0.7729,0.2271
2014,Saudi Arabia,SA,0.7863,0.2137
2013,Saudi Arabia,SA,0.787,0.213
2012,Saudi Arabia,SA,0.7898,0.2102
2011,Saudi Arabia,SA,0.794,0.206
2010,Saudi Arabia,SA,0.8097,0.1903
2017,Saudi Arabia,SA,0.741,0.259
2024,Singapore,SG,0.7321,0.2679
2023,Singapore,SG,0.7337,0.2663
2022,Singapore,SG,0.7346,0.2654
2021,Singapore,SG,0.7345,0.2655
2020,Singapore,SG,0.7377,0.2623
2019,Singapore,SG,0.7363,0.2637
2018,Singapore,SG,0.7357,0.2643
2025,Singapore,SG,0.7311,0.2689
2016,Singapore,SG,0.7416,0.2584
2015,Singapore,SG,0.7444,0.2556
2014,Singapore,SG,0.7455,0.2545
2013,Singapore,SG,0.7513,0.2487
2012,Singapore,SG,0.7629,0.2371
2011,Singapore,SG,0.7611,0.2389
2010,Singapore,SG,0.7576,0.2424
2017,Singapore,SG,0.7392,0.2608
2025,South Korea,KR,0.8144,0.1856
2024,South Korea,KR,0.8146,0.1854
2023,South Korea,KR,0.8145,0.1855
2022,South Korea,KR,0.8139,0.1861
2021,South Korea,KR,0.8144,0.1856
2020,South Korea,KR,0.8189,0.1811
2019,South Korea,KR,0.8182,0.1818
2018,South Korea,KR,0.8148,0.1852
2017,South Korea,KR,0.8203,0.1797
2015,South Korea,KR,0.8215,0.1785
2014,South Korea,KR,0.8193,0.1807
2013,South Korea,KR,0.8173,0.1827
2012,South Korea,KR,0.8222,0.1778
2011,South Korea,KR,0.8232,0.1768
2010,South Korea,KR,0.8372,0.1628
2016,South Korea,KR,0.8171,0.1829
2019,Spain,ES,0.7762,0.2238
2025,Spain,ES,0.7738,0.2262
2024,Spain,ES,0.7735,0.2265
2023,Spain,ES,0.7726,0.2274
2021,Spain,ES,0.7766,0.2234
2020,Spain,ES,0.7766,0.2234
2018,Spain,ES,0.7746,0.2254
2022,Spain,ES,0.7747,0.2253
2016,Spain,ES,0.776,0.224
2015,Spain,ES,0.7787,0.2213
2014,Spain,ES,0.7817,0.2183
2013,Spain,ES,0.7897,0.2103
2017,Spain,ES,0.7754,0.2246
2012,Spain,ES,0.7902,0.2098
2011,Spain,ES,0.7891,0.2109
2010,Spain,ES,0.785,0.215
2024,Sweden,SE,0.7514,0.2486
2023,Sweden,SE,0.7519,0.2481
2022,Sweden,SE,0.7546,0.2454
2021,Sweden,SE,0.7557,0.2443
2020,Sweden,SE,0.757,0.243
2019,Sweden,SE,0.7577,0.2423
2018,Sweden,SE,0.7624,0.2376
2025,Sweden,SE,0.7513,0.2487
2016,Sweden,SE,0.7686,0.2314
2015,Sweden,SE,0.7731,0.2269
2014,Sweden,SE,0.7775,0.2225
2013,Sweden,SE,0.7818,0.2182
2012,Sweden,SE,0.7878,0.2122
2011,Sweden,SE,0.7928,0.2072
2010,Sweden,SE,0.7839,0.2161
2017,Sweden,SE,0.7628,0.2372
2025,Switzerland,CH,0.7845,0.2155
2024,Switzerland,CH,0.7844,0.2156
2023,Switzerland,CH,0.7836,0.2164
2022,Switzerland,CH,0.7846,0.2154
2021,Switzerland,CH,0.7843,0.2157
2020,Switzerland,CH,0.787,0.213
2019,Switzerland,CH,0.7861,0.2139
2018,Switzerland,CH,0.7902,0.2098
2017,Switzerland,CH,0.7945,0.2055
2015,Switzerland,CH,0.8019,0.1981
2014,Switzerland,CH,0.8054,0.1946
2013,Switzerland,CH,0.8142,0.1858
2012,Switzerland,CH,0.8158,0.1842
2011,Switzerland,CH,0.8252,0.1748
2010,Switzerland,CH,0.8307,0.1693
2016,Switzerland,CH,0.7969,0.2031
2019,United Arab Emirates,AE,0.7483,0.2517
2024,United Arab Emirates,AE,0.7388,0.2612
2023,United Arab Emirates,AE,0.7336,0.2664
2022,United Arab Emirates,AE,0.7397,0.2603
2025,United Arab Emirates,AE,0.7383,0.2617
2021,United Arab Emirates,AE,0.7379,0.2621
2020,United Arab Emirates,AE,0.7394,0.2606
2018,United Arab Emirates,AE,0.7461,0.2539
2013,United Arab Emirates,AE,0.7689,0.2311
2016,United Arab Emirates,AE,0.7535,0.2465
2015,United Arab Emirates,AE,0.7549,0.2451
2014,United Arab Emirates,AE,0.7647,0.2353
2012,United Arab Emirates,AE,0.776,0.224
2011,United Arab Emirates,AE,0.7891,0.2109
2010,United Arab Emirates,AE,0.7807,0.2193
2017,United Arab Emirates,AE,0.7472,0.2528
2025,United Kingdom,GB,0.7257,0.2743
2024,United Kingdom,GB,0.726,0.274
2023,United Kingdom,GB,0.7262,0.2738
2021,United Kingdom,GB,0.7268,0.2732
2020,United Kingdom,GB,0.7277,0.2723
2019,United Kingdom,GB,0.7276,0.2724
2018,United Kingdom,GB,0.7306,0.2694
2022,United Kingdom,GB,0.7265,0.2735
2016,United Kingdom,GB,0.7342,0.2658
2015,United Kingdom,GB,0.7351,0.2649
2014,United Kingdom,GB,0.7407,0.2593
2013,United Kingdom,GB,0.7466,0.2534
2012,United Kingdom,GB,0.7504,0.2496
2011,United Kingdom,GB,0.7551,0.2449
2010,United Kingdom,GB,0.7598,0.2402
2017,United Kingdom,GB,0.7328,0.2672
2023,United States,US,0.7236,0.2764
2022,United States,US,0.724,0.276
2021,United States,US,0.7243,0.2757
2020,United States,US,0.7246,0.2754
2019,United States,US,0.7258,0.2742
2018,United States,US,0.7282,0.2718
2017,United States,US,0.7311,0.2689
2013,United States,US,0.7493,0.2507
2015,United States,US,0.7394,0.2606
2014,United States,US,0.7442,0.2558
2012,United States,US,0.754,0.246
2011,United States,US,0.759,0.241
2010,United States,US,0.7646,0.2354
2024,United States,US,0.7236,0.2764
2016,United States,US,0.7349,0.2651
2025,United States,US,0.7235,0.2765
