Year,Arena score (Elo-like),Label
2023-05-01,969.0,Meta
2023-06-01,973.0,Meta
2023-07-01,1062.0,Meta
2023-08-01,1167.0,Meta
2023-09-01,1142.0,Meta
2023-10-01,1148.0,Meta
2023-11-01,1142.0,Meta
2023-12-01,1146.0,Meta
2024-01-01,1149.0,Meta
2024-02-01,1154.0,Meta
2024-03-01,1152.0,Meta
2024-04-01,1279.0,Meta
2024-05-01,1270.0,Meta
2024-06-01,1270.0,Meta
2024-07-01,1327.0,Meta
2024-08-01,1334.0,Meta
2024-09-01,1334.0,Meta
2024-10-01,1334.0,Meta
2024-11-01,1334.0,Meta
2024-12-01,1334.0,Meta
2025-01-01,1336.0,Meta
2025-02-01,1334.0,Meta
2025-03-01,1332.0,Meta
2025-04-01,1333.0,Meta
2025-05-01,1333.0,Meta
2025-06-01,1334.0,Meta
2025-07-01,1334.0,Meta
2025-08-01,1334.0,Meta
2025-09-01,1335.0,Meta
2025-10-01,1335.0,Meta
2025-11-01,1335.0,Meta
2025-12-01,1335.0,Meta
2026-01-01,1336.0,Meta
2026-02-01,1335.0,Meta
2026-03-01,1335.0,Meta
2023-10-01,1129.0,Mistral AI
2023-11-01,1126.0,Mistral AI
2023-12-01,1208.0,Mistral AI
2024-01-01,1230.0,Mistral AI
2024-02-01,1273.0,Mistral AI
2024-03-01,1255.0,Mistral AI
2024-04-01,1247.0,Mistral AI
2024-05-01,1241.0,Mistral AI
2024-06-01,1245.0,Mistral AI
2024-07-01,1305.0,Mistral AI
2024-08-01,1311.0,Mistral AI
2024-09-01,1313.0,Mistral AI
2024-10-01,1309.0,Mistral AI
2024-11-01,1310.0,Mistral AI
2024-12-01,1310.0,Mistral AI
2025-01-01,1311.0,Mistral AI
2025-02-01,1310.0,Mistral AI
2025-03-01,1311.0,Mistral AI
2025-04-01,1311.0,Mistral AI
2025-05-01,1381.0,Mistral AI
2025-06-01,1384.0,Mistral AI
2025-07-01,1382.0,Mistral AI
2025-08-01,1416.0,Mistral AI
2025-09-01,1408.0,Mistral AI
2025-10-01,1410.0,Mistral AI
2025-11-01,1410.0,Mistral AI
2025-12-01,1415.0,Mistral AI
2026-01-01,1414.0,Mistral AI
2026-02-01,1415.0,Mistral AI
2026-03-01,1416.0,Mistral AI
2024-01-01,1189.0,DeepSeek
2024-02-01,1186.0,DeepSeek
2024-03-01,1185.0,DeepSeek
2024-04-01,1185.0,DeepSeek
2024-05-01,1186.0,DeepSeek
2024-06-01,1258.0,DeepSeek
2024-07-01,1259.0,DeepSeek
2024-08-01,1259.0,DeepSeek
2024-09-01,1295.0,DeepSeek
2024-10-01,1300.0,DeepSeek
2024-11-01,1303.0,DeepSeek
2024-12-01,1360.0,DeepSeek
2025-01-01,1397.0,DeepSeek
2025-02-01,1400.0,DeepSeek
2025-03-01,1395.0,DeepSeek
2025-04-01,1404.0,DeepSeek
2025-05-01,1401.0,DeepSeek
2025-06-01,1423.0,DeepSeek
2025-07-01,1417.0,DeepSeek
2025-08-01,1431.0,DeepSeek
2025-09-01,1418.0,DeepSeek
2025-10-01,1421.0,DeepSeek
2025-11-01,1424.0,DeepSeek
2025-12-01,1423.0,DeepSeek
2026-01-01,1423.0,DeepSeek
2026-02-01,1424.0,DeepSeek
2026-03-01,1424.0,DeepSeek
2023-10-01,1154.0,Alibaba
2023-11-01,1150.0,Alibaba
2023-12-01,1149.0,Alibaba
2024-01-01,1141.0,Alibaba
2024-02-01,1234.0,Alibaba
2024-03-01,1238.0,Alibaba
2024-04-01,1235.0,Alibaba
2024-05-01,1237.0,Alibaba
2024-06-01,1260.0,Alibaba
2024-07-01,1262.0,Alibaba
2024-08-01,1261.0,Alibaba
2024-09-01,1299.0,Alibaba
2024-10-01,1310.0,Alibaba
2024-11-01,1314.0,Alibaba
