Model,Overall Accuracy
Claude-Opus-4-5-20251101 (FC),77.47
Claude-Sonnet-4-5-20250929 (FC),73.24
Gemini-3-Pro-Preview (Prompt),72.51
GLM-4.6 (FC thinking),72.38
Grok-4-1-fast-reasoning (FC),69.57
Claude-Haiku-4-5-20251001 (FC),68.7
Gemini-3-Pro-Preview (FC),68.14
o3-2025-04-16 (Prompt),63.05
Grok-4-0709 (Prompt),62.97
Grok-4-0709 (FC),61.38
Moonshotai-Kimi-K2-Instruct (FC),59.06
Grok-4-1-fast-non-reasoning (FC),58.29
Command A Reasoning (FC),57.06
DeepSeek-V3.2-Exp (Prompt + Thinking),56.73
Gemini-2.5-Flash (FC),56.24
