Model,Year,Overall
VILA1.5-8B,2024,20.89
LongVA-7B,2024,23.98
Llama-3.2-11B,2024,30
LLaVA-OneVision-7B,2024,33.89
VILA1.5-40B,2024,34
LLaVA-Video-7B,2024,36.11
InternVL2-8B,2024,37.44
VideoChat-Flash-7B@448,2024,41.67
mPLUG-Owl3-7B,2024,42
Qwen-2.5-VL-7B,2024,47.44
LLaVA-OneVision-72B,2024,48.33
LLaVA-Video-72B,2024,49.67
Gemini 1.5 Flash,2024,49.78
Aria,2024,50.78
Gemini 1.5 Pro,2024,53.89
GPT-4o,2024,61.22
Claude-3.5-Sonnet,2024,65.78
MAmmoTH-VL-8B,2025,41.78
InternVideo2.5-Chat-8B,2025,43
VideoLLaMA3-7B,2025,47
Video-RTS,2025,52.7
GLM-4V-PLUS-0111,2025,57.56
Qwen-2.5-VL-72B,2025,60.22
Kimi-VL-A3B-Thinking-2506,2025,65.22
Keye-VL-1.5-8B,2025,66
