∆knowledge,Model
-0.085,InternVL2-8B
-0.07,LongVA-7B
-0.055999999999999994,LLaVA-OneVision-7B
-0.053,LLaVA-Video-7B
-0.033,Gemini 1.5 Flash
-0.017,GLM-4V-PLUS-0111
-0.013000000000000001,VideoChat-Flash-7B@448
-0.005,VideoLLaMA3-7B
0.0,Keye-VL-1.5-8B
0.015,MAmmoTH-VL-8B
0.022000000000000002,Qwen-2.5-VL-7B
0.03,InternVideo2.5-Chat-8B
0.032,Aria
0.035,Kimi-VL-A3B-Thinking-2506
0.059000000000000004,VILA1.5-8B
0.066,LLaVA-OneVision-72B
0.071,LLaVA-Video-72B
0.075,mPLUG-Owl3-7B
0.087,Gemini 1.5 Pro
0.094,VILA1.5-40B
0.09699999999999999,Qwen-2.5-VL-72B
0.114,Claude-3.5-Sonnet
0.156,GPT-4o
0.331,Human expert
